# event_ticker=KXATPCHALLENGERMATCH-26MAY25DHAFER
# final_score=4-6 7-5 6-3
# score_resolution=6-4 5-7 3-6
# match_winner=Manas Dhamne
# fav_player=Frederico Ferreira Silva
# dog_player=Manas Dhamne
# kalshi_date=2026-05-25
timestamp,Manas Dhamne,Frederico Ferreira Silva
2026-05-25T13:06:00Z,33.07,73.14
2026-05-25T13:08:00Z,33.07,74.00
2026-05-25T13:09:00Z,29.00,70.00
2026-05-25T13:10:00Z,30.43,67.00
2026-05-25T13:11:00Z,30.04,70.50
2026-05-25T13:12:00Z,30.04,75.46
2026-05-25T13:13:00Z,23.00,75.46
2026-05-25T13:14:00Z,21.00,79.00
2026-05-25T13:15:00Z,22.00,78.00
2026-05-25T13:16:00Z,22.00,78.00
2026-05-25T13:19:00Z,22.00,78.00
2026-05-25T13:20:00Z,22.67,77.07
2026-05-25T13:21:00Z,26.49,73.72
2026-05-25T13:22:00Z,23.00,76.42
2026-05-25T13:23:00Z,23.00,79.09
2026-05-25T13:24:00Z,21.00,79.09
2026-05-25T13:25:00Z,18.00,81.00
2026-05-25T13:26:00Z,18.00,80.00
2026-05-25T13:30:00Z,26.52,74.40
2026-05-25T13:31:00Z,32.00,69.38
2026-05-25T13:32:00Z,24.93,75.13
2026-05-25T13:33:00Z,19.00,81.01
2026-05-25T13:34:00Z,17.00,81.95
2026-05-25T13:35:00Z,18.00,83.00
2026-05-25T13:36:00Z,18.00,83.00
2026-05-25T13:37:00Z,18.00,83.00
2026-05-25T13:38:00Z,18.00,83.00
2026-05-25T13:39:00Z,18.00,82.00
2026-05-25T13:40:00Z,18.47,83.00
2026-05-25T13:41:00Z,18.47,80.96
2026-05-25T13:42:00Z,20.50,80.00
2026-05-25T13:44:00Z,21.00,80.00
2026-05-25T13:46:00Z,21.17,78.18
2026-05-25T13:47:00Z,24.86,75.27
2026-05-25T13:48:00Z,24.48,75.27
2026-05-25T13:49:00Z,24.48,78.00
2026-05-25T13:51:00Z,18.00,82.00
2026-05-25T13:52:00Z,19.50,84.48
2026-05-25T13:53:00Z,19.77,84.48
2026-05-25T13:54:00Z,22.00,78.11
2026-05-25T13:57:00Z,26.00,78.11
2026-05-25T13:58:00Z,25.09,73.00
2026-05-25T13:59:00Z,26.00,73.54
2026-05-25T14:00:00Z,26.00,78.00
2026-05-25T14:01:00Z,19.00,79.93
2026-05-25T14:02:00Z,19.00,81.05
2026-05-25T14:03:00Z,22.14,79.00
2026-05-25T14:04:00Z,24.15,76.72
2026-05-25T14:05:00Z,25.00,76.00
2026-05-25T14:06:00Z,25.00,76.20
2026-05-25T14:07:00Z,24.94,74.64
2026-05-25T14:08:00Z,24.94,75.47
2026-05-25T14:09:00Z,22.00,75.47
2026-05-25T14:10:00Z,22.00,78.52
2026-05-25T14:11:00Z,23.16,76.20
2026-05-25T14:12:00Z,26.00,76.20
2026-05-25T14:13:00Z,25.03,74.00
2026-05-25T14:14:00Z,26.00,74.00
2026-05-25T14:15:00Z,25.00,76.00
2026-05-25T14:17:00Z,22.00,76.00
2026-05-25T14:18:00Z,22.00,77.51
2026-05-25T14:19:00Z,19.89,78.32
2026-05-25T14:20:00Z,22.64,77.00
2026-05-25T14:21:00Z,25.63,77.00
2026-05-25T14:22:00Z,25.00,75.43
2026-05-25T14:23:00Z,26.88,73.00
2026-05-25T14:24:00Z,26.88,73.00
2026-05-25T14:25:00Z,26.00,74.00
2026-05-25T14:26:00Z,27.46,73.00
2026-05-25T14:27:00Z,31.32,70.00
2026-05-25T14:28:00Z,37.34,66.25
2026-05-25T14:29:00Z,39.50,61.63
2026-05-25T14:30:00Z,30.07,66.45
2026-05-25T14:31:00Z,34.58,66.08
2026-05-25T14:32:00Z,34.47,71.67
2026-05-25T14:33:00Z,24.14,75.13
2026-05-25T14:34:00Z,23.86,77.69
2026-05-25T14:35:00Z,25.63,76.36
2026-05-25T14:36:00Z,28.40,76.36
2026-05-25T14:37:00Z,29.00,72.00
2026-05-25T14:38:00Z,29.00,72.00
2026-05-25T14:39:00Z,29.00,73.45
2026-05-25T14:40:00Z,30.28,68.98
2026-05-25T14:41:00Z,32.88,66.98
2026-05-25T14:42:00Z,36.12,64.93
2026-05-25T14:43:00Z,35.82,65.64
2026-05-25T14:44:00Z,46.72,50.42
2026-05-25T14:45:00Z,50.09,49.09
2026-05-25T14:46:00Z,50.20,50.00
2026-05-25T14:47:00Z,50.20,50.33
2026-05-25T14:48:00Z,51.00,51.00
2026-05-25T14:49:00Z,49.97,51.00
2026-05-25T14:50:00Z,51.00,51.00
2026-05-25T14:51:00Z,50.02,51.29
2026-05-25T14:52:00Z,47.78,55.00
2026-05-25T14:53:00Z,52.77,48.53
2026-05-25T14:54:00Z,54.91,49.15
2026-05-25T14:55:00Z,52.18,48.76
2026-05-25T14:56:00Z,52.99,50.92
2026-05-25T14:57:00Z,54.46,43.73
2026-05-25T14:58:00Z,57.23,44.10
2026-05-25T14:59:00Z,50.86,48.96
2026-05-25T15:00:00Z,49.25,52.48
2026-05-25T15:01:00Z,45.32,57.83
2026-05-25T15:02:00Z,47.00,55.00
2026-05-25T15:03:00Z,53.74,48.41
2026-05-25T15:04:00Z,55.00,46.00
2026-05-25T15:05:00Z,54.97,45.82
2026-05-25T15:06:00Z,59.90,43.77
2026-05-25T15:07:00Z,69.30,28.25
2026-05-25T15:08:00Z,76.63,18.14
2026-05-25T15:09:00Z,81.33,18.36
2026-05-25T15:10:00Z,84.10,17.48
2026-05-25T15:11:00Z,84.00,18.20
2026-05-25T15:12:00Z,83.14,13.91
2026-05-25T15:13:00Z,88.23,11.88
2026-05-25T15:14:00Z,89.00,11.39
2026-05-25T15:15:00Z,86.60,12.07
2026-05-25T15:16:00Z,82.62,14.40
2026-05-25T15:17:00Z,79.45,21.42
2026-05-25T15:18:00Z,82.00,19.21
2026-05-25T15:19:00Z,87.47,18.98
2026-05-25T15:20:00Z,90.28,9.96
2026-05-25T15:21:00Z,92.96,8.00
2026-05-25T15:22:00Z,92.86,7.37
2026-05-25T15:23:00Z,93.12,8.23
2026-05-25T15:24:00Z,91.89,9.00
2026-05-25T15:25:00Z,89.98,10.87
2026-05-25T15:26:00Z,91.98,7.64
2026-05-25T15:27:00Z,93.61,7.54
2026-05-25T15:28:00Z,96.56,3.96
2026-05-25T15:29:00Z,98.58,1.13
2026-05-25T15:30:00Z,99.00,1.13
2026-05-25T15:31:00Z,99.00,1.13
2026-05-25T15:32:00Z,99.00,1.13
