# event_ticker=KXATPCHALLENGERMATCH-26MAR10BAXNEU
# final_score=7-6(5) 6-7(4) 7-6(6)
# score_resolution=6-7 7-6 6-7
# match_winner=Maximilian Neuchrist
# fav_player=Florent Bax
# dog_player=Maximilian Neuchrist
# kalshi_date=2026-03-10
timestamp,Florent Bax,Maximilian Neuchrist
2026-03-10T05:00:00Z,,40.00
2026-03-10T09:05:00Z,61.00,40.00
2026-03-10T10:00:00Z,61.00,40.00
2026-03-10T10:37:00Z,62.00,40.00
2026-03-10T11:18:00Z,62.00,40.00
2026-03-10T12:26:00Z,63.99,40.00
2026-03-10T12:32:00Z,64.00,40.00
2026-03-10T12:33:00Z,64.00,40.00
2026-03-10T12:37:00Z,64.00,40.00
2026-03-10T12:45:00Z,64.00,40.00
2026-03-10T12:46:00Z,65.00,40.00
2026-03-10T12:48:00Z,65.00,39.00
2026-03-10T12:49:00Z,56.16,40.52
2026-03-10T12:50:00Z,62.00,40.52
2026-03-10T12:52:00Z,63.98,40.52
2026-03-10T12:55:00Z,70.00,31.34
2026-03-10T12:56:00Z,68.00,34.00
2026-03-10T12:58:00Z,61.00,34.00
2026-03-10T13:00:00Z,61.00,38.00
2026-03-10T13:02:00Z,66.00,38.00
2026-03-10T13:03:00Z,68.99,38.00
2026-03-10T13:04:00Z,64.08,38.00
2026-03-10T13:06:00Z,64.66,38.00
2026-03-10T13:08:00Z,64.00,38.00
2026-03-10T13:09:00Z,65.00,38.00
2026-03-10T13:10:00Z,64.77,37.00
2026-03-10T13:11:00Z,63.68,39.19
2026-03-10T13:12:00Z,62.00,41.00
2026-03-10T13:13:00Z,62.00,44.00
2026-03-10T13:14:00Z,54.00,48.00
2026-03-10T13:15:00Z,63.99,48.00
2026-03-10T13:16:00Z,62.63,36.91
2026-03-10T13:17:00Z,62.63,37.00
2026-03-10T13:18:00Z,66.35,38.62
2026-03-10T13:19:00Z,64.00,38.62
2026-03-10T13:20:00Z,64.00,40.00
2026-03-10T13:21:00Z,64.25,42.00
2026-03-10T13:23:00Z,64.25,36.36
2026-03-10T13:24:00Z,60.00,39.00
2026-03-10T13:25:00Z,59.95,43.00
2026-03-10T13:27:00Z,61.00,43.00
2026-03-10T13:29:00Z,58.00,43.00
2026-03-10T13:30:00Z,59.00,44.00
2026-03-10T13:31:00Z,59.04,43.00
2026-03-10T13:32:00Z,59.00,43.00
2026-03-10T13:33:00Z,58.00,43.00
2026-03-10T13:34:00Z,54.30,47.00
2026-03-10T13:35:00Z,58.06,45.00
2026-03-10T13:36:00Z,51.02,50.73
2026-03-10T13:37:00Z,53.44,50.73
2026-03-10T13:38:00Z,52.74,56.22
2026-03-10T13:39:00Z,55.00,56.22
2026-03-10T13:40:00Z,47.99,60.61
2026-03-10T13:41:00Z,54.50,51.33
2026-03-10T13:42:00Z,58.70,42.51
2026-03-10T13:43:00Z,47.55,54.21
2026-03-10T13:44:00Z,36.20,64.38
2026-03-10T13:45:00Z,27.00,64.38
2026-03-10T13:46:00Z,27.55,73.18
2026-03-10T13:47:00Z,27.30,73.18
2026-03-10T13:48:00Z,28.00,73.44
2026-03-10T13:49:00Z,28.00,74.97
2026-03-10T13:50:00Z,27.00,74.97
2026-03-10T13:51:00Z,25.00,76.00
2026-03-10T13:52:00Z,22.82,77.88
2026-03-10T13:53:00Z,22.21,80.00
2026-03-10T13:54:00Z,24.00,79.00
2026-03-10T13:55:00Z,24.87,76.00
2026-03-10T13:56:00Z,24.87,78.00
2026-03-10T13:57:00Z,24.87,78.81
2026-03-10T13:58:00Z,23.00,78.11
2026-03-10T13:59:00Z,21.43,84.00
2026-03-10T14:00:00Z,16.69,84.99
2026-03-10T14:01:00Z,22.93,84.99
2026-03-10T14:02:00Z,23.00,80.00
2026-03-10T14:04:00Z,23.00,80.00
2026-03-10T14:05:00Z,23.00,79.00
2026-03-10T14:06:00Z,23.00,79.00
2026-03-10T14:07:00Z,21.81,82.06
2026-03-10T14:08:00Z,23.97,77.00
2026-03-10T14:09:00Z,24.24,78.00
2026-03-10T14:10:00Z,25.00,77.68
2026-03-10T14:11:00Z,22.38,78.99
2026-03-10T14:12:00Z,22.00,78.00
2026-03-10T14:13:00Z,24.52,76.62
2026-03-10T14:14:00Z,26.64,75.01
2026-03-10T14:15:00Z,22.92,76.10
2026-03-10T14:16:00Z,23.04,78.00
2026-03-10T14:17:00Z,23.34,77.95
2026-03-10T14:18:00Z,22.65,80.94
2026-03-10T14:19:00Z,22.98,81.59
2026-03-10T14:20:00Z,26.96,76.66
2026-03-10T14:21:00Z,25.86,76.89
2026-03-10T14:22:00Z,30.64,74.29
2026-03-10T14:23:00Z,26.26,75.90
2026-03-10T14:24:00Z,25.00,77.22
2026-03-10T14:25:00Z,25.00,77.00
2026-03-10T14:26:00Z,26.76,76.04
2026-03-10T14:27:00Z,27.57,71.77
2026-03-10T14:28:00Z,25.55,75.19
2026-03-10T14:29:00Z,27.01,78.14
2026-03-10T14:30:00Z,31.72,69.14
2026-03-10T14:31:00Z,41.86,57.97
2026-03-10T14:32:00Z,38.82,60.73
2026-03-10T14:33:00Z,43.61,56.97
2026-03-10T14:34:00Z,47.64,54.82
2026-03-10T14:35:00Z,42.05,57.29
2026-03-10T14:36:00Z,48.86,53.32
2026-03-10T14:37:00Z,52.30,50.19
2026-03-10T14:38:00Z,54.11,43.89
2026-03-10T14:39:00Z,53.74,46.83
2026-03-10T14:40:00Z,54.89,46.84
2026-03-10T14:41:00Z,53.97,46.67
2026-03-10T14:42:00Z,54.37,47.00
2026-03-10T14:43:00Z,52.38,51.76
2026-03-10T14:44:00Z,55.71,48.68
2026-03-10T14:45:00Z,57.70,42.45
2026-03-10T14:46:00Z,58.20,42.83
2026-03-10T14:47:00Z,58.13,43.97
2026-03-10T14:48:00Z,55.47,46.02
2026-03-10T14:49:00Z,52.65,48.00
2026-03-10T14:50:00Z,56.79,47.00
2026-03-10T14:51:00Z,57.91,43.25
2026-03-10T14:52:00Z,60.02,41.56
2026-03-10T14:53:00Z,59.97,41.85
