# event_ticker=KXATPMATCH-26MAR17KOVSAK
# final_score=6-4 3-6 7-6(7)
# score_resolution=4-6 6-3 6-7
# match_winner=Rei Sakamoto
# fav_player=Aleksandar Kovacevic
# dog_player=Rei Sakamoto
# kalshi_date=2026-03-17
timestamp,Aleksandar Kovacevic,Rei Sakamoto
2026-03-20T04:53:00Z,,38.00
2026-03-20T04:56:00Z,63.00,38.00
2026-03-20T05:00:00Z,63.00,38.00
2026-03-20T05:03:00Z,63.00,38.00
2026-03-20T05:15:00Z,63.00,38.00
2026-03-20T05:17:00Z,64.00,38.00
2026-03-20T05:18:00Z,64.00,38.00
2026-03-20T05:22:00Z,64.00,38.00
2026-03-20T05:29:00Z,64.00,38.00
2026-03-20T05:33:00Z,64.00,38.00
2026-03-20T05:46:00Z,64.00,38.00
2026-03-20T05:47:00Z,64.00,38.00
2026-03-20T05:48:00Z,64.00,38.00
2026-03-20T05:51:00Z,64.00,38.00
2026-03-20T05:55:00Z,64.00,38.00
2026-03-20T06:00:00Z,64.00,38.00
2026-03-20T06:01:00Z,64.37,38.00
2026-03-20T06:03:00Z,65.00,38.00
2026-03-20T06:04:00Z,65.00,38.00
2026-03-20T06:27:00Z,65.00,38.00
2026-03-20T06:30:00Z,65.00,38.00
2026-03-20T06:32:00Z,65.00,38.00
2026-03-20T06:44:00Z,65.00,38.00
2026-03-20T06:45:00Z,65.00,38.00
2026-03-20T06:54:00Z,65.00,38.00
2026-03-20T07:11:00Z,65.00,37.00
2026-03-20T07:12:00Z,65.00,37.00
2026-03-20T07:33:00Z,65.00,37.00
2026-03-20T07:44:00Z,65.00,37.39
2026-03-20T07:45:00Z,65.00,37.39
2026-03-20T07:47:00Z,65.00,35.03
2026-03-20T07:50:00Z,65.00,35.03
2026-03-20T07:56:00Z,65.00,35.03
2026-03-20T08:02:00Z,65.00,38.65
2026-03-20T08:04:00Z,62.97,38.65
2026-03-20T08:08:00Z,62.94,38.65
2026-03-20T08:16:00Z,62.95,38.65
2026-03-20T08:22:00Z,62.99,38.65
2026-03-20T08:28:00Z,62.97,39.00
2026-03-20T08:36:00Z,62.97,39.00
2026-03-20T08:40:00Z,62.94,39.00
2026-03-20T08:42:00Z,63.00,39.00
2026-03-20T08:46:00Z,62.98,39.00
2026-03-20T08:55:00Z,63.00,39.00
2026-03-20T08:56:00Z,62.06,39.00
2026-03-20T08:57:00Z,63.15,39.00
2026-03-20T09:11:00Z,62.94,39.00
2026-03-20T09:20:00Z,64.00,39.00
2026-03-20T09:23:00Z,64.00,39.00
2026-03-20T09:27:00Z,64.00,39.00
2026-03-20T09:28:00Z,64.00,39.00
2026-03-20T09:31:00Z,64.00,39.00
2026-03-20T09:33:00Z,64.00,39.00
2026-03-20T09:39:00Z,64.00,39.00
2026-03-20T09:51:00Z,64.00,39.00
2026-03-20T09:58:00Z,64.00,39.00
2026-03-20T10:08:00Z,64.00,39.00
2026-03-20T10:19:00Z,64.00,39.00
2026-03-20T10:50:00Z,64.00,39.00
2026-03-20T10:51:00Z,64.00,38.00
2026-03-20T11:00:00Z,64.00,38.00
2026-03-20T11:07:00Z,64.00,38.00
2026-03-20T11:15:00Z,64.00,36.00
2026-03-20T11:17:00Z,64.00,38.00
2026-03-20T11:26:00Z,64.00,38.00
2026-03-20T11:27:00Z,64.00,38.00
2026-03-20T11:42:00Z,64.00,38.00
2026-03-20T11:54:00Z,64.00,38.00
2026-03-20T12:05:00Z,64.00,38.00
2026-03-20T12:06:00Z,64.00,38.00
2026-03-20T12:11:00Z,64.00,38.00
2026-03-20T12:17:00Z,64.60,38.00
2026-03-20T12:25:00Z,65.00,38.00
2026-03-20T12:28:00Z,64.00,38.00
2026-03-20T12:30:00Z,64.00,38.00
2026-03-20T12:34:00Z,64.00,38.00
2026-03-20T12:41:00Z,64.00,38.00
2026-03-20T12:45:00Z,64.00,37.00
2026-03-20T12:46:00Z,64.00,37.00
2026-03-20T12:48:00Z,65.00,37.00
2026-03-20T12:49:00Z,65.00,37.00
2026-03-20T12:51:00Z,65.00,37.00
2026-03-20T12:53:00Z,65.00,37.00
2026-03-20T12:54:00Z,65.00,37.00
2026-03-20T13:05:00Z,65.00,37.00
2026-03-20T13:17:00Z,65.00,37.00
2026-03-20T13:22:00Z,65.00,37.00
2026-03-20T13:23:00Z,65.00,37.00
2026-03-20T13:26:00Z,65.00,35.00
2026-03-20T13:27:00Z,65.00,35.00
2026-03-20T13:29:00Z,65.00,35.00
2026-03-20T13:30:00Z,65.00,35.00
2026-03-20T13:33:00Z,65.00,35.00
2026-03-20T13:34:00Z,65.00,35.00
2026-03-20T13:37:00Z,65.00,35.00
2026-03-20T13:43:00Z,65.00,35.00
2026-03-20T13:44:00Z,65.00,35.00
2026-03-20T13:45:00Z,65.00,35.00
2026-03-20T13:46:00Z,65.00,35.00
2026-03-20T13:49:00Z,66.00,35.00
2026-03-20T13:50:00Z,65.00,35.00
2026-03-20T13:56:00Z,65.00,35.00
2026-03-20T14:00:00Z,65.00,36.00
2026-03-20T14:01:00Z,65.00,36.00
2026-03-20T14:02:00Z,66.00,36.00
2026-03-20T14:04:00Z,65.11,36.00
2026-03-20T14:06:00Z,66.00,36.00
2026-03-20T14:07:00Z,65.97,36.00
2026-03-20T14:08:00Z,65.00,36.00
2026-03-20T14:09:00Z,65.00,36.00
2026-03-20T14:12:00Z,64.00,36.00
2026-03-20T14:15:00Z,64.00,36.00
2026-03-20T14:17:00Z,64.00,36.00
2026-03-20T14:18:00Z,64.00,36.00
2026-03-20T14:19:00Z,64.00,36.00
2026-03-20T14:22:00Z,64.00,36.00
2026-03-20T14:24:00Z,64.00,36.00
2026-03-20T14:25:00Z,64.00,37.00
2026-03-20T14:26:00Z,64.00,37.00
2026-03-20T14:28:00Z,64.00,37.00
2026-03-20T14:30:00Z,64.00,37.00
2026-03-20T14:31:00Z,64.00,37.00
2026-03-20T14:33:00Z,64.00,37.00
2026-03-20T14:34:00Z,64.00,37.00
2026-03-20T14:35:00Z,64.00,37.00
2026-03-20T14:36:00Z,64.00,37.00
2026-03-20T14:37:00Z,63.02,37.00
2026-03-20T14:38:00Z,63.13,37.00
2026-03-20T14:39:00Z,63.20,37.00
2026-03-20T14:41:00Z,63.00,37.00
2026-03-20T14:42:00Z,63.00,38.00
2026-03-20T14:44:00Z,63.00,38.00
2026-03-20T14:45:00Z,63.31,38.00
2026-03-20T14:46:00Z,63.00,38.00
2026-03-20T14:48:00Z,63.00,37.00
2026-03-20T14:49:00Z,64.00,37.00
2026-03-20T14:50:00Z,64.00,37.00
2026-03-20T14:54:00Z,64.00,37.00
2026-03-20T14:55:00Z,64.00,37.00
2026-03-20T14:56:00Z,63.80,37.00
2026-03-20T14:57:00Z,64.00,37.00
2026-03-20T14:58:00Z,64.00,37.00
2026-03-20T14:59:00Z,64.00,37.00
2026-03-20T15:00:00Z,64.00,37.00
2026-03-20T15:01:00Z,64.00,37.00
2026-03-20T15:02:00Z,64.00,37.00
2026-03-20T15:03:00Z,64.00,37.00
2026-03-20T15:04:00Z,63.98,37.00
2026-03-20T15:05:00Z,64.00,37.00
2026-03-20T15:06:00Z,63.92,37.00
2026-03-20T15:07:00Z,63.78,37.00
2026-03-20T15:08:00Z,63.02,38.00
2026-03-20T15:09:00Z,63.02,38.00
2026-03-20T15:10:00Z,64.00,38.00
2026-03-20T15:11:00Z,64.00,38.00
2026-03-20T15:12:00Z,64.00,38.00
2026-03-20T15:13:00Z,63.00,38.00
2026-03-20T15:14:00Z,64.00,38.00
2026-03-20T15:16:00Z,64.00,38.00
2026-03-20T15:17:00Z,64.00,38.00
2026-03-20T15:18:00Z,63.16,38.00
2026-03-20T15:19:00Z,63.00,38.00
2026-03-20T15:20:00Z,63.00,37.00
2026-03-20T15:23:00Z,63.00,37.00
2026-03-20T15:25:00Z,64.00,37.00
2026-03-20T15:26:00Z,64.00,37.00
2026-03-20T15:27:00Z,64.00,37.00
2026-03-20T15:31:00Z,64.00,37.00
2026-03-20T15:35:00Z,64.00,37.00
2026-03-20T15:36:00Z,64.00,37.00
2026-03-20T15:38:00Z,64.00,37.00
2026-03-20T15:39:00Z,63.00,37.00
2026-03-20T15:40:00Z,62.92,37.00
2026-03-20T15:41:00Z,62.92,38.00
2026-03-20T15:42:00Z,62.00,38.00
2026-03-20T15:45:00Z,62.00,38.00
2026-03-20T15:47:00Z,62.00,38.00
2026-03-20T15:48:00Z,61.62,38.00
2026-03-20T15:49:00Z,61.13,38.00
2026-03-20T15:51:00Z,62.00,38.00
2026-03-20T15:53:00Z,62.00,39.00
2026-03-20T15:54:00Z,62.00,39.00
2026-03-20T15:55:00Z,62.00,39.00
2026-03-20T15:56:00Z,62.00,39.00
2026-03-20T15:57:00Z,62.00,39.00
2026-03-20T15:59:00Z,63.00,39.00
2026-03-20T16:01:00Z,63.00,39.00
2026-03-20T16:02:00Z,63.00,39.00
2026-03-20T16:03:00Z,63.00,39.00
2026-03-20T16:04:00Z,63.00,39.00
2026-03-20T16:06:00Z,63.00,39.00
2026-03-20T16:07:00Z,63.00,39.00
2026-03-20T16:09:00Z,63.00,39.00
2026-03-20T16:10:00Z,62.03,39.00
2026-03-20T16:12:00Z,62.03,38.00
2026-03-20T16:14:00Z,63.00,38.00
2026-03-20T16:15:00Z,62.26,38.00
2026-03-20T16:16:00Z,63.00,38.00
2026-03-20T16:17:00Z,63.00,38.00
2026-03-20T16:19:00Z,63.00,38.00
2026-03-20T16:20:00Z,63.00,38.00
2026-03-20T16:21:00Z,63.00,38.00
2026-03-20T16:22:00Z,63.00,38.00
2026-03-20T16:23:00Z,63.00,38.00
2026-03-20T16:24:00Z,63.00,38.00
2026-03-20T16:25:00Z,62.54,38.00
2026-03-20T16:26:00Z,63.00,38.00
2026-03-20T16:27:00Z,63.00,38.00
2026-03-20T16:28:00Z,62.00,38.00
2026-03-20T16:29:00Z,63.00,38.00
2026-03-20T16:30:00Z,63.00,38.00
2026-03-20T16:31:00Z,63.00,38.00
2026-03-20T16:32:00Z,63.00,38.00
2026-03-20T16:33:00Z,63.00,38.00
2026-03-20T16:35:00Z,63.00,38.00
2026-03-20T16:37:00Z,63.00,38.00
2026-03-20T16:38:00Z,63.00,38.00
2026-03-20T16:39:00Z,63.00,38.00
2026-03-20T16:40:00Z,63.00,38.00
2026-03-20T16:41:00Z,63.00,37.00
2026-03-20T16:42:00Z,65.72,37.00
2026-03-20T16:43:00Z,64.10,36.55
2026-03-20T16:44:00Z,63.48,37.00
2026-03-20T16:45:00Z,64.00,37.00
2026-03-20T16:46:00Z,63.27,36.00
2026-03-20T16:47:00Z,65.71,34.10
2026-03-20T16:48:00Z,67.00,35.00
2026-03-20T16:49:00Z,67.90,35.00
2026-03-20T16:50:00Z,68.00,35.00
2026-03-20T16:52:00Z,68.00,35.00
2026-03-20T16:53:00Z,68.00,33.75
2026-03-20T16:54:00Z,68.00,32.00
2026-03-20T16:55:00Z,68.90,32.00
2026-03-20T16:56:00Z,70.63,30.00
2026-03-20T16:57:00Z,68.52,30.00
2026-03-20T16:58:00Z,69.28,30.00
2026-03-20T16:59:00Z,69.09,30.00
2026-03-20T17:00:00Z,69.01,31.00
2026-03-20T17:01:00Z,71.00,31.02
2026-03-20T17:02:00Z,68.00,31.02
2026-03-20T17:03:00Z,68.00,31.02
2026-03-20T17:04:00Z,67.09,32.98
2026-03-20T17:05:00Z,68.00,32.98
2026-03-20T17:06:00Z,69.00,32.98
2026-03-20T17:07:00Z,67.00,31.00
2026-03-20T17:08:00Z,68.91,31.00
2026-03-20T17:09:00Z,69.36,31.00
2026-03-20T17:10:00Z,69.61,31.00
2026-03-20T17:11:00Z,71.00,31.00
2026-03-20T17:12:00Z,69.48,31.00
2026-03-20T17:13:00Z,67.11,37.00
2026-03-20T17:14:00Z,58.12,42.94
2026-03-20T17:15:00Z,54.75,50.77
2026-03-20T17:16:00Z,45.08,57.05
2026-03-20T17:17:00Z,43.00,58.08
2026-03-20T17:18:00Z,39.35,60.43
2026-03-20T17:19:00Z,37.25,61.30
2026-03-20T17:20:00Z,40.23,58.00
2026-03-20T17:21:00Z,42.00,58.00
2026-03-20T17:22:00Z,42.09,58.75
2026-03-20T17:23:00Z,39.63,61.03
2026-03-20T17:24:00Z,38.26,60.24
2026-03-20T17:25:00Z,38.87,62.31
2026-03-20T17:26:00Z,39.00,61.24
2026-03-20T17:27:00Z,39.20,61.00
2026-03-20T17:28:00Z,39.00,61.00
2026-03-20T17:29:00Z,38.97,62.00
2026-03-20T17:30:00Z,35.67,65.00
2026-03-20T17:31:00Z,34.03,66.00
2026-03-20T17:32:00Z,32.65,69.16
2026-03-20T17:33:00Z,31.93,68.70
2026-03-20T17:34:00Z,35.23,65.00
2026-03-20T17:35:00Z,35.00,66.00
2026-03-20T17:36:00Z,34.62,68.00
2026-03-20T17:37:00Z,30.58,69.39
2026-03-20T17:38:00Z,33.19,69.39
