# event_ticker=KXATPMATCH-25AUG17MEDRIN
# final_score=6-3 7-6(9)
# score_resolution=6-3 7-6
# match_winner=Hamad Medjedovic
# fav_player=Hamad Medjedovic
# dog_player=Arthur Rinderknech
# kalshi_date=2025-08-17
timestamp,Hamad Medjedovic,Arthur Rinderknech
2025-08-17T13:04:00Z,,38.00
2025-08-17T13:33:00Z,,38.00
2025-08-17T14:51:00Z,,39.00
2025-08-17T14:54:00Z,,39.00
2025-08-17T14:58:00Z,63.00,39.00
2025-08-17T15:53:00Z,63.00,39.00
2025-08-17T16:37:00Z,62.00,39.00
2025-08-17T16:41:00Z,62.00,36.00
2025-08-17T17:08:00Z,62.00,38.00
2025-08-17T17:09:00Z,62.00,38.00
2025-08-17T17:20:00Z,62.00,38.00
2025-08-17T17:33:00Z,62.00,39.00
2025-08-17T18:10:00Z,62.00,38.00
2025-08-17T18:53:00Z,62.00,38.00
2025-08-17T19:09:00Z,62.00,38.00
2025-08-17T19:16:00Z,62.00,38.00
2025-08-17T19:37:00Z,62.00,38.00
2025-08-17T19:41:00Z,64.00,38.00
2025-08-17T19:57:00Z,64.00,38.00
2025-08-17T20:01:00Z,63.13,38.00
2025-08-17T20:14:00Z,64.00,38.00
2025-08-17T20:17:00Z,64.00,38.00
2025-08-17T20:26:00Z,64.00,38.77
2025-08-17T20:29:00Z,64.00,39.00
2025-08-17T20:51:00Z,64.00,39.00
2025-08-17T21:08:00Z,63.00,39.00
2025-08-17T21:12:00Z,62.00,39.00
2025-08-17T21:13:00Z,60.00,39.00
2025-08-17T21:16:00Z,66.97,38.00
2025-08-17T21:19:00Z,68.00,33.41
2025-08-17T21:20:00Z,75.00,25.00
2025-08-17T21:21:00Z,77.00,25.00
2025-08-17T21:22:00Z,80.00,25.00
2025-08-17T21:27:00Z,80.00,16.00
2025-08-17T21:28:00Z,80.00,20.95
2025-08-17T21:29:00Z,81.00,20.95
2025-08-17T21:31:00Z,82.79,20.00
2025-08-17T21:34:00Z,82.79,17.83
2025-08-17T21:36:00Z,82.79,20.24
2025-08-17T21:37:00Z,82.00,20.24
2025-08-17T21:38:00Z,79.90,25.00
2025-08-17T21:39:00Z,79.90,23.00
2025-08-17T21:40:00Z,79.90,23.00
2025-08-17T21:44:00Z,86.00,23.00
2025-08-17T21:46:00Z,86.00,18.20
2025-08-17T21:48:00Z,83.00,18.20
2025-08-17T21:51:00Z,83.00,17.00
2025-08-17T21:53:00Z,83.00,17.00
2025-08-17T21:54:00Z,86.00,18.70
2025-08-17T21:56:00Z,86.00,16.62
2025-08-17T21:58:00Z,86.00,18.00
2025-08-17T22:00:00Z,84.73,18.00
2025-08-17T22:01:00Z,84.73,18.00
2025-08-17T22:02:00Z,84.77,18.00
2025-08-17T22:03:00Z,85.00,16.07
2025-08-17T22:04:00Z,85.00,18.64
2025-08-17T22:05:00Z,85.00,20.29
2025-08-17T22:06:00Z,81.73,21.87
2025-08-17T22:07:00Z,81.00,21.89
2025-08-17T22:08:00Z,82.33,21.89
2025-08-17T22:09:00Z,84.00,19.00
2025-08-17T22:10:00Z,83.00,20.83
2025-08-17T22:11:00Z,80.00,27.88
2025-08-17T22:12:00Z,79.00,23.52
2025-08-17T22:13:00Z,79.00,23.88
2025-08-17T22:14:00Z,79.00,22.95
2025-08-17T22:15:00Z,81.41,22.93
2025-08-17T22:16:00Z,82.00,21.92
2025-08-17T22:17:00Z,83.00,17.65
2025-08-17T22:18:00Z,82.35,17.00
2025-08-17T22:19:00Z,82.00,18.92
2025-08-17T22:20:00Z,82.00,19.90
2025-08-17T22:21:00Z,82.00,20.29
2025-08-17T22:22:00Z,82.00,22.00
2025-08-17T22:23:00Z,81.00,22.00
2025-08-17T22:24:00Z,81.00,20.24
2025-08-17T22:25:00Z,77.00,25.97
2025-08-17T22:26:00Z,77.00,27.23
2025-08-17T22:27:00Z,73.20,29.49
2025-08-17T22:28:00Z,67.52,40.43
2025-08-17T22:29:00Z,56.92,41.74
2025-08-17T22:30:00Z,59.45,42.50
2025-08-17T22:31:00Z,66.17,36.99
2025-08-17T22:32:00Z,74.98,24.67
2025-08-17T22:33:00Z,78.00,19.96
2025-08-17T22:34:00Z,78.00,23.91
2025-08-17T22:35:00Z,78.00,20.50
2025-08-17T22:36:00Z,79.00,19.00
2025-08-17T22:37:00Z,76.02,19.00
2025-08-17T22:38:00Z,81.65,19.00
2025-08-17T22:39:00Z,81.65,23.00
2025-08-17T22:40:00Z,85.00,13.40
2025-08-17T22:41:00Z,89.21,18.96
2025-08-17T22:42:00Z,81.00,24.99
2025-08-17T22:44:00Z,79.00,22.00
2025-08-17T22:45:00Z,81.00,21.14
2025-08-17T22:46:00Z,81.00,21.00
2025-08-17T22:47:00Z,81.00,19.00
2025-08-17T22:48:00Z,80.00,21.95
2025-08-17T22:49:00Z,83.00,16.12
2025-08-17T22:50:00Z,83.00,25.00
2025-08-17T22:51:00Z,83.00,20.00
2025-08-17T22:52:00Z,83.00,18.00
2025-08-17T22:53:00Z,88.00,23.05
2025-08-17T22:54:00Z,85.00,24.96
2025-08-17T22:58:00Z,78.00,26.11
2025-08-17T22:59:00Z,77.20,24.00
2025-08-17T23:00:00Z,77.20,23.00
2025-08-17T23:01:00Z,88.80,14.74
2025-08-17T23:02:00Z,80.00,16.48
2025-08-17T23:03:00Z,86.00,12.00
2025-08-17T23:04:00Z,88.04,15.43
2025-08-17T23:05:00Z,82.00,22.00
2025-08-17T23:06:00Z,86.50,18.00
2025-08-17T23:07:00Z,80.00,20.00
2025-08-17T23:08:00Z,85.80,21.09
2025-08-17T23:09:00Z,79.32,21.09
2025-08-17T23:10:00Z,95.09,7.50
2025-08-17T23:11:00Z,95.00,21.99
2025-08-17T23:12:00Z,95.00,34.00
2025-08-17T23:13:00Z,75.00,34.00
2025-08-17T23:14:00Z,76.49,34.00
2025-08-17T23:15:00Z,76.49,44.00
2025-08-17T23:17:00Z,95.00,44.00
2025-08-17T23:18:00Z,93.00,44.00
2025-08-17T23:19:00Z,98.51,44.00
2025-08-17T23:20:00Z,99.00,44.00
2025-08-17T23:21:00Z,99.00,44.00
