# event_ticker=KXATPCHALLENGERMATCH-26APR27SCHCLA
# final_score=3-6 6-3 7-5
# match_winner=Jay Clarke
# fav_player=Jay Clarke
# dog_player=Max Schoenhaus
# kalshi_date=2026-04-27
timestamp,Max Schoenhaus,Jay Clarke
2026-04-27T03:24:00Z,,60.00
2026-04-27T03:32:00Z,43.00,60.00
2026-04-27T03:53:00Z,43.00,60.00
2026-04-27T05:00:00Z,43.00,60.00
2026-04-27T05:53:00Z,42.00,60.00
2026-04-27T06:00:00Z,41.00,60.00
2026-04-27T06:04:00Z,41.00,59.00
2026-04-27T06:35:00Z,42.00,59.00
2026-04-27T09:55:00Z,42.00,59.00
2026-04-27T10:28:00Z,42.00,59.00
2026-04-27T10:40:00Z,42.00,59.00
2026-04-27T10:43:00Z,42.00,59.00
2026-04-27T10:54:00Z,42.00,59.00
2026-04-27T11:10:00Z,42.00,59.00
2026-04-27T11:13:00Z,43.00,59.00
2026-04-27T11:17:00Z,43.00,59.00
2026-04-27T11:25:00Z,43.00,59.00
2026-04-27T11:34:00Z,43.00,59.00
2026-04-27T11:40:00Z,43.00,59.00
2026-04-27T11:41:00Z,43.00,59.00
2026-04-27T11:50:00Z,43.00,60.00
2026-04-27T11:53:00Z,43.00,60.93
2026-04-27T11:54:00Z,43.00,61.97
2026-04-27T11:55:00Z,40.00,62.00
2026-04-27T11:56:00Z,40.00,62.00
2026-04-27T11:57:00Z,40.00,62.00
2026-04-27T11:59:00Z,41.00,62.00
2026-04-27T12:01:00Z,41.00,62.00
2026-04-27T12:02:00Z,41.00,62.00
2026-04-27T12:04:00Z,41.00,62.66
2026-04-27T12:07:00Z,40.00,62.00
2026-04-27T12:11:00Z,41.00,62.00
2026-04-27T12:12:00Z,41.00,62.00
2026-04-27T12:18:00Z,41.00,62.00
2026-04-27T12:20:00Z,41.00,60.00
2026-04-27T12:25:00Z,40.00,60.00
2026-04-27T12:29:00Z,40.00,62.00
2026-04-27T12:45:00Z,40.00,62.00
2026-04-27T12:49:00Z,40.00,62.00
2026-04-27T12:50:00Z,40.00,63.00
2026-04-27T12:51:00Z,40.00,63.00
2026-04-27T12:52:00Z,40.00,63.00
2026-04-27T12:54:00Z,40.00,63.00
2026-04-27T12:55:00Z,40.00,63.00
2026-04-27T12:57:00Z,40.00,62.97
2026-04-27T12:59:00Z,40.00,60.00
2026-04-27T13:00:00Z,40.00,63.00
2026-04-27T13:01:00Z,40.00,63.00
2026-04-27T13:02:00Z,39.99,63.00
2026-04-27T13:03:00Z,40.00,63.00
2026-04-27T13:04:00Z,40.00,62.00
2026-04-27T13:05:00Z,40.00,62.00
2026-04-27T13:06:00Z,40.50,58.00
2026-04-27T13:07:00Z,40.97,58.88
2026-04-27T13:08:00Z,40.52,60.64
2026-04-27T13:09:00Z,43.55,58.28
2026-04-27T13:10:00Z,46.00,54.56
2026-04-27T13:11:00Z,50.23,48.88
2026-04-27T13:12:00Z,56.94,40.54
2026-04-27T13:13:00Z,52.57,48.22
2026-04-27T13:14:00Z,49.00,53.81
2026-04-27T13:15:00Z,50.83,51.06
2026-04-27T13:16:00Z,51.44,47.90
2026-04-27T13:17:00Z,51.58,47.30
2026-04-27T13:18:00Z,47.49,51.17
2026-04-27T13:19:00Z,46.26,51.70
2026-04-27T13:20:00Z,50.00,51.53
2026-04-27T13:21:00Z,49.11,51.61
2026-04-27T13:22:00Z,43.53,53.59
2026-04-27T13:23:00Z,41.68,57.31
2026-04-27T13:24:00Z,43.03,58.37
2026-04-27T13:25:00Z,46.79,54.00
2026-04-27T13:26:00Z,50.00,51.00
2026-04-27T13:27:00Z,49.00,53.78
2026-04-27T13:28:00Z,47.80,50.44
2026-04-27T13:29:00Z,60.00,43.31
2026-04-27T13:30:00Z,64.24,36.52
2026-04-27T13:31:00Z,57.67,42.28
2026-04-27T13:32:00Z,52.57,46.39
2026-04-27T13:33:00Z,51.00,50.00
2026-04-27T13:34:00Z,50.61,50.31
2026-04-27T13:35:00Z,46.35,53.89
2026-04-27T13:36:00Z,46.80,54.92
2026-04-27T13:37:00Z,45.20,55.97
2026-04-27T13:38:00Z,45.78,54.75
2026-04-27T13:39:00Z,50.56,48.74
2026-04-27T13:40:00Z,52.00,47.97
2026-04-27T13:41:00Z,57.33,44.07
2026-04-27T13:42:00Z,55.39,45.30
2026-04-27T13:43:00Z,58.19,40.97
2026-04-27T13:44:00Z,68.77,30.03
2026-04-27T13:45:00Z,70.18,27.91
2026-04-27T13:46:00Z,70.46,28.05
2026-04-27T13:47:00Z,70.04,32.84
2026-04-27T13:48:00Z,74.08,25.66
2026-04-27T13:49:00Z,75.44,25.00
2026-04-27T13:50:00Z,75.84,25.00
2026-04-27T13:51:00Z,75.70,25.00
2026-04-27T13:52:00Z,76.00,24.92
2026-04-27T13:53:00Z,73.48,26.27
2026-04-27T13:54:00Z,71.83,28.33
2026-04-27T13:55:00Z,75.90,24.02
2026-04-27T13:56:00Z,76.29,19.79
2026-04-27T13:57:00Z,80.40,22.64
2026-04-27T13:58:00Z,73.77,27.99
