# event_ticker=KXATPCHALLENGERMATCH-26APR27KASBOU
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Maks Kasnikowski
# fav_player=Cesar Bouchelaghem
# dog_player=Maks Kasnikowski
# kalshi_date=2026-04-27
timestamp,Maks Kasnikowski,Cesar Bouchelaghem
2026-04-27T09:57:00Z,74.00,
2026-04-27T10:50:00Z,74.00,
2026-04-27T11:19:00Z,74.00,
2026-04-27T12:10:00Z,74.00,30.00
2026-04-27T12:40:00Z,74.00,30.00
2026-04-27T12:46:00Z,77.09,30.00
2026-04-27T12:52:00Z,76.00,30.00
2026-04-27T12:57:00Z,76.00,23.00
2026-04-27T13:04:00Z,76.00,25.00
2026-04-27T14:03:00Z,81.00,25.00
2026-04-27T14:21:00Z,81.00,20.00
2026-04-27T14:34:00Z,81.00,20.00
2026-04-27T16:29:00Z,81.00,20.00
2026-04-27T16:40:00Z,81.00,20.00
2026-04-27T16:49:00Z,81.00,20.00
2026-04-27T16:57:00Z,80.00,20.00
2026-04-27T17:15:00Z,80.00,21.00
2026-04-27T17:39:00Z,79.00,21.00
2026-04-27T17:44:00Z,79.00,21.00
2026-04-27T17:45:00Z,79.00,21.00
2026-04-27T17:46:00Z,79.00,21.00
2026-04-27T17:49:00Z,79.00,21.00
2026-04-27T17:51:00Z,80.00,21.00
2026-04-27T17:52:00Z,80.00,21.00
2026-04-27T17:58:00Z,80.00,21.00
2026-04-27T18:02:00Z,80.00,21.00
2026-04-27T18:03:00Z,80.00,21.00
2026-04-27T18:12:00Z,80.00,21.00
2026-04-27T18:15:00Z,80.00,21.00
2026-04-27T18:25:00Z,80.00,21.00
2026-04-27T18:34:00Z,80.00,21.00
2026-04-27T18:46:00Z,80.00,21.00
2026-04-27T18:52:00Z,80.00,21.00
2026-04-27T19:11:00Z,80.00,21.00
2026-04-27T19:13:00Z,80.00,21.80
2026-04-27T19:15:00Z,80.00,22.00
2026-04-27T19:18:00Z,80.80,22.00
2026-04-27T19:19:00Z,80.80,21.00
2026-04-27T19:22:00Z,80.00,21.00
2026-04-27T19:24:00Z,80.00,22.00
2026-04-27T19:25:00Z,80.00,21.99
2026-04-27T19:27:00Z,80.00,22.00
2026-04-27T19:31:00Z,80.83,22.00
2026-04-27T19:33:00Z,80.00,22.00
2026-04-27T19:39:00Z,80.97,22.00
2026-04-27T19:45:00Z,80.50,22.03
2026-04-27T19:46:00Z,80.81,22.03
2026-04-27T19:47:00Z,81.00,22.03
2026-04-27T19:48:00Z,81.00,22.56
2026-04-27T19:49:00Z,80.00,22.56
2026-04-27T19:50:00Z,80.00,21.00
2026-04-27T19:51:00Z,80.00,21.94
2026-04-27T19:52:00Z,80.00,21.94
2026-04-27T19:54:00Z,80.00,21.91
2026-04-27T19:55:00Z,80.00,22.00
2026-04-27T19:56:00Z,80.95,22.00
2026-04-27T19:57:00Z,80.00,22.00
2026-04-27T20:00:00Z,81.00,22.00
2026-04-27T20:03:00Z,80.00,22.00
2026-04-27T20:07:00Z,81.00,22.00
2026-04-27T20:08:00Z,81.00,22.00
2026-04-27T20:11:00Z,81.00,21.00
2026-04-27T20:18:00Z,81.00,19.00
2026-04-27T20:19:00Z,82.00,19.00
2026-04-27T20:20:00Z,81.03,19.00
2026-04-27T20:22:00Z,82.00,19.00
2026-04-27T20:26:00Z,82.00,19.00
2026-04-27T20:27:00Z,82.00,19.00
2026-04-27T20:28:00Z,82.00,21.00
2026-04-27T20:34:00Z,81.00,21.00
2026-04-27T20:36:00Z,81.00,21.00
2026-04-27T20:37:00Z,81.00,21.00
2026-04-27T20:38:00Z,81.00,21.00
2026-04-27T20:39:00Z,81.00,21.74
2026-04-27T20:40:00Z,82.00,21.70
2026-04-27T20:43:00Z,81.00,21.70
2026-04-27T20:45:00Z,81.00,21.70
2026-04-27T20:46:00Z,81.00,21.70
2026-04-27T20:49:00Z,78.33,22.61
2026-04-27T20:50:00Z,75.00,25.90
2026-04-27T20:51:00Z,74.00,26.49
2026-04-27T20:52:00Z,74.00,27.20
2026-04-27T20:53:00Z,76.76,25.00
2026-04-27T20:54:00Z,74.00,24.34
2026-04-27T20:55:00Z,70.00,27.88
2026-04-27T20:56:00Z,70.53,29.86
2026-04-27T20:57:00Z,70.45,30.87
2026-04-27T20:58:00Z,71.81,29.25
2026-04-27T20:59:00Z,73.14,28.03
2026-04-27T21:00:00Z,73.13,28.85
2026-04-27T21:01:00Z,74.72,25.22
2026-04-27T21:02:00Z,79.26,23.85
2026-04-27T21:03:00Z,76.82,23.35
2026-04-27T21:04:00Z,76.47,23.34
2026-04-27T21:05:00Z,74.60,24.49
