# event_ticker=KXATPCHALLENGERMATCH-26APR15DRAREI
# final_score=6-3 7-5
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Liam Draxl
# kalshi_date=2026-04-15
timestamp,Joao Lucas Reis Da Silva,Liam Draxl
2026-04-15T03:36:00Z,,70.00
2026-04-15T04:30:00Z,,71.00
2026-04-15T04:32:00Z,,73.00
2026-04-15T04:46:00Z,,73.00
2026-04-15T05:05:00Z,,70.00
2026-04-15T05:10:00Z,,71.00
2026-04-15T05:14:00Z,,71.00
2026-04-15T05:18:00Z,,70.50
2026-04-15T05:25:00Z,32.00,70.50
2026-04-15T05:42:00Z,32.00,72.00
2026-04-15T06:33:00Z,32.00,71.07
2026-04-15T07:23:00Z,32.00,72.00
2026-04-15T07:52:00Z,32.00,72.00
2026-04-15T08:57:00Z,32.00,73.00
2026-04-15T09:00:00Z,32.00,70.00
2026-04-15T09:01:00Z,33.00,69.00
2026-04-15T09:12:00Z,33.00,67.37
2026-04-15T09:34:00Z,33.00,67.00
2026-04-15T09:58:00Z,33.00,67.00
2026-04-15T10:22:00Z,35.00,67.00
2026-04-15T10:26:00Z,35.00,67.00
2026-04-15T10:47:00Z,35.00,67.00
2026-04-15T10:53:00Z,35.00,67.00
2026-04-15T11:41:00Z,35.00,67.00
2026-04-15T12:05:00Z,35.00,67.00
2026-04-15T12:16:00Z,35.00,67.00
2026-04-15T12:31:00Z,35.00,67.42
2026-04-15T12:58:00Z,35.00,68.00
2026-04-15T13:07:00Z,35.00,68.53
2026-04-15T13:26:00Z,35.00,68.00
2026-04-15T13:34:00Z,35.00,68.00
2026-04-15T13:36:00Z,35.00,68.00
2026-04-15T13:42:00Z,35.00,68.00
2026-04-15T13:48:00Z,35.00,68.00
2026-04-15T13:50:00Z,35.00,68.00
2026-04-15T13:58:00Z,35.00,68.00
2026-04-15T14:00:00Z,35.00,68.00
2026-04-15T14:06:00Z,35.00,69.00
2026-04-15T14:07:00Z,35.00,69.00
2026-04-15T14:18:00Z,35.00,68.00
2026-04-15T14:24:00Z,35.00,67.33
2026-04-15T14:30:00Z,35.00,68.00
2026-04-15T14:31:00Z,35.00,68.00
2026-04-15T14:45:00Z,35.00,68.00
2026-04-15T14:51:00Z,35.00,68.00
2026-04-15T14:54:00Z,35.00,68.00
2026-04-15T14:58:00Z,33.00,68.00
2026-04-15T15:00:00Z,33.00,68.00
2026-04-15T15:01:00Z,33.00,69.00
2026-04-15T15:02:00Z,33.00,69.00
2026-04-15T15:03:00Z,33.00,69.00
2026-04-15T15:04:00Z,33.00,69.00
2026-04-15T15:05:00Z,33.00,69.00
2026-04-15T15:06:00Z,33.00,69.83
2026-04-15T15:07:00Z,33.00,69.99
2026-04-15T15:08:00Z,33.00,69.90
2026-04-15T15:09:00Z,32.12,69.96
2026-04-15T15:10:00Z,32.67,69.96
2026-04-15T15:11:00Z,33.17,67.49
2026-04-15T15:12:00Z,31.11,68.24
2026-04-15T15:13:00Z,33.49,67.43
2026-04-15T15:14:00Z,31.18,70.27
2026-04-15T15:15:00Z,33.33,68.61
2026-04-15T15:16:00Z,33.37,68.62
2026-04-15T15:17:00Z,31.00,69.99
2026-04-15T15:18:00Z,32.66,68.72
2026-04-15T15:19:00Z,38.37,69.42
2026-04-15T15:20:00Z,36.82,65.40
2026-04-15T15:21:00Z,33.93,66.96
2026-04-15T15:22:00Z,42.61,64.02
2026-04-15T15:23:00Z,37.58,62.02
2026-04-15T15:24:00Z,45.77,61.05
2026-04-15T15:25:00Z,49.08,53.30
2026-04-15T15:26:00Z,46.62,57.68
2026-04-15T15:27:00Z,38.32,62.57
2026-04-15T15:28:00Z,41.70,60.61
2026-04-15T15:29:00Z,40.60,58.27
2026-04-15T15:30:00Z,34.40,64.44
2026-04-15T15:31:00Z,33.98,66.08
2026-04-15T15:32:00Z,32.50,68.94
2026-04-15T15:33:00Z,34.07,67.16
2026-04-15T15:34:00Z,29.46,69.41
2026-04-15T15:35:00Z,28.92,71.08
2026-04-15T15:36:00Z,30.11,69.82
2026-04-15T15:37:00Z,31.22,68.69
2026-04-15T15:38:00Z,29.03,72.26
2026-04-15T15:39:00Z,26.74,74.08
2026-04-15T15:40:00Z,32.86,66.69
2026-04-15T15:41:00Z,34.69,66.00
2026-04-15T15:42:00Z,35.03,66.43
2026-04-15T15:43:00Z,34.37,66.69
2026-04-15T15:44:00Z,31.08,68.54
2026-04-15T15:45:00Z,33.10,69.17
2026-04-15T15:46:00Z,35.02,65.63
2026-04-15T15:47:00Z,38.54,62.29
2026-04-15T15:48:00Z,37.30,65.88
2026-04-15T15:49:00Z,34.79,64.56
2026-04-15T15:50:00Z,33.10,68.47
2026-04-15T15:51:00Z,35.91,64.21
2026-04-15T15:52:00Z,38.17,62.90
2026-04-15T15:53:00Z,38.09,62.79
2026-04-15T15:54:00Z,43.15,58.72
2026-04-15T15:55:00Z,52.24,52.24
2026-04-15T15:56:00Z,56.04,43.91
2026-04-15T15:57:00Z,59.08,40.97
2026-04-15T15:58:00Z,62.72,38.73
2026-04-15T15:59:00Z,61.55,38.43
2026-04-15T16:00:00Z,61.35,39.41
2026-04-15T16:01:00Z,60.79,39.99
2026-04-15T16:02:00Z,61.08,40.01
2026-04-15T16:03:00Z,59.15,41.07
2026-04-15T16:04:00Z,59.91,41.87
2026-04-15T16:05:00Z,55.36,45.66
2026-04-15T16:06:00Z,55.77,43.99
2026-04-15T16:07:00Z,53.53,47.10
2026-04-15T16:08:00Z,44.43,53.83
2026-04-15T16:09:00Z,42.35,57.88
2026-04-15T16:10:00Z,43.24,60.63
2026-04-15T16:11:00Z,39.42,63.09
2026-04-15T16:12:00Z,38.02,63.38
2026-04-15T16:13:00Z,38.31,63.41
2026-04-15T16:14:00Z,38.31,60.47
2026-04-15T16:15:00Z,43.50,57.22
2026-04-15T16:16:00Z,44.97,56.98
2026-04-15T16:17:00Z,49.97,50.29
2026-04-15T16:18:00Z,56.06,44.48
2026-04-15T16:19:00Z,56.81,45.03
2026-04-15T16:20:00Z,64.07,37.40
2026-04-15T16:21:00Z,68.36,34.08
2026-04-15T16:22:00Z,74.04,27.53
2026-04-15T16:23:00Z,82.23,18.50
2026-04-15T16:24:00Z,84.03,16.46
2026-04-15T16:25:00Z,86.38,14.61
2026-04-15T16:26:00Z,87.44,13.26
2026-04-15T16:27:00Z,90.32,8.64
2026-04-15T16:28:00Z,86.77,14.38
2026-04-15T16:29:00Z,82.73,20.54
2026-04-15T16:30:00Z,64.80,34.77
2026-04-15T16:31:00Z,64.72,36.66
2026-04-15T16:32:00Z,69.39,29.33
2026-04-15T16:33:00Z,62.77,39.70
2026-04-15T16:34:00Z,56.69,43.21
2026-04-15T16:35:00Z,56.68,46.78
2026-04-15T16:36:00Z,56.85,44.02
2026-04-15T16:37:00Z,46.26,51.52
2026-04-15T16:38:00Z,40.49,57.42
2026-04-15T16:39:00Z,57.31,43.17
2026-04-15T16:40:00Z,53.60,44.50
2026-04-15T16:41:00Z,58.46,42.17
2026-04-15T16:42:00Z,56.74,41.51
2026-04-15T16:43:00Z,69.54,33.03
2026-04-15T16:44:00Z,77.62,21.57
2026-04-15T16:45:00Z,87.50,12.23
2026-04-15T16:46:00Z,89.45,10.49
2026-04-15T16:47:00Z,88.05,12.25
2026-04-15T16:48:00Z,91.09,10.56
2026-04-15T16:49:00Z,96.31,2.92
2026-04-15T16:50:00Z,99.00,1.00
2026-04-15T16:51:00Z,99.00,1.00
2026-04-15T16:52:00Z,99.00,1.00
