# event_ticker=KXATPMATCH-26FEB16LAJALT
# final_score=6-4 7-6(7)
# score_resolution=4-6 6-7
# match_winner=Dusan Lajovic
# fav_player=Daniel Altmaier
# dog_player=Dusan Lajovic
# kalshi_date=2026-02-16
timestamp,Daniel Altmaier,Dusan Lajovic
2026-02-16T09:13:00Z,,39.37
2026-02-16T09:14:00Z,,40.00
2026-02-16T09:16:00Z,62.14,42.00
2026-02-16T09:17:00Z,62.00,42.00
2026-02-16T09:18:00Z,62.00,42.00
2026-02-16T09:19:00Z,61.94,42.00
2026-02-16T09:21:00Z,60.00,42.00
2026-02-16T09:22:00Z,59.00,42.00
2026-02-16T09:23:00Z,59.00,42.00
2026-02-16T09:27:00Z,59.00,43.00
2026-02-16T09:28:00Z,59.00,43.00
2026-02-16T09:29:00Z,59.00,43.96
2026-02-16T09:30:00Z,59.06,45.29
2026-02-16T09:32:00Z,56.00,48.00
2026-02-16T09:34:00Z,56.00,45.20
2026-02-16T09:35:00Z,56.00,45.00
2026-02-16T09:36:00Z,57.00,45.00
2026-02-16T09:43:00Z,56.00,45.00
2026-02-16T10:00:00Z,56.00,45.00
2026-02-16T10:06:00Z,56.00,45.00
2026-02-16T10:11:00Z,56.00,45.00
2026-02-16T10:18:00Z,56.00,45.00
2026-02-16T10:21:00Z,56.00,45.00
2026-02-16T10:58:00Z,56.00,48.00
2026-02-16T11:03:00Z,56.00,47.00
2026-02-16T11:04:00Z,52.00,47.00
2026-02-16T11:10:00Z,52.00,48.00
2026-02-16T11:15:00Z,53.00,48.00
2026-02-16T11:17:00Z,53.00,48.00
2026-02-16T11:19:00Z,53.00,48.00
2026-02-16T11:25:00Z,53.00,48.00
2026-02-16T11:36:00Z,53.15,48.00
2026-02-16T11:48:00Z,54.00,48.00
2026-02-16T12:04:00Z,54.00,48.00
2026-02-16T12:32:00Z,54.00,48.00
2026-02-16T12:36:00Z,52.87,48.00
2026-02-16T12:48:00Z,52.87,47.00
2026-02-16T12:51:00Z,54.00,47.00
2026-02-16T13:01:00Z,54.00,47.00
2026-02-16T13:04:00Z,55.00,47.00
2026-02-16T13:07:00Z,55.00,47.00
2026-02-16T13:36:00Z,55.00,46.00
2026-02-16T13:41:00Z,55.00,46.00
2026-02-16T13:47:00Z,55.00,46.00
2026-02-16T13:53:00Z,56.00,46.00
2026-02-16T13:57:00Z,56.00,46.00
2026-02-16T14:10:00Z,56.00,46.00
2026-02-16T14:23:00Z,56.00,46.00
2026-02-16T14:26:00Z,56.00,46.00
2026-02-16T14:34:00Z,56.00,46.00
2026-02-16T14:41:00Z,56.63,46.00
2026-02-16T14:43:00Z,56.00,46.00
2026-02-16T14:46:00Z,57.00,46.00
2026-02-16T14:47:00Z,57.34,46.00
2026-02-16T14:48:00Z,57.00,46.00
2026-02-16T15:02:00Z,58.00,46.00
2026-02-16T15:05:00Z,57.00,46.00
2026-02-16T15:14:00Z,57.00,46.00
2026-02-16T15:23:00Z,57.00,46.00
2026-02-16T15:24:00Z,57.00,46.00
2026-02-16T15:25:00Z,57.00,46.00
2026-02-16T15:26:00Z,58.00,46.00
2026-02-16T15:31:00Z,57.08,46.00
2026-02-16T15:44:00Z,57.08,45.00
2026-02-16T15:46:00Z,57.08,44.00
2026-02-16T15:55:00Z,57.00,44.00
2026-02-16T15:57:00Z,58.00,44.00
2026-02-16T16:01:00Z,57.00,45.00
2026-02-16T16:06:00Z,57.00,45.00
2026-02-16T16:07:00Z,57.00,45.00
2026-02-16T16:10:00Z,57.00,45.00
2026-02-16T16:12:00Z,57.00,45.00
2026-02-16T16:17:00Z,57.00,45.40
2026-02-16T16:19:00Z,56.00,45.40
2026-02-16T16:20:00Z,56.00,43.00
2026-02-16T16:25:00Z,56.00,45.00
2026-02-16T16:26:00Z,56.00,45.00
2026-02-16T16:29:00Z,56.00,45.00
