# event_ticker=KXATPMATCH-25JUL20COMBOY
# final_score=6-3 7-6(1)
# score_resolution=6-3 7-6
# match_winner=Francisco Comesana
# fav_player=Francisco Comesana
# dog_player=Tristan Boyer
# kalshi_date=2025-07-20
timestamp,Francisco Comesana,Tristan Boyer
2025-07-21T02:17:00Z,81.00,
2025-07-21T02:30:00Z,81.00,21.35
2025-07-21T02:31:00Z,81.00,22.00
2025-07-21T02:43:00Z,78.00,22.00
2025-07-21T02:56:00Z,80.00,22.00
2025-07-21T03:10:00Z,79.93,22.00
2025-07-21T03:36:00Z,79.93,22.00
2025-07-21T04:46:00Z,80.00,22.00
2025-07-21T05:41:00Z,80.00,22.00
2025-07-21T05:48:00Z,80.00,22.00
2025-07-21T05:54:00Z,80.00,22.00
2025-07-21T06:04:00Z,80.00,22.00
2025-07-21T06:06:00Z,79.00,22.00
2025-07-21T12:05:00Z,95.49,22.00
2025-07-21T12:09:00Z,95.49,9.62
2025-07-21T12:12:00Z,96.00,9.62
2025-07-21T12:13:00Z,94.00,9.62
2025-07-21T12:14:00Z,94.00,9.62
2025-07-21T12:15:00Z,95.98,9.00
2025-07-21T12:16:00Z,96.00,8.00
2025-07-21T12:21:00Z,96.00,8.00
2025-07-21T12:22:00Z,93.00,10.06
2025-07-21T12:23:00Z,93.00,10.06
2025-07-21T12:24:00Z,93.33,10.06
2025-07-21T12:25:00Z,93.33,8.00
2025-07-21T12:26:00Z,95.00,8.00
2025-07-21T12:28:00Z,94.16,8.00
2025-07-21T12:30:00Z,94.00,8.00
2025-07-21T12:31:00Z,94.00,8.00
2025-07-21T12:35:00Z,94.00,8.00
2025-07-21T12:36:00Z,96.00,8.00
2025-07-21T12:40:00Z,96.00,8.57
2025-07-21T12:44:00Z,96.00,8.00
2025-07-21T12:48:00Z,94.00,5.00
2025-07-21T12:49:00Z,94.00,8.00
2025-07-21T12:52:00Z,94.00,8.00
2025-07-21T12:54:00Z,92.00,8.00
2025-07-21T12:56:00Z,92.00,8.51
2025-07-21T12:58:00Z,93.00,8.51
2025-07-21T13:00:00Z,93.00,9.00
2025-07-21T13:03:00Z,93.44,9.00
2025-07-21T13:05:00Z,92.00,8.00
2025-07-21T13:09:00Z,92.00,9.00
2025-07-21T13:14:00Z,95.00,9.00
2025-07-21T13:18:00Z,95.00,8.00
2025-07-21T13:21:00Z,94.00,8.92
2025-07-21T13:22:00Z,94.00,9.00
2025-07-21T13:24:00Z,94.00,6.13
2025-07-21T13:26:00Z,91.00,6.13
2025-07-21T13:28:00Z,91.00,9.00
2025-07-21T13:29:00Z,91.00,9.00
2025-07-21T13:31:00Z,94.00,9.00
2025-07-21T13:38:00Z,94.00,9.00
2025-07-21T13:39:00Z,94.00,9.00
2025-07-21T13:45:00Z,91.00,9.00
2025-07-21T13:47:00Z,91.00,9.00
2025-07-21T13:49:00Z,91.00,7.00
2025-07-21T13:50:00Z,93.00,9.00
2025-07-21T13:54:00Z,93.00,9.00
2025-07-21T13:55:00Z,93.00,9.00
2025-07-21T13:56:00Z,94.00,9.00
2025-07-21T13:58:00Z,94.00,9.00
2025-07-21T14:00:00Z,94.00,9.00
2025-07-21T14:01:00Z,94.00,9.00
2025-07-21T14:06:00Z,94.00,9.00
2025-07-21T14:08:00Z,94.00,9.00
2025-07-21T14:09:00Z,94.00,9.00
2025-07-21T14:11:00Z,94.00,9.00
2025-07-21T14:14:00Z,94.00,9.00
2025-07-21T14:19:00Z,94.00,9.00
2025-07-21T14:22:00Z,95.00,8.75
