# event_ticker=KXATPCHALLENGERMATCH-26MAR23CRAROD
# final_score=6-3 6-3
# match_winner=Chris Rodesch
# fav_player=Chris Rodesch
# dog_player=Oliver Crawford
# kalshi_date=2026-03-23
timestamp,Chris Rodesch,Oliver Crawford
2026-03-23T13:04:00Z,70.00,
2026-03-23T13:27:00Z,70.00,
2026-03-23T13:39:00Z,70.00,
2026-03-23T14:05:00Z,70.00,31.00
2026-03-23T16:27:00Z,70.00,30.00
2026-03-23T18:13:00Z,70.00,31.00
2026-03-23T18:26:00Z,70.00,31.00
2026-03-23T18:33:00Z,69.00,31.00
2026-03-23T18:34:00Z,67.00,31.00
2026-03-23T19:03:00Z,67.00,34.00
2026-03-23T20:32:00Z,67.00,34.00
2026-03-23T21:00:00Z,67.00,34.00
2026-03-23T21:17:00Z,68.18,34.00
2026-03-23T21:45:00Z,68.00,34.00
2026-03-23T21:54:00Z,68.00,34.00
2026-03-23T21:56:00Z,68.67,34.00
2026-03-23T22:00:00Z,69.00,34.00
2026-03-23T22:01:00Z,71.06,31.00
2026-03-23T22:03:00Z,69.58,31.00
2026-03-23T22:12:00Z,69.58,33.00
2026-03-23T22:14:00Z,67.00,33.00
2026-03-23T22:15:00Z,69.76,33.00
2026-03-23T22:18:00Z,69.00,33.00
2026-03-23T22:19:00Z,66.62,33.00
2026-03-23T22:21:00Z,66.62,32.00
2026-03-23T22:23:00Z,66.44,32.00
2026-03-23T22:28:00Z,69.00,32.00
2026-03-23T22:32:00Z,69.00,32.00
2026-03-23T22:37:00Z,66.80,32.00
2026-03-23T22:40:00Z,66.80,33.00
2026-03-23T22:43:00Z,66.80,33.00
2026-03-23T22:44:00Z,66.80,32.00
2026-03-23T22:45:00Z,69.00,33.00
2026-03-23T22:47:00Z,69.00,33.00
2026-03-23T22:48:00Z,69.00,35.00
2026-03-23T22:49:00Z,64.06,38.33
2026-03-23T22:50:00Z,62.00,40.88
2026-03-23T22:51:00Z,62.80,40.06
2026-03-23T22:52:00Z,65.65,40.06
2026-03-23T22:53:00Z,67.00,35.00
2026-03-23T22:55:00Z,61.90,40.00
2026-03-23T22:56:00Z,61.00,40.00
2026-03-23T22:57:00Z,63.37,36.56
2026-03-23T22:58:00Z,63.45,38.50
2026-03-23T22:59:00Z,62.84,36.86
2026-03-23T23:00:00Z,62.11,37.99
2026-03-23T23:01:00Z,63.20,38.00
2026-03-23T23:02:00Z,68.50,31.95
2026-03-23T23:03:00Z,80.01,24.93
2026-03-23T23:04:00Z,81.01,18.00
2026-03-23T23:05:00Z,81.01,14.30
2026-03-23T23:06:00Z,86.00,15.00
2026-03-23T23:07:00Z,83.38,16.00
2026-03-23T23:08:00Z,83.00,18.00
2026-03-23T23:09:00Z,86.00,16.00
2026-03-23T23:10:00Z,85.00,15.89
2026-03-23T23:11:00Z,85.67,16.00
2026-03-23T23:12:00Z,83.56,16.00
2026-03-23T23:13:00Z,74.64,22.54
2026-03-23T23:14:00Z,80.96,19.94
2026-03-23T23:15:00Z,84.03,14.93
2026-03-23T23:16:00Z,86.00,14.33
2026-03-23T23:17:00Z,88.00,11.00
2026-03-23T23:18:00Z,88.00,11.98
2026-03-23T23:19:00Z,89.00,11.87
2026-03-23T23:20:00Z,89.08,10.68
2026-03-23T23:21:00Z,92.00,9.78
2026-03-23T23:22:00Z,91.00,8.27
2026-03-23T23:23:00Z,91.00,9.49
2026-03-23T23:24:00Z,91.00,10.98
2026-03-23T23:25:00Z,89.46,10.00
2026-03-23T23:26:00Z,89.46,9.00
2026-03-23T23:27:00Z,92.00,8.00
2026-03-23T23:28:00Z,92.00,7.00
2026-03-23T23:29:00Z,90.03,9.47
2026-03-23T23:30:00Z,95.62,4.57
2026-03-23T23:31:00Z,97.00,3.13
2026-03-23T23:32:00Z,97.97,3.03
2026-03-23T23:33:00Z,98.00,3.00
2026-03-23T23:34:00Z,97.56,2.96
2026-03-23T23:35:00Z,98.47,1.39
2026-03-23T23:36:00Z,97.80,1.00
2026-03-23T23:37:00Z,98.05,2.00
2026-03-23T23:38:00Z,98.00,2.60
2026-03-23T23:39:00Z,99.00,2.00
2026-03-23T23:40:00Z,99.00,1.04
2026-03-23T23:41:00Z,98.74,1.04
2026-03-23T23:42:00Z,98.37,2.00
2026-03-23T23:43:00Z,98.06,2.00
2026-03-23T23:44:00Z,97.97,1.03
2026-03-23T23:45:00Z,96.79,2.98
2026-03-23T23:46:00Z,96.79,2.30
2026-03-23T23:47:00Z,99.00,2.00
2026-03-23T23:49:00Z,99.00,1.00
2026-03-23T23:51:00Z,99.00,1.27
2026-03-23T23:52:00Z,98.00,2.96
2026-03-23T23:53:00Z,97.17,3.02
2026-03-23T23:54:00Z,99.00,2.00
2026-03-23T23:55:00Z,98.96,1.00
2026-03-23T23:56:00Z,98.00,1.20
2026-03-23T23:57:00Z,98.00,1.00
2026-03-23T23:59:00Z,99.00,1.00
2026-03-24T00:01:00Z,99.00,1.00
