# event_ticker=KXATPCHALLENGERMATCH-26MAY08DIATSE
# final_score=7-6(2) 6-4
# score_resolution=6-7 4-6
# match_winner=Facundo Diaz Acosta
# fav_player=Chun Hsin Tseng
# dog_player=Facundo Diaz Acosta
# kalshi_date=2026-05-08
timestamp,Facundo Diaz Acosta,Chun Hsin Tseng
2026-05-08T05:27:00Z,,38.00
2026-05-08T06:14:00Z,62.00,38.00
2026-05-08T06:30:00Z,62.00,38.00
2026-05-08T07:35:00Z,61.00,38.00
2026-05-08T07:59:00Z,61.00,40.00
2026-05-08T08:03:00Z,60.00,40.00
2026-05-08T08:05:00Z,60.00,40.00
2026-05-08T09:49:00Z,60.00,40.00
2026-05-08T10:20:00Z,60.00,40.00
2026-05-08T11:24:00Z,60.00,40.00
2026-05-08T12:05:00Z,60.00,40.00
2026-05-08T12:08:00Z,60.00,40.00
2026-05-08T12:27:00Z,60.00,40.00
2026-05-08T12:38:00Z,60.00,40.00
2026-05-08T12:56:00Z,60.00,40.00
2026-05-08T13:26:00Z,60.00,40.00
2026-05-08T13:41:00Z,59.00,40.00
2026-05-08T13:45:00Z,60.00,40.00
2026-05-08T13:47:00Z,60.00,40.00
2026-05-08T13:59:00Z,60.00,40.00
2026-05-08T14:36:00Z,60.00,40.00
2026-05-08T14:42:00Z,60.00,40.00
2026-05-08T14:44:00Z,60.00,41.00
2026-05-08T14:46:00Z,60.00,41.00
2026-05-08T15:08:00Z,60.00,41.00
2026-05-08T15:10:00Z,60.00,41.00
2026-05-08T15:17:00Z,60.00,41.00
2026-05-08T15:18:00Z,60.00,41.00
2026-05-08T15:22:00Z,60.00,41.00
2026-05-08T15:33:00Z,60.00,41.00
2026-05-08T15:38:00Z,60.00,41.00
2026-05-08T15:39:00Z,60.00,41.00
2026-05-08T15:45:00Z,60.00,41.00
2026-05-08T15:49:00Z,60.29,41.00
2026-05-08T15:50:00Z,61.00,41.00
2026-05-08T15:55:00Z,61.00,41.00
2026-05-08T16:00:00Z,61.00,41.00
2026-05-08T16:02:00Z,61.00,41.00
2026-05-08T16:06:00Z,61.00,41.00
2026-05-08T16:10:00Z,61.00,41.00
2026-05-08T16:11:00Z,61.00,41.59
2026-05-08T16:12:00Z,61.00,41.99
2026-05-08T16:14:00Z,61.28,41.99
2026-05-08T16:18:00Z,61.00,41.99
2026-05-08T16:20:00Z,61.00,42.13
2026-05-08T16:21:00Z,62.32,39.96
2026-05-08T16:22:00Z,63.75,39.96
2026-05-08T16:23:00Z,63.00,39.96
2026-05-08T16:24:00Z,63.84,39.96
2026-05-08T16:25:00Z,64.96,38.47
2026-05-08T16:26:00Z,64.96,40.08
2026-05-08T16:27:00Z,60.00,40.08
2026-05-08T16:28:00Z,59.00,40.08
2026-05-08T16:29:00Z,58.51,40.08
2026-05-08T16:30:00Z,59.00,40.08
2026-05-08T16:32:00Z,58.95,42.40
2026-05-08T16:33:00Z,58.00,43.86
2026-05-08T16:34:00Z,57.56,44.00
2026-05-08T16:35:00Z,57.01,45.00
2026-05-08T16:36:00Z,61.99,45.00
2026-05-08T16:38:00Z,60.23,37.00
2026-05-08T16:39:00Z,62.00,39.19
2026-05-08T16:40:00Z,62.00,43.00
2026-05-08T16:41:00Z,55.48,45.29
2026-05-08T16:42:00Z,54.00,45.29
2026-05-08T16:43:00Z,56.00,44.04
2026-05-08T16:44:00Z,56.58,44.01
2026-05-08T16:45:00Z,50.24,49.28
2026-05-08T16:46:00Z,50.81,48.22
2026-05-08T16:47:00Z,55.36,45.05
2026-05-08T16:48:00Z,53.67,49.82
2026-05-08T16:49:00Z,44.17,56.85
2026-05-08T16:50:00Z,40.00,59.98
2026-05-08T16:51:00Z,42.52,58.00
2026-05-08T16:52:00Z,42.27,58.15
2026-05-08T16:53:00Z,42.27,56.17
2026-05-08T16:54:00Z,41.41,64.48
2026-05-08T16:55:00Z,35.00,66.00
2026-05-08T16:56:00Z,34.00,67.00
2026-05-08T16:57:00Z,34.99,65.00
