# event_ticker=KXATPMATCH-25JUL20ARNALT
# final_score=4-6 6-2 7-6(2)
# score_resolution=6-4 2-6 6-7
# match_winner=Matteo Arnaldi
# fav_player=Daniel Altmaier
# dog_player=Matteo Arnaldi
# kalshi_date=2025-07-20
timestamp,Daniel Altmaier,Matteo Arnaldi
2025-07-21T03:43:00Z,,66.00
2025-07-21T12:01:00Z,,61.00
2025-07-21T13:10:00Z,,60.00
2025-07-21T13:13:00Z,,58.00
2025-07-21T13:14:00Z,39.00,58.00
2025-07-21T13:22:00Z,42.00,58.00
2025-07-21T13:37:00Z,43.00,58.00
2025-07-21T13:48:00Z,43.00,58.00
2025-07-21T14:01:00Z,43.00,58.00
2025-07-21T14:10:00Z,43.00,56.00
2025-07-21T14:20:00Z,45.00,56.00
2025-07-21T14:23:00Z,45.00,57.00
2025-07-21T14:33:00Z,45.00,57.60
2025-07-21T14:34:00Z,45.00,58.00
2025-07-21T14:46:00Z,44.00,58.00
2025-07-21T14:53:00Z,42.00,58.00
2025-07-21T14:55:00Z,41.00,58.00
2025-07-21T14:56:00Z,42.00,58.00
2025-07-21T14:57:00Z,42.00,58.00
2025-07-21T15:00:00Z,42.00,58.34
2025-07-21T15:08:00Z,42.00,59.00
2025-07-21T15:09:00Z,42.00,56.56
2025-07-21T15:11:00Z,42.00,56.00
2025-07-21T15:12:00Z,42.00,56.15
2025-07-21T15:13:00Z,43.00,56.50
2025-07-21T15:14:00Z,39.99,60.00
2025-07-21T15:15:00Z,40.00,60.00
2025-07-21T15:26:00Z,40.00,62.97
2025-07-21T15:27:00Z,40.00,63.00
2025-07-21T15:28:00Z,40.00,62.00
2025-07-21T15:31:00Z,40.00,63.00
2025-07-21T15:32:00Z,36.29,63.00
2025-07-21T15:33:00Z,30.33,69.67
2025-07-21T15:35:00Z,30.33,71.82
2025-07-21T15:38:00Z,30.60,67.52
2025-07-21T15:39:00Z,32.00,72.94
2025-07-21T15:40:00Z,32.00,72.94
2025-07-21T15:41:00Z,40.00,72.94
2025-07-21T15:42:00Z,43.00,57.59
2025-07-21T15:43:00Z,42.10,57.00
2025-07-21T15:45:00Z,42.10,62.00
2025-07-21T15:46:00Z,41.00,62.00
2025-07-21T15:48:00Z,40.00,62.00
