# event_ticker=KXATPCHALLENGERMATCH-26APR14YUNSHA
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Yunchaokete Bu
# fav_player=Marat Sharipov
# dog_player=Yunchaokete Bu
# kalshi_date=2026-04-14
timestamp,Marat Sharipov,Yunchaokete Bu
2026-04-14T17:35:00Z,,67.00
2026-04-14T17:48:00Z,,66.00
2026-04-14T17:54:00Z,35.93,66.00
2026-04-14T18:51:00Z,35.93,65.00
2026-04-14T18:56:00Z,35.93,65.00
2026-04-14T19:04:00Z,35.93,65.00
2026-04-14T19:05:00Z,35.93,65.00
2026-04-14T19:36:00Z,36.00,65.00
2026-04-14T19:56:00Z,36.00,66.00
2026-04-14T20:07:00Z,36.00,66.00
2026-04-14T20:45:00Z,36.00,66.00
2026-04-14T21:13:00Z,35.00,66.00
2026-04-14T21:19:00Z,35.00,66.00
2026-04-14T21:20:00Z,35.00,65.00
2026-04-14T21:39:00Z,35.00,65.00
2026-04-14T21:52:00Z,35.00,65.00
2026-04-14T21:55:00Z,35.00,65.00
2026-04-14T22:01:00Z,34.00,65.00
2026-04-14T22:06:00Z,35.00,65.00
2026-04-14T22:42:00Z,35.00,65.16
2026-04-14T22:56:00Z,35.00,66.00
2026-04-14T23:40:00Z,35.00,66.00
2026-04-14T23:41:00Z,35.00,64.00
2026-04-14T23:50:00Z,35.00,65.00
2026-04-14T23:53:00Z,35.00,66.00
2026-04-14T23:54:00Z,35.00,66.00
2026-04-15T00:05:00Z,35.00,66.00
2026-04-15T00:11:00Z,35.32,66.00
2026-04-15T00:25:00Z,35.32,65.00
2026-04-15T00:44:00Z,36.00,65.00
2026-04-15T00:45:00Z,36.00,65.00
2026-04-15T00:58:00Z,36.00,65.00
2026-04-15T01:08:00Z,36.00,65.00
2026-04-15T01:34:00Z,36.00,65.00
2026-04-15T01:37:00Z,36.00,65.00
2026-04-15T01:39:00Z,36.00,66.00
2026-04-15T01:45:00Z,36.00,66.00
2026-04-15T01:46:00Z,36.00,66.00
2026-04-15T01:51:00Z,36.00,66.00
2026-04-15T01:58:00Z,36.00,66.00
2026-04-15T02:03:00Z,36.00,66.00
2026-04-15T02:08:00Z,36.00,66.00
2026-04-15T02:09:00Z,36.00,66.00
2026-04-15T02:10:00Z,34.00,66.00
2026-04-15T02:12:00Z,34.00,66.00
2026-04-15T02:17:00Z,34.00,66.00
2026-04-15T02:20:00Z,34.00,66.00
2026-04-15T02:21:00Z,36.00,66.00
2026-04-15T02:27:00Z,36.00,66.00
2026-04-15T02:28:00Z,36.00,66.00
2026-04-15T02:31:00Z,36.00,66.00
2026-04-15T02:34:00Z,35.00,66.00
