# event_ticker=KXATPCHALLENGERMATCH-26APR02WENHSU
# final_score=6-3 6-3
# match_winner=Harry Wendelken
# fav_player=Harry Wendelken
# dog_player=Yu Hsiou Hsu
# kalshi_date=2026-04-02
timestamp,Harry Wendelken,Yu Hsiou Hsu
2026-04-02T17:00:00Z,48.50,
2026-04-02T17:13:00Z,48.50,55.00
2026-04-02T17:34:00Z,48.50,55.00
2026-04-02T17:36:00Z,48.00,55.00
2026-04-02T17:45:00Z,48.00,55.37
2026-04-02T17:47:00Z,48.00,56.00
2026-04-02T19:57:00Z,47.00,56.00
2026-04-02T20:03:00Z,47.00,56.00
2026-04-02T20:13:00Z,47.00,58.00
2026-04-02T20:41:00Z,47.00,55.88
2026-04-02T20:50:00Z,47.00,55.00
2026-04-02T20:56:00Z,47.00,57.00
2026-04-02T21:13:00Z,47.00,57.00
2026-04-02T21:21:00Z,46.00,57.00
2026-04-02T21:39:00Z,47.00,57.00
2026-04-02T21:43:00Z,47.00,57.00
2026-04-02T22:12:00Z,46.25,57.00
2026-04-02T22:52:00Z,46.25,57.00
2026-04-02T23:03:00Z,46.25,54.00
2026-04-02T23:04:00Z,46.25,54.56
2026-04-03T00:02:00Z,47.00,54.56
2026-04-03T00:30:00Z,47.00,56.87
2026-04-03T00:46:00Z,47.00,58.00
2026-04-03T00:55:00Z,46.00,58.00
2026-04-03T01:23:00Z,46.00,58.00
2026-04-03T01:25:00Z,46.00,58.00
2026-04-03T01:32:00Z,46.00,58.00
2026-04-03T01:46:00Z,46.00,58.00
2026-04-03T01:53:00Z,46.00,58.00
2026-04-03T01:55:00Z,46.00,58.00
2026-04-03T02:02:00Z,46.00,58.00
2026-04-03T02:08:00Z,46.00,58.00
2026-04-03T02:18:00Z,46.00,58.00
2026-04-03T02:22:00Z,46.00,58.00
2026-04-03T02:24:00Z,46.00,56.00
2026-04-03T02:25:00Z,46.00,54.00
2026-04-03T02:28:00Z,46.00,54.00
2026-04-03T02:30:00Z,46.00,57.00
2026-04-03T02:31:00Z,46.00,57.00
2026-04-03T02:32:00Z,47.00,57.00
2026-04-03T02:36:00Z,46.74,57.00
2026-04-03T02:41:00Z,46.74,57.00
2026-04-03T02:47:00Z,47.00,57.00
2026-04-03T02:52:00Z,47.00,57.00
2026-04-03T02:57:00Z,47.00,57.00
2026-04-03T03:00:00Z,47.00,57.00
2026-04-03T03:06:00Z,47.00,57.00
2026-04-03T03:09:00Z,46.00,57.00
2026-04-03T03:10:00Z,46.00,57.00
2026-04-03T03:14:00Z,46.00,57.00
2026-04-03T03:15:00Z,46.00,56.80
2026-04-03T03:16:00Z,46.00,57.00
2026-04-03T03:17:00Z,45.51,58.67
2026-04-03T03:18:00Z,47.00,58.67
2026-04-03T03:19:00Z,47.45,58.55
2026-04-03T03:20:00Z,48.49,54.83
2026-04-03T03:21:00Z,51.42,54.89
2026-04-03T03:22:00Z,53.50,52.01
2026-04-03T03:23:00Z,53.50,53.00
2026-04-03T03:24:00Z,58.92,53.00
2026-04-03T03:25:00Z,58.92,50.66
2026-04-03T03:26:00Z,58.92,49.52
2026-04-03T03:27:00Z,58.92,50.00
2026-04-03T03:28:00Z,58.92,52.53
2026-04-03T03:29:00Z,58.92,56.29
2026-04-03T03:30:00Z,50.00,56.00
2026-04-03T03:31:00Z,46.07,58.00
2026-04-03T03:32:00Z,42.00,58.00
2026-04-03T03:33:00Z,41.00,58.00
2026-04-03T03:34:00Z,45.00,60.31
2026-04-03T03:35:00Z,45.00,60.08
2026-04-03T03:36:00Z,44.81,60.00
2026-04-03T03:37:00Z,43.86,55.12
2026-04-03T03:38:00Z,44.00,59.09
2026-04-03T03:39:00Z,40.87,62.80
2026-04-03T03:40:00Z,39.00,64.00
2026-04-03T03:41:00Z,39.00,64.00
2026-04-03T03:42:00Z,34.00,70.82
2026-04-03T03:43:00Z,28.41,69.97
2026-04-03T03:44:00Z,34.00,63.39
2026-04-03T03:45:00Z,40.31,59.00
2026-04-03T03:46:00Z,39.37,65.61
2026-04-03T03:47:00Z,36.00,63.00
2026-04-03T03:48:00Z,46.93,60.07
2026-04-03T03:49:00Z,43.78,60.00
2026-04-03T03:50:00Z,41.99,60.14
2026-04-03T03:51:00Z,39.57,61.54
2026-04-03T03:52:00Z,38.64,62.22
2026-04-03T03:53:00Z,38.64,62.00
2026-04-03T03:54:00Z,36.00,64.97
2026-04-03T03:55:00Z,40.02,61.00
2026-04-03T03:56:00Z,39.18,63.00
2026-04-03T03:57:00Z,33.14,68.03
2026-04-03T03:58:00Z,39.79,61.26
2026-04-03T03:59:00Z,43.16,61.29
2026-04-03T04:00:00Z,42.75,59.74
2026-04-03T04:01:00Z,40.46,59.30
2026-04-03T04:02:00Z,40.46,62.37
2026-04-03T04:03:00Z,36.17,64.00
2026-04-03T04:04:00Z,34.56,67.69
2026-04-03T04:05:00Z,29.30,71.22
2026-04-03T04:06:00Z,35.63,71.22
2026-04-03T04:07:00Z,40.38,60.25
2026-04-03T04:08:00Z,45.41,57.17
2026-04-03T04:09:00Z,47.05,55.28
2026-04-03T04:10:00Z,56.76,45.62
2026-04-03T04:11:00Z,54.08,43.55
2026-04-03T04:12:00Z,54.08,39.39
2026-04-03T04:13:00Z,61.77,40.09
2026-04-03T04:14:00Z,66.14,36.58
2026-04-03T04:15:00Z,65.24,35.86
2026-04-03T04:16:00Z,65.04,36.58
2026-04-03T04:17:00Z,66.05,34.07
2026-04-03T04:18:00Z,66.00,35.49
2026-04-03T04:19:00Z,70.05,29.21
2026-04-03T04:20:00Z,69.00,31.00
2026-04-03T04:21:00Z,73.93,26.00
2026-04-03T04:22:00Z,75.87,26.00
2026-04-03T04:23:00Z,75.46,25.79
2026-04-03T04:24:00Z,76.00,24.00
2026-04-03T04:25:00Z,76.92,24.00
2026-04-03T04:26:00Z,75.64,26.54
2026-04-03T04:27:00Z,76.00,23.01
2026-04-03T04:28:00Z,76.06,23.66
2026-04-03T04:29:00Z,73.09,27.67
2026-04-03T04:30:00Z,72.45,32.77
2026-04-03T04:31:00Z,76.23,25.55
2026-04-03T04:32:00Z,77.00,23.81
2026-04-03T04:33:00Z,78.64,23.16
2026-04-03T04:34:00Z,80.99,21.61
2026-04-03T04:35:00Z,82.36,19.50
2026-04-03T04:36:00Z,83.69,18.90
2026-04-03T04:37:00Z,83.82,21.01
2026-04-03T04:38:00Z,87.64,15.96
2026-04-03T04:39:00Z,83.15,18.61
2026-04-03T04:40:00Z,90.77,12.35
2026-04-03T04:41:00Z,88.96,13.06
2026-04-03T04:42:00Z,91.36,11.21
2026-04-03T04:43:00Z,92.95,7.76
2026-04-03T04:44:00Z,94.16,9.81
2026-04-03T04:45:00Z,92.48,8.33
2026-04-03T04:46:00Z,91.47,10.03
2026-04-03T04:47:00Z,89.33,11.87
