# event_ticker=KXATPCHALLENGERMATCH-26APR14ABOCIG
# final_score=6-2 6-0
# match_winner=Valerio Aboian
# fav_player=Valerio Aboian
# dog_player=Thiago Cigarran
# kalshi_date=2026-04-14
timestamp,Valerio Aboian,Thiago Cigarran
2026-04-14T09:50:00Z,74.00,
2026-04-14T12:10:00Z,79.00,
2026-04-14T14:07:00Z,80.00,
2026-04-14T14:11:00Z,80.00,
2026-04-14T14:15:00Z,80.00,
2026-04-14T16:15:00Z,79.00,23.00
2026-04-14T16:18:00Z,80.00,23.00
2026-04-14T16:45:00Z,80.00,23.00
2026-04-14T17:37:00Z,79.00,23.00
2026-04-14T17:45:00Z,79.00,23.00
2026-04-14T18:19:00Z,80.00,23.00
2026-04-14T18:21:00Z,80.00,23.00
2026-04-14T18:45:00Z,79.00,23.00
2026-04-14T18:51:00Z,80.00,23.00
2026-04-14T18:56:00Z,80.00,23.00
2026-04-14T19:01:00Z,80.00,23.00
2026-04-14T19:03:00Z,80.00,23.00
2026-04-14T19:05:00Z,80.00,23.00
2026-04-14T19:08:00Z,80.00,22.00
2026-04-14T19:11:00Z,80.00,23.00
2026-04-14T19:21:00Z,80.00,23.00
2026-04-14T19:25:00Z,80.00,23.00
2026-04-14T19:40:00Z,79.00,23.00
2026-04-14T19:44:00Z,80.00,23.00
2026-04-14T19:55:00Z,80.00,23.00
2026-04-14T19:59:00Z,80.00,23.00
2026-04-14T20:01:00Z,80.00,22.86
2026-04-14T20:15:00Z,80.00,22.95
2026-04-14T20:17:00Z,79.00,23.00
2026-04-14T20:18:00Z,80.00,23.00
2026-04-14T20:19:00Z,78.83,23.01
2026-04-14T20:20:00Z,78.83,23.00
2026-04-14T20:21:00Z,77.03,23.00
2026-04-14T20:22:00Z,76.00,25.00
2026-04-14T20:23:00Z,76.00,26.00
2026-04-14T20:24:00Z,71.00,28.17
2026-04-14T20:25:00Z,70.00,31.00
2026-04-14T20:26:00Z,70.00,29.00
2026-04-14T20:27:00Z,70.00,29.00
2026-04-14T20:28:00Z,74.67,33.52
2026-04-14T20:29:00Z,75.11,37.00
2026-04-14T20:30:00Z,75.11,30.56
2026-04-14T20:32:00Z,67.00,32.52
2026-04-14T20:33:00Z,67.00,32.06
2026-04-14T20:34:00Z,67.00,35.19
2026-04-14T20:35:00Z,63.00,39.75
2026-04-14T20:36:00Z,56.00,44.55
2026-04-14T20:37:00Z,63.56,40.00
2026-04-14T20:38:00Z,62.31,43.16
2026-04-14T20:39:00Z,64.64,40.57
2026-04-14T20:40:00Z,67.53,30.24
2026-04-14T20:41:00Z,70.00,31.00
2026-04-14T20:42:00Z,70.00,31.00
2026-04-14T20:43:00Z,70.00,26.00
2026-04-14T20:44:00Z,74.90,27.75
2026-04-14T20:45:00Z,76.17,27.25
2026-04-14T20:46:00Z,77.00,31.73
2026-04-14T20:47:00Z,79.80,20.56
2026-04-14T20:48:00Z,79.80,16.55
2026-04-14T20:49:00Z,86.00,14.31
2026-04-14T20:50:00Z,86.00,14.27
2026-04-14T20:51:00Z,86.00,17.89
2026-04-14T20:52:00Z,86.00,16.82
2026-04-14T20:53:00Z,87.99,13.26
2026-04-14T20:54:00Z,87.99,12.34
2026-04-14T20:55:00Z,91.86,10.76
2026-04-14T20:56:00Z,91.00,11.02
2026-04-14T20:57:00Z,93.53,12.00
2026-04-14T20:58:00Z,94.00,10.00
2026-04-14T20:59:00Z,93.00,9.00
2026-04-14T21:00:00Z,93.00,5.35
2026-04-14T21:01:00Z,91.80,8.11
2026-04-14T21:02:00Z,90.00,12.76
2026-04-14T21:03:00Z,92.00,9.00
2026-04-14T21:04:00Z,87.00,14.59
2026-04-14T21:05:00Z,87.00,11.57
2026-04-14T21:06:00Z,87.00,9.40
2026-04-14T21:07:00Z,94.00,8.00
2026-04-14T21:08:00Z,92.29,7.92
2026-04-14T21:09:00Z,92.00,7.54
2026-04-14T21:10:00Z,94.00,7.13
2026-04-14T21:11:00Z,94.00,7.43
2026-04-14T21:12:00Z,96.29,4.20
2026-04-14T21:13:00Z,96.09,4.97
2026-04-14T21:14:00Z,94.00,6.73
2026-04-14T21:15:00Z,93.38,6.17
2026-04-14T21:16:00Z,97.00,4.14
2026-04-14T21:17:00Z,95.12,5.89
2026-04-14T21:18:00Z,96.00,4.93
2026-04-14T21:19:00Z,95.00,5.00
2026-04-14T21:20:00Z,98.00,3.77
2026-04-14T21:21:00Z,97.28,2.65
2026-04-14T21:22:00Z,98.00,3.29
2026-04-14T21:23:00Z,98.00,2.84
2026-04-14T21:24:00Z,99.00,2.32
2026-04-14T21:25:00Z,99.00,1.13
2026-04-14T21:26:00Z,99.00,1.40
2026-04-14T21:27:00Z,99.00,2.46
2026-04-14T21:28:00Z,99.00,1.82
2026-04-14T21:29:00Z,98.98,1.02
2026-04-14T21:30:00Z,98.98,1.52
2026-04-14T21:31:00Z,98.97,1.02
2026-04-14T21:32:00Z,98.58,1.00
2026-04-14T21:33:00Z,99.00,1.00
2026-04-14T21:34:00Z,97.97,1.35
2026-04-14T21:35:00Z,99.00,1.86
2026-04-14T21:36:00Z,99.00,2.00
2026-04-14T21:37:00Z,99.00,1.28
2026-04-14T21:38:00Z,99.00,1.07
2026-04-14T21:39:00Z,99.00,1.68
2026-04-14T21:41:00Z,99.00,1.00
2026-04-14T21:42:00Z,99.00,1.00
2026-04-14T21:44:00Z,99.00,1.00
2026-04-14T21:45:00Z,99.00,1.00
