# event_ticker=KXATPCHALLENGERMATCH-26MAY13TORLIN
# final_score=6-0 6-2
# match_winner=Juan Bautista Torres
# fav_player=Juan Bautista Torres
# dog_player=Samuel Alejandro Linde Palacios
# kalshi_date=2026-05-13
timestamp,Juan Bautista Torres,Samuel Alejandro Linde Palacios
2026-05-13T03:54:00Z,89.00,
2026-05-13T04:01:00Z,85.00,
2026-05-13T05:33:00Z,90.00,
2026-05-13T07:03:00Z,90.00,12.00
2026-05-13T07:56:00Z,90.00,10.00
2026-05-13T08:16:00Z,90.00,7.00
2026-05-13T08:47:00Z,90.00,9.00
2026-05-13T12:16:00Z,90.00,6.00
2026-05-13T12:21:00Z,90.00,6.00
2026-05-13T12:43:00Z,90.00,6.00
2026-05-13T13:34:00Z,94.83,6.00
2026-05-13T13:44:00Z,94.83,5.00
2026-05-13T13:59:00Z,95.00,5.00
2026-05-13T14:01:00Z,95.00,6.00
2026-05-13T14:04:00Z,95.00,6.00
2026-05-13T14:25:00Z,95.00,7.00
2026-05-13T14:27:00Z,95.00,7.49
2026-05-13T14:31:00Z,94.00,7.49
2026-05-13T15:01:00Z,94.00,7.49
2026-05-13T15:06:00Z,94.00,8.00
2026-05-13T15:16:00Z,94.00,8.00
2026-05-13T15:26:00Z,94.00,8.00
2026-05-13T15:29:00Z,94.00,8.00
2026-05-13T15:31:00Z,94.00,8.00
2026-05-13T15:32:00Z,94.00,8.00
2026-05-13T15:36:00Z,94.00,7.00
2026-05-13T15:45:00Z,94.00,7.82
2026-05-13T15:47:00Z,94.00,8.00
2026-05-13T15:48:00Z,94.00,8.00
2026-05-13T15:49:00Z,94.00,8.00
2026-05-13T15:50:00Z,93.98,7.91
2026-05-13T15:51:00Z,94.12,6.00
2026-05-13T15:52:00Z,94.00,6.19
2026-05-13T15:53:00Z,94.91,6.00
2026-05-13T15:54:00Z,95.33,5.25
2026-05-13T15:55:00Z,95.00,6.44
2026-05-13T15:56:00Z,93.72,6.20
2026-05-13T15:57:00Z,93.02,7.00
2026-05-13T15:58:00Z,94.00,7.00
2026-05-13T15:59:00Z,95.56,5.19
2026-05-13T16:00:00Z,96.00,4.01
2026-05-13T16:01:00Z,96.00,3.50
2026-05-13T16:02:00Z,97.00,4.00
2026-05-13T16:03:00Z,97.00,4.00
2026-05-13T16:04:00Z,96.06,4.26
2026-05-13T16:05:00Z,97.00,4.26
2026-05-13T16:06:00Z,97.00,4.21
2026-05-13T16:07:00Z,97.00,4.00
2026-05-13T16:08:00Z,97.00,3.26
2026-05-13T16:09:00Z,98.00,2.81
2026-05-13T16:10:00Z,98.99,1.09
2026-05-13T16:11:00Z,99.00,2.00
2026-05-13T16:12:00Z,99.00,2.00
2026-05-13T16:13:00Z,98.90,1.80
2026-05-13T16:14:00Z,98.00,3.00
2026-05-13T16:15:00Z,98.00,3.00
2026-05-13T16:16:00Z,99.00,1.36
2026-05-13T16:17:00Z,99.00,3.00
2026-05-13T16:18:00Z,99.00,3.00
2026-05-13T16:19:00Z,99.00,3.00
2026-05-13T16:20:00Z,99.00,1.00
2026-05-13T16:21:00Z,99.00,1.00
2026-05-13T16:22:00Z,99.00,2.00
2026-05-13T16:23:00Z,99.00,1.45
2026-05-13T16:24:00Z,99.00,1.90
2026-05-13T16:25:00Z,99.00,2.00
2026-05-13T16:26:00Z,99.00,1.66
2026-05-13T16:27:00Z,99.00,1.91
2026-05-13T16:28:00Z,99.00,1.69
2026-05-13T16:29:00Z,99.00,1.00
2026-05-13T16:31:00Z,99.00,2.00
2026-05-13T16:32:00Z,99.00,2.00
2026-05-13T16:34:00Z,99.00,1.00
2026-05-13T16:36:00Z,99.00,2.11
2026-05-13T16:37:00Z,99.00,1.23
2026-05-13T16:38:00Z,99.00,2.58
2026-05-13T16:39:00Z,98.26,1.66
2026-05-13T16:40:00Z,99.00,1.85
2026-05-13T16:41:00Z,99.00,1.61
2026-05-13T16:42:00Z,99.00,1.98
2026-05-13T16:43:00Z,99.00,1.82
2026-05-13T16:44:00Z,99.00,1.14
2026-05-13T16:45:00Z,99.00,1.83
2026-05-13T16:46:00Z,99.00,2.00
2026-05-13T16:47:00Z,99.00,1.28
2026-05-13T16:49:00Z,99.00,2.00
2026-05-13T16:50:00Z,99.00,2.00
