# event_ticker=KXATPCHALLENGERMATCH-26MAR03COUBOU
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Eliakim Coulibaly
# fav_player=Cesar Bouchelaghem
# dog_player=Eliakim Coulibaly
# kalshi_date=2026-03-03
timestamp,Cesar Bouchelaghem,Eliakim Coulibaly
2026-03-03T02:26:00Z,,64.00
2026-03-03T04:07:00Z,37.00,64.00
2026-03-03T04:12:00Z,37.00,62.00
2026-03-03T04:43:00Z,37.00,62.83
2026-03-03T05:19:00Z,37.00,63.00
2026-03-03T05:25:00Z,37.00,63.00
2026-03-03T05:36:00Z,37.00,63.00
2026-03-03T05:55:00Z,37.00,63.00
2026-03-03T05:57:00Z,39.00,63.00
2026-03-03T06:19:00Z,39.00,63.00
2026-03-03T06:42:00Z,39.00,63.00
2026-03-03T06:50:00Z,39.00,64.00
2026-03-03T06:51:00Z,39.00,64.00
2026-03-03T06:56:00Z,39.00,64.00
2026-03-03T07:13:00Z,38.00,64.00
2026-03-03T07:17:00Z,38.00,64.00
2026-03-03T07:33:00Z,38.00,64.00
2026-03-03T07:48:00Z,38.00,64.00
2026-03-03T08:25:00Z,38.00,64.00
2026-03-03T08:36:00Z,38.00,64.00
2026-03-03T09:42:00Z,38.00,63.98
2026-03-03T09:45:00Z,38.00,63.83
2026-03-03T09:49:00Z,38.00,63.00
2026-03-03T10:01:00Z,38.00,64.00
2026-03-03T10:15:00Z,38.00,64.85
2026-03-03T10:27:00Z,37.00,65.00
2026-03-03T10:28:00Z,37.00,65.00
2026-03-03T10:29:00Z,37.00,65.00
2026-03-03T11:01:00Z,35.00,64.00
2026-03-03T11:08:00Z,37.80,64.00
2026-03-03T11:14:00Z,37.96,64.00
2026-03-03T11:27:00Z,37.96,65.60
2026-03-03T11:32:00Z,37.96,65.92
2026-03-03T11:37:00Z,37.96,64.00
2026-03-03T11:41:00Z,37.96,64.13
2026-03-03T11:43:00Z,37.00,64.13
2026-03-03T11:48:00Z,35.00,64.13
2026-03-03T11:52:00Z,37.00,64.13
2026-03-03T11:53:00Z,37.00,65.00
2026-03-03T11:54:00Z,37.00,65.00
2026-03-03T11:57:00Z,37.00,65.00
2026-03-03T12:05:00Z,37.00,65.00
2026-03-03T12:20:00Z,37.00,65.00
2026-03-03T12:23:00Z,37.00,65.00
2026-03-03T12:25:00Z,37.00,63.38
2026-03-03T12:32:00Z,37.00,65.00
2026-03-03T12:33:00Z,37.00,65.00
2026-03-03T12:34:00Z,37.00,65.00
2026-03-03T12:35:00Z,37.00,64.00
2026-03-03T12:36:00Z,34.10,66.00
2026-03-03T12:37:00Z,34.10,67.13
2026-03-03T12:38:00Z,35.48,64.93
2026-03-03T12:39:00Z,35.48,68.00
2026-03-03T12:40:00Z,36.00,64.00
2026-03-03T12:41:00Z,37.78,64.99
2026-03-03T12:42:00Z,38.56,64.00
2026-03-03T12:43:00Z,38.56,64.91
2026-03-03T12:44:00Z,34.00,68.00
2026-03-03T12:45:00Z,34.00,67.00
2026-03-03T12:46:00Z,34.00,67.00
2026-03-03T12:47:00Z,34.39,63.01
2026-03-03T12:48:00Z,38.82,62.00
2026-03-03T12:49:00Z,37.55,62.00
2026-03-03T12:50:00Z,38.86,62.98
2026-03-03T12:51:00Z,37.31,64.91
2026-03-03T12:52:00Z,38.00,64.91
2026-03-03T12:53:00Z,34.00,64.91
2026-03-03T12:54:00Z,34.00,68.00
2026-03-03T12:55:00Z,34.00,69.00
2026-03-03T12:56:00Z,34.37,68.89
2026-03-03T12:57:00Z,38.06,64.00
2026-03-03T12:58:00Z,42.28,58.50
2026-03-03T12:59:00Z,39.92,63.07
2026-03-03T13:00:00Z,36.49,66.64
2026-03-03T13:01:00Z,35.00,66.04
2026-03-03T13:02:00Z,35.00,70.29
2026-03-03T13:03:00Z,23.06,78.67
2026-03-03T13:04:00Z,15.00,85.67
2026-03-03T13:05:00Z,11.54,88.00
2026-03-03T13:06:00Z,12.37,88.64
2026-03-03T13:07:00Z,13.00,87.91
2026-03-03T13:08:00Z,12.33,88.00
2026-03-03T13:09:00Z,13.00,87.00
2026-03-03T13:10:00Z,13.00,87.92
2026-03-03T13:11:00Z,13.00,88.00
