# event_ticker=KXATPMATCH-25JUL13UGOGAR
# final_score=6-4 6-4
# match_winner=Camilo Ugo Carabelli
# fav_player=Camilo Ugo Carabelli
# dog_player=Cristian Garin
# kalshi_date=2025-07-13
timestamp,Camilo Ugo Carabelli,Cristian Garin
2025-07-15T23:01:00Z,,67.00
2025-07-15T23:02:00Z,37.00,67.00
2025-07-15T23:03:00Z,37.00,67.00
2025-07-15T23:07:00Z,37.00,67.00
2025-07-15T23:09:00Z,33.28,67.00
2025-07-15T23:11:00Z,30.67,59.00
2025-07-15T23:12:00Z,35.00,59.00
2025-07-15T23:14:00Z,35.00,59.00
2025-07-15T23:17:00Z,35.00,59.00
2025-07-15T23:18:00Z,35.00,67.00
2025-07-15T23:20:00Z,30.00,68.00
2025-07-15T23:22:00Z,30.00,67.00
2025-07-15T23:25:00Z,30.00,67.72
2025-07-15T23:27:00Z,30.00,67.72
2025-07-15T23:28:00Z,30.00,68.00
2025-07-15T23:32:00Z,30.00,58.22
2025-07-15T23:33:00Z,35.00,58.22
2025-07-15T23:35:00Z,35.00,58.22
2025-07-15T23:37:00Z,35.00,68.00
2025-07-15T23:38:00Z,29.86,68.00
2025-07-15T23:39:00Z,29.86,68.00
2025-07-15T23:40:00Z,29.86,68.00
2025-07-15T23:43:00Z,34.19,65.07
2025-07-15T23:44:00Z,34.19,59.83
2025-07-15T23:48:00Z,34.00,59.83
2025-07-15T23:50:00Z,34.00,66.55
2025-07-15T23:52:00Z,34.00,67.88
2025-07-15T23:54:00Z,34.00,61.43
2025-07-15T23:55:00Z,34.00,66.90
2025-07-16T00:00:00Z,34.00,68.00
2025-07-16T00:01:00Z,29.50,68.00
2025-07-16T00:04:00Z,32.00,68.01
2025-07-16T00:05:00Z,33.00,68.01
2025-07-16T00:09:00Z,33.00,65.91
2025-07-16T00:12:00Z,34.00,61.00
2025-07-16T00:15:00Z,34.00,61.00
2025-07-16T00:17:00Z,37.00,61.00
2025-07-16T00:23:00Z,32.83,61.00
2025-07-16T00:29:00Z,32.50,61.00
2025-07-16T00:31:00Z,32.50,61.00
2025-07-16T00:39:00Z,32.50,61.00
2025-07-16T00:40:00Z,30.20,61.00
2025-07-16T00:42:00Z,30.20,61.00
2025-07-16T00:44:00Z,30.20,57.43
2025-07-16T00:45:00Z,30.20,61.41
2025-07-16T00:48:00Z,30.20,57.00
2025-07-16T00:50:00Z,30.20,62.00
2025-07-16T00:52:00Z,30.20,57.00
2025-07-16T00:53:00Z,30.00,57.00
2025-07-16T00:55:00Z,35.00,57.42
2025-07-16T00:56:00Z,35.00,62.00
2025-07-16T01:04:00Z,35.00,62.00
2025-07-16T01:07:00Z,30.00,62.00
