# event_ticker=KXATPCHALLENGERMATCH-26MAR23KOLMOR
# final_score=6-4 2-6 6-0
# score_resolution=4-6 6-2 0-6
# match_winner=Alejandro Moro Canas
# fav_player=Zdenek Kolar
# dog_player=Alejandro Moro Canas
# kalshi_date=2026-03-23
timestamp,Zdenek Kolar,Alejandro Moro Canas
2026-03-23T02:18:00Z,,47.00
2026-03-23T04:35:00Z,54.00,47.00
2026-03-23T04:51:00Z,54.00,47.00
2026-03-23T05:18:00Z,54.00,47.00
2026-03-23T06:12:00Z,54.00,47.00
2026-03-23T06:33:00Z,54.00,47.00
2026-03-23T06:45:00Z,54.00,47.00
2026-03-23T07:54:00Z,54.00,47.00
2026-03-23T08:29:00Z,54.00,48.00
2026-03-23T09:43:00Z,54.00,47.00
2026-03-23T10:01:00Z,55.00,47.00
2026-03-23T10:38:00Z,55.00,47.00
2026-03-23T11:06:00Z,55.00,47.00
2026-03-23T11:15:00Z,55.00,46.00
2026-03-23T11:31:00Z,55.00,46.00
2026-03-23T12:36:00Z,55.44,46.00
2026-03-23T12:37:00Z,56.00,46.00
2026-03-23T12:46:00Z,56.00,46.00
2026-03-23T12:48:00Z,56.00,46.00
2026-03-23T12:57:00Z,56.00,46.00
2026-03-23T12:59:00Z,56.00,46.00
2026-03-23T13:15:00Z,56.00,46.00
2026-03-23T13:16:00Z,56.00,46.00
2026-03-23T13:21:00Z,56.00,46.00
2026-03-23T13:27:00Z,56.00,46.00
2026-03-23T13:34:00Z,56.00,46.00
2026-03-23T13:35:00Z,56.00,46.00
2026-03-23T13:36:00Z,56.00,46.00
2026-03-23T13:37:00Z,56.56,47.00
2026-03-23T13:39:00Z,57.00,47.00
2026-03-23T13:40:00Z,61.00,41.69
2026-03-23T13:41:00Z,66.00,36.00
2026-03-23T13:42:00Z,72.69,34.00
2026-03-23T13:43:00Z,69.00,34.00
2026-03-23T13:44:00Z,70.33,33.00
2026-03-23T13:45:00Z,71.09,30.89
2026-03-23T13:46:00Z,70.98,31.00
2026-03-23T13:47:00Z,70.92,30.30
2026-03-23T13:48:00Z,71.29,30.57
2026-03-23T13:49:00Z,73.98,27.92
2026-03-23T13:50:00Z,76.77,26.43
2026-03-23T13:51:00Z,71.84,29.85
2026-03-23T13:52:00Z,73.35,29.10
2026-03-23T13:53:00Z,75.56,24.75
2026-03-23T13:54:00Z,80.92,20.16
2026-03-23T13:55:00Z,81.00,19.71
2026-03-23T13:56:00Z,80.07,19.86
2026-03-23T13:57:00Z,80.26,21.87
2026-03-23T13:58:00Z,83.26,17.04
2026-03-23T13:59:00Z,82.59,21.71
2026-03-23T14:00:00Z,82.00,20.60
2026-03-23T14:01:00Z,82.71,18.74
2026-03-23T14:02:00Z,82.00,18.97
2026-03-23T14:03:00Z,81.15,20.95
2026-03-23T14:04:00Z,79.95,21.00
2026-03-23T14:05:00Z,80.78,20.90
2026-03-23T14:06:00Z,81.00,20.49
2026-03-23T14:07:00Z,76.88,23.11
2026-03-23T14:08:00Z,74.01,26.93
2026-03-23T14:09:00Z,75.90,26.00
2026-03-23T14:10:00Z,73.44,30.23
2026-03-23T14:11:00Z,69.09,33.30
2026-03-23T14:12:00Z,67.59,32.68
2026-03-23T14:13:00Z,66.77,34.62
2026-03-23T14:14:00Z,65.21,38.27
2026-03-23T14:15:00Z,62.75,43.80
2026-03-23T14:16:00Z,54.13,47.26
2026-03-23T14:17:00Z,48.89,52.62
2026-03-23T14:18:00Z,63.35,46.45
2026-03-23T14:19:00Z,66.78,34.46
2026-03-23T14:20:00Z,66.50,35.40
2026-03-23T14:21:00Z,57.44,41.06
2026-03-23T14:22:00Z,49.24,54.62
2026-03-23T14:23:00Z,45.21,55.28
2026-03-23T14:24:00Z,43.80,56.68
