# event_ticker=KXATPCHALLENGERMATCH-26MAY12HASMEJ
# final_score=6-4 6-3
# match_winner=Benjamin Hassan
# fav_player=Benjamin Hassan
# dog_player=Nicolas Mejia
# kalshi_date=2026-05-12
timestamp,Benjamin Hassan,Nicolas Mejia
2026-05-12T02:59:00Z,41.00,
2026-05-12T03:21:00Z,41.00,61.00
2026-05-12T03:59:00Z,43.00,61.00
2026-05-12T04:31:00Z,43.00,61.00
2026-05-12T04:32:00Z,43.00,56.90
2026-05-12T04:35:00Z,43.00,56.90
2026-05-12T05:24:00Z,43.00,59.00
2026-05-12T05:37:00Z,43.00,59.00
2026-05-12T05:50:00Z,43.00,59.00
2026-05-12T10:00:00Z,43.00,57.00
2026-05-12T10:41:00Z,43.00,56.00
2026-05-12T10:45:00Z,43.00,57.00
2026-05-12T10:56:00Z,43.00,57.00
2026-05-12T11:12:00Z,43.00,57.00
2026-05-12T11:24:00Z,43.00,57.00
2026-05-12T12:00:00Z,43.00,58.00
2026-05-12T12:03:00Z,43.00,58.00
2026-05-12T12:08:00Z,44.00,58.00
2026-05-12T13:00:00Z,43.00,58.00
2026-05-12T13:07:00Z,43.00,59.00
2026-05-12T13:09:00Z,42.00,59.00
2026-05-12T13:24:00Z,42.00,59.00
2026-05-12T13:30:00Z,43.00,59.00
2026-05-12T13:31:00Z,43.00,59.00
2026-05-12T13:32:00Z,43.00,59.00
2026-05-12T13:34:00Z,43.00,59.00
2026-05-12T13:54:00Z,40.00,59.00
2026-05-12T13:56:00Z,40.00,59.00
2026-05-12T13:57:00Z,43.00,59.00
2026-05-12T14:01:00Z,43.00,60.00
2026-05-12T14:08:00Z,43.00,59.92
2026-05-12T14:18:00Z,43.00,59.00
2026-05-12T14:25:00Z,43.00,59.00
2026-05-12T14:35:00Z,43.00,60.00
2026-05-12T14:36:00Z,43.00,60.00
2026-05-12T14:39:00Z,43.00,60.00
2026-05-12T14:40:00Z,43.00,56.00
2026-05-12T14:42:00Z,43.00,56.00
2026-05-12T14:43:00Z,43.00,61.98
2026-05-12T14:44:00Z,37.68,63.50
2026-05-12T14:45:00Z,33.50,66.71
2026-05-12T14:46:00Z,36.00,67.67
2026-05-12T14:47:00Z,36.00,65.18
2026-05-12T14:48:00Z,37.00,62.00
2026-05-12T14:49:00Z,37.07,62.00
2026-05-12T14:50:00Z,40.00,60.00
2026-05-12T14:51:00Z,42.91,56.03
2026-05-12T14:52:00Z,40.00,62.00
2026-05-12T14:53:00Z,40.00,59.01
2026-05-12T14:54:00Z,42.69,58.00
2026-05-12T14:55:00Z,41.42,58.31
2026-05-12T14:56:00Z,45.08,56.84
2026-05-12T14:57:00Z,45.13,56.78
2026-05-12T14:58:00Z,39.00,58.86
2026-05-12T14:59:00Z,38.00,62.00
2026-05-12T15:00:00Z,38.27,63.53
2026-05-12T15:01:00Z,42.00,60.06
2026-05-12T15:02:00Z,43.00,58.00
2026-05-12T15:03:00Z,43.00,60.93
2026-05-12T15:04:00Z,44.00,59.00
2026-05-12T15:05:00Z,41.08,61.90
2026-05-12T15:06:00Z,44.03,54.00
2026-05-12T15:07:00Z,48.33,49.50
2026-05-12T15:08:00Z,57.00,43.01
2026-05-12T15:09:00Z,57.00,44.92
2026-05-12T15:10:00Z,53.40,47.07
2026-05-12T15:11:00Z,53.40,41.65
2026-05-12T15:12:00Z,58.93,41.00
2026-05-12T15:13:00Z,61.00,41.14
2026-05-12T15:14:00Z,59.95,42.00
2026-05-12T15:15:00Z,57.95,43.80
2026-05-12T15:16:00Z,58.00,43.16
