# event_ticker=KXATPCHALLENGERMATCH-26MAY08BAXERH
# final_score=6-3 6-4
# match_winner=Florent Bax
# fav_player=Florent Bax
# dog_player=Mathys Erhard
# kalshi_date=2026-05-08
timestamp,Florent Bax,Mathys Erhard
2026-05-08T03:17:00Z,55.00,
2026-05-08T03:29:00Z,55.00,
2026-05-08T04:36:00Z,56.00,
2026-05-08T04:41:00Z,56.00,
2026-05-08T04:45:00Z,56.00,
2026-05-08T05:26:00Z,53.00,
2026-05-08T05:33:00Z,53.00,
2026-05-08T05:35:00Z,53.00,
2026-05-08T05:50:00Z,53.00,
2026-05-08T05:56:00Z,53.00,
2026-05-08T06:31:00Z,53.00,
2026-05-08T06:33:00Z,53.00,
2026-05-08T07:37:00Z,53.00,
2026-05-08T07:43:00Z,52.38,
2026-05-08T07:53:00Z,55.00,
2026-05-08T08:35:00Z,54.00,
2026-05-08T08:54:00Z,54.00,46.00
2026-05-08T10:54:00Z,56.00,46.00
2026-05-08T11:18:00Z,55.00,46.00
2026-05-08T11:21:00Z,57.00,46.00
2026-05-08T11:49:00Z,57.00,46.00
2026-05-08T12:00:00Z,57.00,43.00
2026-05-08T12:20:00Z,57.00,43.00
2026-05-08T13:20:00Z,57.00,43.00
2026-05-08T13:24:00Z,57.00,43.00
2026-05-08T13:29:00Z,57.00,43.00
2026-05-08T13:35:00Z,57.00,43.00
2026-05-08T13:39:00Z,57.00,43.00
2026-05-08T13:43:00Z,57.00,44.00
2026-05-08T13:53:00Z,57.41,44.00
2026-05-08T13:57:00Z,57.00,44.00
2026-05-08T14:01:00Z,58.00,44.00
2026-05-08T14:04:00Z,58.00,44.00
2026-05-08T14:07:00Z,58.00,44.08
2026-05-08T14:09:00Z,58.00,44.08
2026-05-08T14:10:00Z,64.00,44.08
2026-05-08T14:12:00Z,59.00,44.08
2026-05-08T14:13:00Z,59.00,44.08
2026-05-08T14:14:00Z,58.98,41.33
2026-05-08T14:15:00Z,59.00,41.00
2026-05-08T14:16:00Z,57.00,43.00
2026-05-08T14:17:00Z,58.00,43.00
2026-05-08T14:18:00Z,59.00,43.00
2026-05-08T14:19:00Z,58.98,43.00
2026-05-08T14:20:00Z,57.00,43.00
2026-05-08T14:21:00Z,57.02,43.95
2026-05-08T14:22:00Z,57.00,44.00
2026-05-08T14:23:00Z,59.00,44.00
2026-05-08T14:24:00Z,56.55,44.00
2026-05-08T14:25:00Z,56.50,45.00
2026-05-08T14:26:00Z,60.00,45.00
2026-05-08T14:27:00Z,60.54,45.00
2026-05-08T14:28:00Z,60.61,41.50
2026-05-08T14:29:00Z,56.89,44.48
2026-05-08T14:30:00Z,55.85,46.00
2026-05-08T14:31:00Z,56.96,46.00
2026-05-08T14:32:00Z,58.43,44.29
2026-05-08T14:33:00Z,58.83,44.29
