# event_ticker=KXATPMATCH-26MAR23CILZVE
# final_score=6-2 5-7 6-4
# score_resolution=2-6 7-5 4-6
# match_winner=Alexander Zverev
# fav_player=Marin Cilic
# dog_player=Alexander Zverev
# kalshi_date=2026-03-23
timestamp,Marin Cilic,Alexander Zverev
2026-03-23T10:29:00Z,17.00,
2026-03-23T10:52:00Z,17.00,
2026-03-23T11:07:00Z,17.00,
2026-03-23T11:14:00Z,17.00,
2026-03-23T11:24:00Z,17.00,
2026-03-23T11:26:00Z,16.00,85.00
2026-03-23T11:35:00Z,16.00,85.00
2026-03-23T11:36:00Z,17.00,85.00
2026-03-23T11:38:00Z,17.00,85.00
2026-03-23T12:01:00Z,17.00,85.00
2026-03-23T12:05:00Z,17.00,85.00
2026-03-23T12:27:00Z,17.00,85.00
2026-03-23T12:30:00Z,17.00,85.00
2026-03-23T12:33:00Z,17.00,85.00
2026-03-23T12:39:00Z,17.00,85.00
2026-03-23T12:40:00Z,16.00,85.00
2026-03-23T12:56:00Z,17.00,85.00
2026-03-23T12:59:00Z,17.00,85.00
2026-03-23T13:00:00Z,17.00,85.00
2026-03-23T13:09:00Z,17.00,85.00
2026-03-23T13:14:00Z,17.00,84.00
2026-03-23T13:18:00Z,17.00,84.00
2026-03-23T13:19:00Z,17.00,84.00
2026-03-23T13:25:00Z,17.00,84.00
2026-03-23T13:26:00Z,17.00,84.00
2026-03-23T13:35:00Z,17.00,84.00
2026-03-23T13:37:00Z,18.00,84.00
2026-03-23T13:39:00Z,18.00,84.00
2026-03-23T13:42:00Z,18.00,84.00
2026-03-23T13:48:00Z,18.00,84.00
2026-03-23T13:50:00Z,17.00,84.00
2026-03-23T13:52:00Z,17.00,84.00
2026-03-23T13:54:00Z,16.00,84.00
2026-03-23T14:02:00Z,16.73,84.00
2026-03-23T14:03:00Z,17.00,84.00
2026-03-23T14:08:00Z,17.00,84.00
2026-03-23T14:11:00Z,17.00,84.00
2026-03-23T14:15:00Z,17.00,84.00
2026-03-23T14:16:00Z,17.00,84.00
2026-03-23T14:23:00Z,17.00,84.00
2026-03-23T14:24:00Z,17.00,84.00
2026-03-23T14:32:00Z,17.00,84.00
2026-03-23T14:39:00Z,17.00,84.00
2026-03-23T14:44:00Z,17.00,84.00
2026-03-23T14:45:00Z,17.00,84.00
2026-03-23T14:47:00Z,17.00,84.00
2026-03-23T14:48:00Z,17.00,84.00
2026-03-23T14:50:00Z,17.00,84.00
2026-03-23T14:54:00Z,17.00,84.00
2026-03-23T14:55:00Z,17.00,84.00
2026-03-23T15:07:00Z,17.00,84.00
2026-03-23T15:12:00Z,17.00,84.00
2026-03-23T15:17:00Z,17.00,84.00
2026-03-23T15:28:00Z,17.00,84.00
2026-03-23T15:29:00Z,17.00,84.00
2026-03-23T15:30:00Z,17.00,84.00
2026-03-23T15:31:00Z,17.00,84.00
2026-03-23T15:32:00Z,17.00,84.00
2026-03-23T15:38:00Z,17.00,84.00
2026-03-23T15:44:00Z,16.00,84.00
2026-03-23T15:47:00Z,16.00,84.00
2026-03-23T15:48:00Z,16.00,84.00
2026-03-23T15:49:00Z,17.00,84.00
2026-03-23T15:50:00Z,17.00,83.00
2026-03-23T15:53:00Z,17.00,84.00
2026-03-23T15:55:00Z,17.00,84.00
2026-03-23T16:05:00Z,17.00,84.00
2026-03-23T16:08:00Z,17.00,84.00
2026-03-23T16:11:00Z,17.00,84.00
2026-03-23T16:13:00Z,17.00,84.00
2026-03-23T16:24:00Z,17.00,83.00
2026-03-23T16:27:00Z,17.00,84.00
2026-03-23T16:33:00Z,17.00,84.00
2026-03-23T16:49:00Z,17.00,84.00
2026-03-23T16:50:00Z,17.00,84.00
2026-03-23T16:53:00Z,17.00,84.00
2026-03-23T16:54:00Z,17.00,84.00
2026-03-23T16:58:00Z,17.00,84.00
2026-03-23T17:01:00Z,17.00,84.00
2026-03-23T17:04:00Z,17.00,84.00
2026-03-23T17:05:00Z,17.00,84.00
2026-03-23T17:06:00Z,16.00,84.00
2026-03-23T17:07:00Z,16.00,84.00
2026-03-23T17:13:00Z,17.00,84.00
2026-03-23T17:14:00Z,17.00,84.00
2026-03-23T17:17:00Z,17.00,84.00
2026-03-23T17:18:00Z,17.00,84.00
2026-03-23T17:20:00Z,17.00,84.00
2026-03-23T17:23:00Z,16.00,84.00
2026-03-23T17:24:00Z,17.00,84.00
2026-03-23T17:29:00Z,17.00,84.00
2026-03-23T17:35:00Z,17.00,84.00
2026-03-23T17:36:00Z,17.00,84.00
2026-03-23T17:37:00Z,17.00,84.00
2026-03-23T17:38:00Z,16.00,84.00
2026-03-23T17:40:00Z,16.00,84.00
2026-03-23T17:41:00Z,17.00,84.00
2026-03-23T17:48:00Z,17.00,84.00
2026-03-23T17:53:00Z,17.00,84.00
2026-03-23T17:54:00Z,17.00,84.00
2026-03-23T18:08:00Z,17.00,84.00
2026-03-23T18:12:00Z,17.00,84.00
2026-03-23T18:20:00Z,17.00,84.00
2026-03-23T18:25:00Z,17.00,84.00
2026-03-23T18:30:00Z,17.00,83.00
2026-03-23T18:31:00Z,17.00,84.00
2026-03-23T18:32:00Z,17.00,84.00
2026-03-23T18:33:00Z,17.00,84.00
2026-03-23T18:34:00Z,17.00,83.46
2026-03-23T18:35:00Z,17.00,84.00
2026-03-23T18:36:00Z,17.00,84.00
2026-03-23T18:38:00Z,17.00,84.00
2026-03-23T18:39:00Z,17.00,84.00
