# event_ticker=KXATPCHALLENGERMATCH-26APR09JOHDUT
# final_score=6-4 6-3
# match_winner=Daniel Dutra da Silva
# fav_player=Daniel Dutra Da Silva
# dog_player=Garrett Johns
# kalshi_date=2026-04-09
timestamp,Daniel Dutra Da Silva,Garrett Johns
2026-04-09T04:14:00Z,56.00,
2026-04-09T04:49:00Z,56.00,
2026-04-09T04:55:00Z,56.00,
2026-04-09T05:11:00Z,54.00,
2026-04-09T05:30:00Z,56.00,
2026-04-09T05:35:00Z,56.00,
2026-04-09T05:41:00Z,56.00,46.00
2026-04-09T06:30:00Z,56.00,46.00
2026-04-09T06:51:00Z,56.00,47.00
2026-04-09T09:05:00Z,56.00,47.00
2026-04-09T10:14:00Z,56.00,47.00
2026-04-09T10:36:00Z,56.00,47.00
2026-04-09T10:48:00Z,55.00,47.00
2026-04-09T10:49:00Z,55.00,47.83
2026-04-09T11:15:00Z,55.00,47.83
2026-04-09T11:47:00Z,54.00,47.83
2026-04-09T12:27:00Z,51.00,49.00
2026-04-09T12:34:00Z,53.00,49.00
2026-04-09T12:57:00Z,53.00,49.00
2026-04-09T13:18:00Z,53.00,49.00
2026-04-09T13:42:00Z,52.00,49.00
2026-04-09T13:43:00Z,52.00,49.00
2026-04-09T13:44:00Z,52.00,50.00
2026-04-09T13:58:00Z,52.00,50.00
2026-04-09T14:02:00Z,52.00,50.00
2026-04-09T14:05:00Z,52.00,50.00
2026-04-09T14:10:00Z,52.00,50.00
2026-04-09T14:11:00Z,52.00,50.00
2026-04-09T14:15:00Z,52.00,50.00
2026-04-09T14:16:00Z,52.00,50.00
2026-04-09T14:17:00Z,52.00,50.00
2026-04-09T14:19:00Z,52.00,50.00
2026-04-09T14:23:00Z,52.00,50.00
2026-04-09T14:28:00Z,52.00,50.00
2026-04-09T14:30:00Z,52.00,50.00
2026-04-09T14:34:00Z,52.00,49.00
2026-04-09T14:35:00Z,53.00,49.00
2026-04-09T14:36:00Z,53.00,49.00
2026-04-09T14:37:00Z,53.00,49.00
2026-04-09T14:38:00Z,53.00,49.00
2026-04-09T14:47:00Z,53.00,49.00
2026-04-09T14:52:00Z,53.00,49.00
2026-04-09T14:55:00Z,53.00,49.00
2026-04-09T14:59:00Z,53.00,49.00
2026-04-09T15:02:00Z,53.00,49.00
2026-04-09T15:06:00Z,52.00,49.00
2026-04-09T15:07:00Z,52.00,49.00
2026-04-09T15:08:00Z,52.00,50.00
2026-04-09T15:09:00Z,51.00,50.00
2026-04-09T15:10:00Z,51.00,50.00
2026-04-09T15:12:00Z,51.16,51.62
2026-04-09T15:13:00Z,49.02,49.69
2026-04-09T15:14:00Z,56.00,45.00
2026-04-09T15:15:00Z,55.74,43.73
2026-04-09T15:16:00Z,55.52,45.00
2026-04-09T15:17:00Z,55.52,45.00
2026-04-09T15:18:00Z,54.88,44.00
2026-04-09T15:19:00Z,57.65,47.00
2026-04-09T15:20:00Z,56.00,43.08
2026-04-09T15:21:00Z,52.82,46.33
2026-04-09T15:22:00Z,48.75,50.56
2026-04-09T15:23:00Z,46.23,51.07
2026-04-09T15:24:00Z,46.78,53.68
2026-04-09T15:25:00Z,50.33,53.40
2026-04-09T15:26:00Z,41.19,60.97
2026-04-09T15:27:00Z,40.32,62.00
2026-04-09T15:28:00Z,37.67,64.94
2026-04-09T15:29:00Z,34.96,65.15
2026-04-09T15:30:00Z,35.93,65.20
2026-04-09T15:31:00Z,37.40,63.70
2026-04-09T15:32:00Z,34.90,66.24
2026-04-09T15:33:00Z,36.03,65.00
2026-04-09T15:34:00Z,37.00,63.25
2026-04-09T15:35:00Z,39.00,63.25
2026-04-09T15:36:00Z,38.54,63.26
2026-04-09T15:37:00Z,40.48,61.47
2026-04-09T15:38:00Z,37.91,63.79
2026-04-09T15:39:00Z,48.75,58.55
2026-04-09T15:40:00Z,51.76,47.45
2026-04-09T15:41:00Z,51.19,49.75
2026-04-09T15:42:00Z,51.75,49.49
2026-04-09T15:43:00Z,51.33,48.21
2026-04-09T15:44:00Z,54.82,45.50
2026-04-09T15:45:00Z,57.86,42.23
2026-04-09T15:46:00Z,59.91,42.00
2026-04-09T15:47:00Z,58.79,42.99
2026-04-09T15:48:00Z,53.63,43.49
2026-04-09T15:49:00Z,52.25,47.72
2026-04-09T15:50:00Z,52.41,46.08
2026-04-09T15:51:00Z,48.91,51.33
2026-04-09T15:52:00Z,54.65,48.59
2026-04-09T15:53:00Z,53.99,45.63
2026-04-09T15:54:00Z,53.41,43.53
2026-04-09T15:55:00Z,52.16,44.68
2026-04-09T15:56:00Z,54.52,42.94
2026-04-09T15:57:00Z,59.18,41.00
2026-04-09T15:58:00Z,59.85,40.60
2026-04-09T15:59:00Z,58.63,40.42
2026-04-09T16:00:00Z,62.96,36.51
2026-04-09T16:01:00Z,73.10,28.42
2026-04-09T16:02:00Z,69.94,31.41
2026-04-09T16:03:00Z,61.39,38.92
2026-04-09T16:04:00Z,62.42,42.56
2026-04-09T16:05:00Z,68.50,33.24
2026-04-09T16:06:00Z,69.25,33.39
2026-04-09T16:07:00Z,69.56,33.21
2026-04-09T16:08:00Z,74.09,24.40
2026-04-09T16:09:00Z,78.17,21.79
2026-04-09T16:10:00Z,78.35,22.41
2026-04-09T16:11:00Z,78.94,23.00
2026-04-09T16:12:00Z,78.64,23.00
2026-04-09T16:13:00Z,78.00,22.98
2026-04-09T16:14:00Z,77.29,24.21
2026-04-09T16:15:00Z,81.20,19.75
2026-04-09T16:16:00Z,83.61,18.00
2026-04-09T16:17:00Z,83.84,18.10
2026-04-09T16:18:00Z,81.09,19.89
2026-04-09T16:19:00Z,80.21,19.06
2026-04-09T16:20:00Z,86.30,15.66
2026-04-09T16:21:00Z,81.41,19.34
2026-04-09T16:22:00Z,81.02,19.91
2026-04-09T16:23:00Z,80.55,20.79
2026-04-09T16:24:00Z,80.06,20.40
2026-04-09T16:25:00Z,83.26,18.92
2026-04-09T16:26:00Z,83.99,16.94
2026-04-09T16:27:00Z,86.42,15.36
2026-04-09T16:28:00Z,86.68,14.54
2026-04-09T16:29:00Z,88.92,13.00
2026-04-09T16:30:00Z,93.64,8.89
2026-04-09T16:31:00Z,92.90,7.64
2026-04-09T16:32:00Z,93.04,7.85
2026-04-09T16:33:00Z,93.70,5.41
2026-04-09T16:34:00Z,95.49,4.12
2026-04-09T16:35:00Z,93.15,6.84
2026-04-09T16:36:00Z,93.76,7.47
2026-04-09T16:37:00Z,95.44,7.37
2026-04-09T16:38:00Z,92.48,10.32
2026-04-09T16:39:00Z,92.56,8.00
2026-04-09T16:40:00Z,96.23,6.43
2026-04-09T16:41:00Z,92.91,8.93
2026-04-09T16:42:00Z,94.20,6.47
2026-04-09T16:43:00Z,92.68,9.17
2026-04-09T16:44:00Z,90.28,10.89
2026-04-09T16:45:00Z,90.99,10.68
2026-04-09T16:46:00Z,92.92,9.79
2026-04-09T16:47:00Z,94.76,6.41
2026-04-09T16:48:00Z,92.70,7.90
2026-04-09T16:49:00Z,94.98,5.90
2026-04-09T16:50:00Z,96.66,4.28
2026-04-09T16:51:00Z,95.64,4.97
2026-04-09T16:52:00Z,94.97,5.62
2026-04-09T16:53:00Z,95.73,4.12
2026-04-09T16:54:00Z,97.35,2.77
2026-04-09T16:55:00Z,96.95,2.66
2026-04-09T16:56:00Z,98.24,2.87
2026-04-09T16:57:00Z,96.94,3.06
2026-04-09T16:58:00Z,98.73,2.59
2026-04-09T16:59:00Z,95.60,4.28
2026-04-09T17:00:00Z,94.80,5.93
2026-04-09T17:01:00Z,93.91,8.12
2026-04-09T17:02:00Z,92.44,8.73
2026-04-09T17:03:00Z,93.91,6.50
2026-04-09T17:04:00Z,88.88,12.19
2026-04-09T17:05:00Z,83.61,16.73
2026-04-09T17:06:00Z,86.72,15.23
2026-04-09T17:07:00Z,87.80,15.27
2026-04-09T17:08:00Z,84.32,15.71
2026-04-09T17:09:00Z,83.60,15.73
2026-04-09T17:10:00Z,89.06,12.87
2026-04-09T17:11:00Z,95.37,4.22
2026-04-09T17:12:00Z,95.96,4.66
2026-04-09T17:13:00Z,96.64,4.65
2026-04-09T17:14:00Z,93.83,7.35
2026-04-09T17:15:00Z,97.08,2.86
2026-04-09T17:16:00Z,98.72,2.98
2026-04-09T17:17:00Z,97.28,2.94
2026-04-09T17:18:00Z,96.44,3.10
2026-04-09T17:19:00Z,97.01,3.95
2026-04-09T17:20:00Z,98.97,1.00
