# event_ticker=KXATPCHALLENGERMATCH-26MAY19TURAVE
# final_score=3-6 6-4 7-6(2)
# score_resolution=3-6 6-4 7-6
# match_winner=Alafia Ayeni
# fav_player=Alafia Ayeni
# dog_player=Mert Naci Turker
# kalshi_date=2026-05-19
timestamp,Mert Naci Turker,Alafia Ayeni
2026-05-18T22:56:00Z,17.00,
2026-05-18T23:08:00Z,17.00,79.00
2026-05-18T23:25:00Z,17.00,76.00
2026-05-19T05:28:00Z,24.00,76.00
2026-05-19T06:35:00Z,24.00,76.00
2026-05-19T07:49:00Z,24.00,76.00
2026-05-19T10:21:00Z,26.00,76.00
2026-05-19T10:25:00Z,26.00,76.00
2026-05-19T10:32:00Z,26.00,77.00
2026-05-19T10:36:00Z,26.00,75.00
2026-05-19T10:37:00Z,26.00,76.00
2026-05-19T10:38:00Z,26.00,82.51
2026-05-19T10:41:00Z,26.00,72.00
2026-05-19T10:42:00Z,26.00,72.00
2026-05-19T10:43:00Z,33.50,66.00
2026-05-19T10:44:00Z,35.00,66.00
2026-05-19T10:45:00Z,43.00,63.00
2026-05-19T10:46:00Z,43.00,56.00
2026-05-19T10:47:00Z,46.89,56.00
2026-05-19T10:50:00Z,48.27,51.00
2026-05-19T10:54:00Z,49.00,51.00
2026-05-19T10:55:00Z,63.00,51.00
2026-05-19T10:57:00Z,46.00,51.00
2026-05-19T10:58:00Z,46.00,50.00
2026-05-19T10:59:00Z,54.00,45.00
2026-05-19T11:03:00Z,50.00,45.00
2026-05-19T11:05:00Z,50.00,50.00
2026-05-19T11:06:00Z,44.06,56.96
2026-05-19T11:07:00Z,41.72,57.15
2026-05-19T11:08:00Z,48.05,51.93
2026-05-19T11:09:00Z,46.74,51.93
2026-05-19T11:10:00Z,46.74,50.00
2026-05-19T11:11:00Z,46.74,46.00
2026-05-19T11:12:00Z,55.72,41.06
2026-05-19T11:13:00Z,55.72,43.00
2026-05-19T11:16:00Z,62.00,43.00
2026-05-19T11:18:00Z,62.00,37.00
2026-05-19T11:19:00Z,62.00,37.00
2026-05-19T11:20:00Z,62.00,37.00
2026-05-19T11:23:00Z,62.00,38.00
2026-05-19T11:24:00Z,63.91,38.00
2026-05-19T11:25:00Z,61.03,35.58
2026-05-19T11:26:00Z,51.29,47.00
2026-05-19T11:27:00Z,50.85,48.62
2026-05-19T11:28:00Z,52.00,48.62
2026-05-19T11:30:00Z,42.00,58.00
2026-05-19T11:31:00Z,53.75,48.00
2026-05-19T11:32:00Z,53.75,51.00
2026-05-19T11:33:00Z,53.75,51.10
2026-05-19T11:34:00Z,48.99,51.10
2026-05-19T11:35:00Z,56.00,43.00
2026-05-19T11:36:00Z,68.00,30.00
2026-05-19T11:38:00Z,70.93,30.00
2026-05-19T11:39:00Z,69.93,30.00
2026-05-19T11:40:00Z,73.00,28.00
2026-05-19T11:42:00Z,73.00,32.01
2026-05-19T11:43:00Z,68.00,31.00
2026-05-19T11:44:00Z,68.00,35.00
2026-05-19T11:45:00Z,68.00,33.00
2026-05-19T11:46:00Z,66.94,33.00
2026-05-19T11:47:00Z,66.94,30.00
2026-05-19T11:48:00Z,69.98,29.13
2026-05-19T11:49:00Z,71.00,29.00
2026-05-19T11:50:00Z,66.00,32.82
2026-05-19T11:51:00Z,71.02,25.08
2026-05-19T11:52:00Z,71.02,27.99
2026-05-19T11:53:00Z,70.09,30.98
2026-05-19T11:54:00Z,72.06,27.08
2026-05-19T11:55:00Z,70.89,32.73
2026-05-19T11:56:00Z,63.88,34.00
2026-05-19T11:57:00Z,65.00,33.81
2026-05-19T11:58:00Z,55.53,39.30
2026-05-19T11:59:00Z,59.18,55.17
2026-05-19T12:00:00Z,59.18,48.00
2026-05-19T12:01:00Z,41.01,57.68
2026-05-19T12:02:00Z,41.01,61.97
2026-05-19T12:03:00Z,42.29,63.01
2026-05-19T12:04:00Z,56.59,63.01
2026-05-19T12:05:00Z,55.00,51.29
2026-05-19T12:06:00Z,49.30,58.43
2026-05-19T12:07:00Z,47.00,49.33
2026-05-19T12:08:00Z,47.00,64.00
2026-05-19T12:09:00Z,35.00,64.00
2026-05-19T12:10:00Z,35.00,66.00
2026-05-19T12:11:00Z,35.00,66.00
2026-05-19T12:12:00Z,35.00,66.00
2026-05-19T12:13:00Z,35.00,67.00
2026-05-19T12:14:00Z,35.00,67.74
2026-05-19T12:15:00Z,31.00,68.72
2026-05-19T12:16:00Z,28.00,71.48
