# event_ticker=KXATPCHALLENGERMATCH-26APR30KOVGIR
# final_score=6-2 3-6 6-4
# score_resolution=2-6 6-3 4-6
# match_winner=Marcos Giron
# fav_player=Aleksandar Kovacevic
# dog_player=Marcos Giron
# kalshi_date=2026-04-30
timestamp,Aleksandar Kovacevic,Marcos Giron
2026-04-30T05:21:00Z,38.00,
2026-04-30T05:47:00Z,38.00,64.00
2026-04-30T06:16:00Z,36.00,64.00
2026-04-30T06:57:00Z,36.00,64.00
2026-04-30T09:29:00Z,36.00,64.00
2026-04-30T10:20:00Z,36.00,64.00
2026-04-30T10:25:00Z,36.00,63.00
2026-04-30T11:23:00Z,39.00,63.00
2026-04-30T11:47:00Z,39.00,63.00
2026-04-30T12:15:00Z,39.00,62.00
2026-04-30T12:30:00Z,39.00,62.00
2026-04-30T12:45:00Z,38.00,62.00
2026-04-30T13:29:00Z,38.00,62.00
2026-04-30T13:30:00Z,38.00,62.00
2026-04-30T13:47:00Z,38.00,63.00
2026-04-30T13:52:00Z,38.00,63.00
2026-04-30T13:55:00Z,38.00,63.00
2026-04-30T13:57:00Z,38.00,63.00
2026-04-30T14:01:00Z,38.00,63.00
2026-04-30T14:02:00Z,38.00,63.00
2026-04-30T14:08:00Z,38.00,63.00
2026-04-30T14:10:00Z,38.00,63.00
2026-04-30T14:18:00Z,38.00,63.00
2026-04-30T14:55:00Z,38.00,63.00
2026-04-30T15:03:00Z,38.00,63.00
2026-04-30T15:04:00Z,38.00,63.00
2026-04-30T15:07:00Z,38.00,63.00
2026-04-30T15:11:00Z,38.00,63.52
2026-04-30T15:14:00Z,38.00,64.00
2026-04-30T15:16:00Z,39.00,64.00
2026-04-30T15:17:00Z,39.00,64.00
2026-04-30T15:18:00Z,39.00,64.00
2026-04-30T15:19:00Z,39.00,64.00
2026-04-30T15:21:00Z,38.00,64.00
2026-04-30T15:36:00Z,38.00,63.00
2026-04-30T15:39:00Z,38.00,63.00
2026-04-30T15:41:00Z,38.00,63.00
2026-04-30T15:42:00Z,38.84,63.00
2026-04-30T15:44:00Z,38.84,63.00
2026-04-30T15:45:00Z,38.84,63.00
2026-04-30T15:46:00Z,38.00,62.00
2026-04-30T15:47:00Z,38.00,63.00
2026-04-30T15:49:00Z,38.00,63.04
2026-04-30T15:50:00Z,38.00,64.00
2026-04-30T15:51:00Z,38.00,63.00
2026-04-30T15:52:00Z,38.00,63.00
2026-04-30T15:53:00Z,38.00,63.00
2026-04-30T15:54:00Z,38.00,63.00
2026-04-30T16:00:00Z,38.00,64.00
2026-04-30T16:02:00Z,38.00,64.00
2026-04-30T16:05:00Z,38.00,64.00
2026-04-30T16:06:00Z,38.00,64.00
2026-04-30T16:07:00Z,38.00,64.43
2026-04-30T16:08:00Z,38.00,64.00
2026-04-30T16:09:00Z,38.00,64.00
2026-04-30T16:12:00Z,38.00,64.00
2026-04-30T16:13:00Z,37.00,62.95
2026-04-30T16:14:00Z,37.44,62.55
2026-04-30T16:15:00Z,37.00,63.98
2026-04-30T16:18:00Z,37.00,65.00
2026-04-30T16:20:00Z,37.99,65.00
2026-04-30T16:21:00Z,38.00,65.00
2026-04-30T16:22:00Z,37.85,64.00
2026-04-30T16:23:00Z,38.00,64.00
2026-04-30T16:24:00Z,38.00,64.00
2026-04-30T16:25:00Z,37.77,63.62
2026-04-30T16:26:00Z,38.96,62.00
2026-04-30T16:27:00Z,34.62,66.05
2026-04-30T16:28:00Z,33.94,66.83
2026-04-30T16:29:00Z,31.08,68.62
2026-04-30T16:30:00Z,33.90,70.88
2026-04-30T16:31:00Z,29.00,72.84
2026-04-30T16:32:00Z,22.60,77.81
2026-04-30T16:33:00Z,24.09,76.14
2026-04-30T16:34:00Z,22.02,77.85
2026-04-30T16:35:00Z,21.00,78.68
