# event_ticker=KXATPCHALLENGERMATCH-26JUN01SHEBRA
# final_score=7-6(5) 4-6 6-1
# score_resolution=7-6 4-6 6-1
# match_winner=Aleksandr Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Raul Brancaccio
# kalshi_date=2026-06-01
timestamp,Alexander Shevchenko,Raul Brancaccio
2026-06-01T05:00:00Z,76.00,
2026-06-01T05:02:00Z,76.00,
2026-06-01T05:20:00Z,76.00,25.00
2026-06-01T05:31:00Z,76.00,25.00
2026-06-01T05:41:00Z,76.00,25.00
2026-06-01T07:43:00Z,75.00,25.00
2026-06-01T08:23:00Z,74.00,25.00
2026-06-01T10:39:00Z,74.00,27.00
2026-06-01T10:50:00Z,73.00,27.00
2026-06-01T11:56:00Z,72.00,27.00
2026-06-01T12:16:00Z,72.00,27.00
2026-06-01T13:15:00Z,72.00,27.00
2026-06-01T13:17:00Z,72.00,27.00
2026-06-01T13:27:00Z,72.00,27.00
2026-06-01T13:43:00Z,72.00,27.00
2026-06-01T14:41:00Z,73.00,30.00
2026-06-01T14:48:00Z,74.00,30.00
2026-06-01T14:56:00Z,74.00,30.00
2026-06-01T14:58:00Z,74.00,30.00
2026-06-01T15:16:00Z,74.00,30.00
2026-06-01T15:17:00Z,75.00,30.00
2026-06-01T15:19:00Z,75.00,29.00
2026-06-01T15:20:00Z,71.80,29.00
2026-06-01T15:37:00Z,71.80,30.00
2026-06-01T15:39:00Z,71.00,29.00
2026-06-01T15:40:00Z,70.00,29.00
2026-06-01T15:41:00Z,70.00,31.00
2026-06-01T15:42:00Z,70.00,30.00
2026-06-01T15:43:00Z,68.25,31.92
2026-06-01T15:44:00Z,68.56,33.44
2026-06-01T15:45:00Z,69.11,29.00
2026-06-01T15:46:00Z,72.00,28.53
2026-06-01T15:47:00Z,74.00,27.05
2026-06-01T15:48:00Z,75.94,26.14
2026-06-01T15:49:00Z,79.21,21.23
2026-06-01T15:50:00Z,74.08,25.77
2026-06-01T15:51:00Z,71.00,29.00
2026-06-01T15:52:00Z,70.00,31.00
2026-06-01T15:53:00Z,69.88,29.31
2026-06-01T15:54:00Z,68.87,31.06
2026-06-01T15:55:00Z,68.33,32.71
2026-06-01T15:56:00Z,68.60,31.78
2026-06-01T15:57:00Z,67.54,33.99
2026-06-01T15:58:00Z,69.05,31.00
2026-06-01T15:59:00Z,72.55,27.98
2026-06-01T16:00:00Z,74.78,26.38
2026-06-01T16:01:00Z,74.81,27.20
2026-06-01T16:02:00Z,79.00,28.29
2026-06-01T16:03:00Z,69.33,32.22
2026-06-01T16:04:00Z,66.00,34.00
2026-06-01T16:05:00Z,67.21,33.67
2026-06-01T16:06:00Z,69.35,31.17
2026-06-01T16:07:00Z,71.00,30.00
2026-06-01T16:08:00Z,67.79,31.96
2026-06-01T16:09:00Z,66.00,34.70
2026-06-01T16:10:00Z,66.00,35.00
2026-06-01T16:11:00Z,66.35,33.31
2026-06-01T16:12:00Z,69.44,32.01
2026-06-01T16:13:00Z,70.00,31.00
2026-06-01T16:14:00Z,73.38,27.87
2026-06-01T16:15:00Z,75.10,23.87
2026-06-01T16:16:00Z,68.32,30.64
2026-06-01T16:17:00Z,69.09,31.55
2026-06-01T16:18:00Z,63.46,36.52
2026-06-01T16:19:00Z,63.92,37.73
2026-06-01T16:20:00Z,61.95,36.45
2026-06-01T16:21:00Z,59.42,41.61
2026-06-01T16:22:00Z,52.02,46.63
2026-06-01T16:23:00Z,64.18,37.25
2026-06-01T16:24:00Z,64.06,36.48
2026-06-01T16:25:00Z,63.97,37.35
2026-06-01T16:26:00Z,64.40,38.00
2026-06-01T16:27:00Z,65.06,35.33
2026-06-01T16:28:00Z,67.57,32.61
2026-06-01T16:29:00Z,68.89,31.52
2026-06-01T16:30:00Z,64.74,36.25
2026-06-01T16:31:00Z,62.00,38.52
2026-06-01T16:32:00Z,61.99,39.89
2026-06-01T16:33:00Z,64.99,35.00
2026-06-01T16:34:00Z,65.96,35.20
2026-06-01T16:35:00Z,66.17,35.63
2026-06-01T16:36:00Z,68.81,32.47
2026-06-01T16:37:00Z,63.08,37.96
2026-06-01T16:38:00Z,64.48,36.24
2026-06-01T16:39:00Z,60.82,39.28
2026-06-01T16:40:00Z,64.84,36.34
2026-06-01T16:41:00Z,82.53,18.27
2026-06-01T16:42:00Z,84.36,14.73
2026-06-01T16:43:00Z,84.34,15.85
2026-06-01T16:44:00Z,85.53,13.63
2026-06-01T16:45:00Z,87.84,14.17
2026-06-01T16:46:00Z,88.53,11.23
2026-06-01T16:47:00Z,89.27,11.56
2026-06-01T16:48:00Z,88.58,11.59
2026-06-01T16:49:00Z,87.82,14.54
2026-06-01T16:50:00Z,86.45,13.61
2026-06-01T16:51:00Z,85.80,15.27
2026-06-01T16:52:00Z,86.96,15.09
2026-06-01T16:53:00Z,88.82,10.67
2026-06-01T16:54:00Z,90.44,9.99
2026-06-01T16:55:00Z,93.53,6.49
2026-06-01T16:56:00Z,94.63,3.39
2026-06-01T16:57:00Z,96.20,3.05
2026-06-01T16:58:00Z,96.80,2.65
2026-06-01T16:59:00Z,95.74,4.00
2026-06-01T17:00:00Z,95.54,4.50
2026-06-01T17:01:00Z,93.11,6.04
2026-06-01T17:02:00Z,93.96,5.61
2026-06-01T17:03:00Z,93.64,6.35
2026-06-01T17:04:00Z,93.56,6.90
2026-06-01T17:05:00Z,95.20,4.05
2026-06-01T17:06:00Z,94.39,7.18
2026-06-01T17:07:00Z,93.55,8.88
2026-06-01T17:08:00Z,89.00,11.01
2026-06-01T17:09:00Z,89.05,12.81
2026-06-01T17:10:00Z,87.46,12.43
2026-06-01T17:11:00Z,87.50,13.36
2026-06-01T17:12:00Z,85.94,15.99
2026-06-01T17:13:00Z,86.81,15.36
2026-06-01T17:14:00Z,88.09,11.52
2026-06-01T17:15:00Z,88.75,11.79
2026-06-01T17:16:00Z,87.22,15.60
2026-06-01T17:17:00Z,85.13,15.07
2026-06-01T17:18:00Z,81.75,22.11
2026-06-01T17:19:00Z,72.22,30.11
2026-06-01T17:20:00Z,68.71,33.40
2026-06-01T17:21:00Z,69.99,32.33
2026-06-01T17:22:00Z,75.06,25.39
2026-06-01T17:23:00Z,74.81,28.95
2026-06-01T17:24:00Z,72.22,32.04
2026-06-01T17:25:00Z,70.10,32.05
2026-06-01T17:26:00Z,64.68,35.68
2026-06-01T17:27:00Z,63.79,37.14
2026-06-01T17:28:00Z,64.79,36.01
2026-06-01T17:29:00Z,68.55,33.36
2026-06-01T17:30:00Z,70.17,30.27
2026-06-01T17:31:00Z,72.97,28.44
2026-06-01T17:32:00Z,67.96,32.97
2026-06-01T17:33:00Z,65.02,35.53
2026-06-01T17:34:00Z,64.70,35.72
2026-06-01T17:35:00Z,64.24,35.40
2026-06-01T17:36:00Z,69.63,30.75
2026-06-01T17:37:00Z,70.23,30.22
2026-06-01T17:38:00Z,73.52,27.65
2026-06-01T17:39:00Z,84.22,15.62
2026-06-01T17:40:00Z,91.59,9.13
2026-06-01T17:41:00Z,94.61,5.94
