# event_ticker=KXATPMATCH-25OCT02GIRTAB
# final_score=6-4 6-3
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Marcos Giron
# kalshi_date=2025-10-02
timestamp,Alejandro Tabilo,Marcos Giron
2025-10-01T22:16:00Z,52.00,
2025-10-01T22:18:00Z,52.00,49.00
2025-10-01T22:19:00Z,51.00,49.00
2025-10-01T22:20:00Z,51.00,49.00
2025-10-01T22:23:00Z,51.00,49.51
2025-10-01T22:36:00Z,52.00,49.51
2025-10-01T22:41:00Z,52.00,49.51
2025-10-01T23:11:00Z,52.00,49.51
2025-10-01T23:35:00Z,52.00,49.00
2025-10-01T23:51:00Z,52.29,49.00
2025-10-01T23:58:00Z,53.00,49.00
2025-10-01T23:59:00Z,53.00,49.00
2025-10-02T00:38:00Z,53.00,49.00
2025-10-02T00:46:00Z,53.00,49.00
2025-10-02T00:47:00Z,51.00,49.00
2025-10-02T00:49:00Z,52.00,49.00
2025-10-02T00:51:00Z,52.00,49.00
2025-10-02T01:10:00Z,52.91,49.00
2025-10-02T01:15:00Z,53.00,49.00
2025-10-02T01:23:00Z,53.00,48.00
2025-10-02T01:37:00Z,53.00,48.00
2025-10-02T01:40:00Z,53.00,48.00
2025-10-02T01:41:00Z,53.00,48.00
2025-10-02T01:53:00Z,53.00,48.00
2025-10-02T01:55:00Z,53.00,48.00
2025-10-02T01:58:00Z,53.00,48.00
2025-10-02T02:02:00Z,53.00,47.00
2025-10-02T02:26:00Z,53.00,48.00
2025-10-02T02:29:00Z,53.00,48.00
2025-10-02T02:39:00Z,53.66,48.00
2025-10-02T02:49:00Z,53.66,48.00
2025-10-02T02:57:00Z,54.00,48.00
2025-10-02T03:02:00Z,54.00,48.00
2025-10-02T03:06:00Z,54.00,48.00
2025-10-02T03:11:00Z,53.97,48.00
2025-10-02T03:14:00Z,54.00,48.00
2025-10-02T03:18:00Z,54.00,48.00
2025-10-02T03:27:00Z,54.00,47.00
2025-10-02T03:34:00Z,53.00,47.00
2025-10-02T03:50:00Z,53.00,47.00
2025-10-02T03:59:00Z,53.00,48.00
2025-10-02T04:00:00Z,53.00,47.00
2025-10-02T04:02:00Z,53.00,48.00
2025-10-02T04:04:00Z,53.00,48.00
2025-10-02T04:05:00Z,53.00,48.00
2025-10-02T04:07:00Z,53.00,48.00
2025-10-02T04:08:00Z,53.00,48.00
2025-10-02T04:09:00Z,53.00,48.00
2025-10-02T04:13:00Z,53.00,48.00
2025-10-02T04:14:00Z,53.00,48.00
2025-10-02T04:17:00Z,53.00,48.00
2025-10-02T04:18:00Z,53.00,48.00
2025-10-02T04:23:00Z,53.00,48.00
2025-10-02T04:29:00Z,53.00,48.00
2025-10-02T04:30:00Z,53.60,48.00
2025-10-02T04:32:00Z,53.88,48.00
2025-10-02T04:47:00Z,53.88,47.00
2025-10-02T04:48:00Z,54.00,47.00
2025-10-02T04:55:00Z,54.00,47.00
2025-10-02T04:57:00Z,54.00,47.00
2025-10-02T05:00:00Z,54.00,47.00
2025-10-02T05:01:00Z,54.00,47.00
2025-10-02T05:03:00Z,54.00,47.00
2025-10-02T05:04:00Z,54.00,47.00
2025-10-02T05:06:00Z,54.00,47.00
2025-10-02T05:11:00Z,54.00,47.00
2025-10-02T05:21:00Z,55.00,47.00
2025-10-02T05:28:00Z,55.00,46.00
2025-10-02T05:37:00Z,55.00,46.00
2025-10-02T05:44:00Z,55.00,46.00
2025-10-02T05:54:00Z,55.00,46.00
2025-10-02T05:56:00Z,55.00,46.00
2025-10-02T06:00:00Z,55.00,46.00
2025-10-02T06:02:00Z,55.00,46.00
2025-10-02T06:03:00Z,55.00,46.00
2025-10-02T06:05:00Z,55.00,46.00
2025-10-02T06:11:00Z,55.00,46.00
2025-10-02T06:12:00Z,55.00,46.00
2025-10-02T06:13:00Z,55.00,46.00
2025-10-02T06:14:00Z,55.00,46.00
2025-10-02T06:15:00Z,55.00,46.00
2025-10-02T06:16:00Z,55.00,46.00
2025-10-02T06:17:00Z,55.00,46.00
2025-10-02T06:25:00Z,55.00,45.00
2025-10-02T06:27:00Z,55.00,46.00
2025-10-02T06:28:00Z,55.00,46.00
2025-10-02T06:32:00Z,55.00,46.00
2025-10-02T06:33:00Z,55.00,46.00
2025-10-02T06:34:00Z,55.00,46.00
2025-10-02T06:41:00Z,55.00,46.00
2025-10-02T06:42:00Z,55.00,46.00
2025-10-02T06:44:00Z,55.00,46.00
2025-10-02T06:47:00Z,55.00,46.00
2025-10-02T06:52:00Z,55.00,46.00
2025-10-02T06:57:00Z,55.00,46.00
2025-10-02T07:00:00Z,55.00,48.00
2025-10-02T09:06:00Z,55.00,48.00
2025-10-02T09:08:00Z,55.00,46.00
2025-10-02T09:10:00Z,55.00,46.00
2025-10-02T09:12:00Z,55.00,46.00
2025-10-02T09:14:00Z,55.00,46.00
2025-10-02T09:16:00Z,54.00,46.00
2025-10-02T09:20:00Z,55.00,46.00
2025-10-02T09:21:00Z,55.00,46.00
2025-10-02T09:23:00Z,55.00,46.47
2025-10-02T09:29:00Z,55.00,47.00
2025-10-02T09:32:00Z,55.00,47.00
2025-10-02T09:33:00Z,55.00,47.00
2025-10-02T09:36:00Z,56.00,47.00
2025-10-02T09:38:00Z,55.00,46.00
2025-10-02T09:39:00Z,55.00,46.00
2025-10-02T09:43:00Z,55.00,46.00
2025-10-02T09:44:00Z,55.00,46.00
2025-10-02T09:45:00Z,54.00,46.00
2025-10-02T09:47:00Z,55.00,46.00
2025-10-02T09:49:00Z,55.00,46.00
2025-10-02T09:51:00Z,55.00,46.00
2025-10-02T09:52:00Z,55.00,46.00
2025-10-02T09:53:00Z,55.00,46.00
2025-10-02T09:54:00Z,55.00,46.00
2025-10-02T09:55:00Z,56.02,46.00
2025-10-02T09:56:00Z,56.02,45.00
2025-10-02T09:57:00Z,57.00,45.00
2025-10-02T09:58:00Z,58.00,45.00
2025-10-02T09:59:00Z,56.94,45.00
2025-10-02T10:00:00Z,56.94,47.00
2025-10-02T10:01:00Z,57.56,47.00
2025-10-02T10:02:00Z,59.00,47.00
2025-10-02T10:03:00Z,57.25,47.00
2025-10-02T10:04:00Z,59.00,40.50
2025-10-02T10:05:00Z,59.00,40.50
2025-10-02T10:06:00Z,57.89,40.50
2025-10-02T10:07:00Z,59.00,41.00
2025-10-02T10:08:00Z,58.01,42.00
2025-10-02T10:09:00Z,58.01,42.00
2025-10-02T10:10:00Z,58.01,42.00
2025-10-02T10:11:00Z,57.00,43.00
2025-10-02T10:12:00Z,57.98,41.77
2025-10-02T10:13:00Z,58.00,42.00
2025-10-02T10:14:00Z,56.94,46.00
2025-10-02T10:15:00Z,56.92,45.00
2025-10-02T10:16:00Z,53.84,45.00
2025-10-02T10:17:00Z,58.00,45.00
2025-10-02T10:18:00Z,58.00,45.00
2025-10-02T10:19:00Z,58.00,43.01
2025-10-02T10:20:00Z,55.54,46.89
2025-10-02T10:21:00Z,54.87,48.00
2025-10-02T10:22:00Z,53.08,49.64
2025-10-02T10:23:00Z,54.89,47.75
2025-10-02T10:24:00Z,54.00,46.00
2025-10-02T10:25:00Z,55.50,45.06
2025-10-02T10:26:00Z,57.48,45.06
2025-10-02T10:27:00Z,60.93,39.66
2025-10-02T10:28:00Z,61.97,37.66
2025-10-02T10:29:00Z,61.63,38.84
2025-10-02T10:30:00Z,72.45,23.17
2025-10-02T10:31:00Z,78.92,22.08
2025-10-02T10:32:00Z,77.63,22.00
2025-10-02T10:33:00Z,81.00,21.78
2025-10-02T10:34:00Z,83.70,20.25
2025-10-02T10:35:00Z,83.93,18.52
2025-10-02T10:36:00Z,82.77,16.04
2025-10-02T10:37:00Z,81.82,18.29
2025-10-02T10:38:00Z,79.05,20.14
2025-10-02T10:39:00Z,82.59,22.20
2025-10-02T10:40:00Z,81.87,19.99
2025-10-02T10:41:00Z,76.95,19.99
2025-10-02T10:42:00Z,78.62,22.00
2025-10-02T10:43:00Z,80.53,20.00
2025-10-02T10:44:00Z,82.00,20.00
2025-10-02T10:45:00Z,84.24,17.00
2025-10-02T10:46:00Z,87.07,14.82
2025-10-02T10:47:00Z,85.04,14.45
2025-10-02T10:48:00Z,82.00,17.44
2025-10-02T10:49:00Z,82.00,19.46
2025-10-02T10:50:00Z,82.00,18.00
2025-10-02T10:51:00Z,83.83,20.00
2025-10-02T10:52:00Z,90.00,20.00
2025-10-02T10:53:00Z,83.01,20.00
2025-10-02T10:54:00Z,83.00,20.00
2025-10-02T10:55:00Z,88.57,8.00
2025-10-02T10:56:00Z,95.57,4.29
2025-10-02T10:57:00Z,97.34,4.47
2025-10-02T10:58:00Z,96.00,4.39
2025-10-02T10:59:00Z,97.37,2.66
2025-10-02T11:00:00Z,97.84,2.90
