# event_ticker=KXATPCHALLENGERMATCH-26MAY28VASCOM
# final_score=2-6 6-4 6-2
# score_resolution=6-2 4-6 2-6
# match_winner=Jacopo Vasami
# fav_player=Tommaso Compagnucci
# dog_player=Jacopo Vasami
# kalshi_date=2026-05-28
timestamp,Jacopo Vasami,Tommaso Compagnucci
2026-05-28T00:15:00Z,,34.00
2026-05-28T00:53:00Z,,36.00
2026-05-28T02:10:00Z,,36.58
2026-05-28T03:06:00Z,,37.00
2026-05-28T03:54:00Z,,36.00
2026-05-28T04:31:00Z,,36.00
2026-05-28T05:32:00Z,,36.00
2026-05-28T06:28:00Z,,36.00
2026-05-28T06:45:00Z,,37.00
2026-05-28T09:51:00Z,65.00,37.00
2026-05-28T10:12:00Z,65.00,36.00
2026-05-28T10:29:00Z,65.00,36.00
2026-05-28T10:34:00Z,65.00,36.00
2026-05-28T10:58:00Z,65.00,36.00
2026-05-28T11:16:00Z,65.00,36.00
2026-05-28T11:25:00Z,67.00,34.00
2026-05-28T11:27:00Z,69.00,31.00
2026-05-28T11:28:00Z,69.00,30.81
2026-05-28T11:29:00Z,69.00,30.34
2026-05-28T11:30:00Z,67.00,34.00
2026-05-28T11:31:00Z,69.61,34.00
2026-05-28T11:32:00Z,69.61,31.87
2026-05-28T11:33:00Z,67.00,33.98
2026-05-28T11:34:00Z,67.00,34.91
2026-05-28T11:35:00Z,67.29,33.03
2026-05-28T11:36:00Z,65.00,35.94
2026-05-28T11:37:00Z,68.98,32.00
2026-05-28T11:39:00Z,68.98,32.29
2026-05-28T11:40:00Z,60.00,39.48
2026-05-28T11:41:00Z,60.00,41.00
2026-05-28T11:42:00Z,54.37,44.52
2026-05-28T11:43:00Z,52.09,50.03
2026-05-28T11:44:00Z,52.09,55.00
2026-05-28T11:45:00Z,43.00,55.00
2026-05-28T11:46:00Z,39.54,58.97
2026-05-28T11:47:00Z,38.86,62.00
2026-05-28T11:48:00Z,38.86,61.89
2026-05-28T11:49:00Z,34.84,65.55
2026-05-28T11:50:00Z,30.00,70.01
2026-05-28T11:51:00Z,29.00,71.36
2026-05-28T11:52:00Z,28.00,71.36
2026-05-28T11:53:00Z,28.00,72.67
2026-05-28T11:54:00Z,28.00,72.03
2026-05-28T11:55:00Z,28.00,73.00
2026-05-28T11:56:00Z,28.00,73.00
2026-05-28T11:57:00Z,28.00,73.73
2026-05-28T11:58:00Z,28.91,73.73
2026-05-28T11:59:00Z,32.00,70.89
2026-05-28T12:00:00Z,34.10,68.00
2026-05-28T12:01:00Z,32.02,68.00
2026-05-28T12:02:00Z,32.02,68.17
2026-05-28T12:03:00Z,30.00,70.00
2026-05-28T12:04:00Z,29.56,73.00
2026-05-28T12:05:00Z,29.00,72.00
2026-05-28T12:06:00Z,29.00,72.19
2026-05-28T12:07:00Z,25.00,72.03
2026-05-28T12:08:00Z,21.41,77.10
2026-05-28T12:09:00Z,28.22,77.10
2026-05-28T12:10:00Z,27.00,72.67
2026-05-28T12:11:00Z,26.50,72.98
2026-05-28T12:12:00Z,23.00,78.34
2026-05-28T12:13:00Z,25.04,74.45
2026-05-28T12:14:00Z,30.00,74.45
2026-05-28T12:15:00Z,30.00,70.00
2026-05-28T12:16:00Z,29.00,71.03
2026-05-28T12:17:00Z,29.00,73.00
2026-05-28T12:18:00Z,25.28,76.00
2026-05-28T12:19:00Z,29.88,75.88
2026-05-28T12:20:00Z,29.88,70.00
2026-05-28T12:21:00Z,32.43,70.00
2026-05-28T12:22:00Z,40.17,58.03
2026-05-28T12:23:00Z,44.92,57.75
2026-05-28T12:24:00Z,40.00,61.00
2026-05-28T12:25:00Z,30.96,69.41
2026-05-28T12:26:00Z,30.96,74.51
2026-05-28T12:27:00Z,20.99,78.49
2026-05-28T12:28:00Z,22.71,79.52
2026-05-28T12:29:00Z,22.51,78.15
2026-05-28T12:30:00Z,19.01,81.68
2026-05-28T12:31:00Z,7.78,91.84
2026-05-28T12:32:00Z,8.71,92.95
2026-05-28T12:33:00Z,13.65,84.90
2026-05-28T12:34:00Z,13.08,81.93
2026-05-28T12:35:00Z,25.35,73.00
2026-05-28T12:36:00Z,28.00,72.99
2026-05-28T12:37:00Z,30.05,75.28
2026-05-28T12:38:00Z,33.96,67.00
2026-05-28T12:39:00Z,34.00,67.00
2026-05-28T12:40:00Z,36.92,64.68
2026-05-28T12:41:00Z,41.24,60.76
2026-05-28T12:42:00Z,54.93,42.00
2026-05-28T12:43:00Z,57.07,42.04
2026-05-28T12:44:00Z,57.82,42.96
2026-05-28T12:46:00Z,52.26,47.51
2026-05-28T12:47:00Z,49.85,52.54
2026-05-28T12:48:00Z,57.92,40.00
2026-05-28T12:49:00Z,64.07,34.73
2026-05-28T12:50:00Z,69.83,23.89
2026-05-28T12:51:00Z,83.97,18.97
2026-05-28T12:52:00Z,86.71,15.51
2026-05-28T12:53:00Z,89.54,11.89
2026-05-28T12:54:00Z,90.00,10.60
2026-05-28T12:55:00Z,90.82,10.00
2026-05-28T12:56:00Z,94.50,6.39
2026-05-28T12:57:00Z,96.46,3.48
2026-05-28T12:58:00Z,97.00,4.00
2026-05-28T12:59:00Z,95.41,5.00
2026-05-28T13:00:00Z,92.89,8.84
2026-05-28T13:01:00Z,89.03,12.00
2026-05-28T13:02:00Z,91.51,10.61
2026-05-28T13:03:00Z,91.51,7.69
2026-05-28T13:04:00Z,94.00,7.69
2026-05-28T13:05:00Z,94.58,6.86
2026-05-28T13:06:00Z,97.88,2.39
2026-05-28T13:07:00Z,98.73,1.00
2026-05-28T13:08:00Z,99.00,1.00
2026-05-28T13:09:00Z,98.11,1.00
2026-05-28T13:10:00Z,97.41,2.61
2026-05-28T13:11:00Z,96.52,4.51
2026-05-28T13:12:00Z,96.00,3.67
2026-05-28T13:13:00Z,98.13,1.03
2026-05-28T13:14:00Z,99.00,1.09
2026-05-28T13:15:00Z,97.67,2.33
2026-05-28T13:16:00Z,97.07,3.00
2026-05-28T13:17:00Z,96.11,4.03
2026-05-28T13:18:00Z,97.00,4.00
2026-05-28T13:19:00Z,98.87,2.21
