# event_ticker=KXATPCHALLENGERMATCH-26FEB17BLOSAF
# final_score=6-2 6-2
# match_winner=Alexander Blockx
# fav_player=Alexander Blockx
# dog_player=Roman Safiullin
# kalshi_date=2026-02-17
timestamp,Alexander Blockx,Roman Safiullin
2026-02-17T04:35:00Z,74.00,
2026-02-17T04:49:00Z,74.00,
2026-02-17T04:56:00Z,74.00,30.00
2026-02-17T05:43:00Z,73.00,30.00
2026-02-17T05:48:00Z,73.00,30.00
2026-02-17T05:55:00Z,73.00,30.00
2026-02-17T06:06:00Z,73.00,26.00
2026-02-17T06:16:00Z,73.00,26.00
2026-02-17T06:30:00Z,74.00,26.00
2026-02-17T06:43:00Z,74.00,26.00
2026-02-17T07:59:00Z,74.00,26.00
2026-02-17T08:36:00Z,74.00,28.00
2026-02-17T08:44:00Z,74.00,28.00
2026-02-17T09:05:00Z,74.00,28.00
2026-02-17T10:24:00Z,74.00,26.00
2026-02-17T10:26:00Z,76.00,26.00
2026-02-17T10:30:00Z,76.00,26.00
2026-02-17T10:39:00Z,76.00,26.00
2026-02-17T10:41:00Z,76.00,26.00
2026-02-17T11:16:00Z,76.00,26.00
2026-02-17T11:30:00Z,76.00,26.00
2026-02-17T12:08:00Z,76.00,26.00
2026-02-17T12:19:00Z,76.00,26.00
2026-02-17T12:20:00Z,76.00,26.00
2026-02-17T12:45:00Z,74.00,26.00
2026-02-17T12:48:00Z,74.00,26.00
2026-02-17T12:49:00Z,74.00,26.00
2026-02-17T12:51:00Z,74.00,26.00
2026-02-17T12:53:00Z,74.00,27.00
2026-02-17T13:13:00Z,74.00,27.00
2026-02-17T13:15:00Z,74.00,27.00
2026-02-17T13:24:00Z,74.00,27.00
2026-02-17T13:42:00Z,74.00,27.00
2026-02-17T14:07:00Z,74.00,27.00
2026-02-17T14:09:00Z,74.00,27.00
2026-02-17T14:24:00Z,75.00,27.00
2026-02-17T14:27:00Z,75.00,27.00
2026-02-17T14:28:00Z,75.00,29.00
2026-02-17T14:35:00Z,75.00,29.00
2026-02-17T14:37:00Z,75.00,29.00
2026-02-17T14:38:00Z,74.00,29.00
2026-02-17T14:40:00Z,74.00,29.00
2026-02-17T14:41:00Z,74.00,29.00
2026-02-17T14:43:00Z,74.00,29.00
2026-02-17T14:45:00Z,74.00,29.00
2026-02-17T14:48:00Z,74.00,29.00
2026-02-17T14:49:00Z,74.00,29.00
2026-02-17T14:51:00Z,74.00,29.00
2026-02-17T14:53:00Z,74.00,28.00
2026-02-17T14:54:00Z,74.00,28.99
2026-02-17T14:56:00Z,74.00,28.99
2026-02-17T14:58:00Z,74.00,28.99
2026-02-17T14:59:00Z,74.00,28.99
2026-02-17T15:08:00Z,74.00,28.99
2026-02-17T15:11:00Z,74.00,28.67
2026-02-17T15:14:00Z,76.00,28.67
2026-02-17T15:16:00Z,76.00,28.67
2026-02-17T15:22:00Z,76.00,29.00
2026-02-17T15:32:00Z,75.00,29.00
2026-02-17T15:33:00Z,75.00,29.00
2026-02-17T15:36:00Z,74.00,28.95
2026-02-17T15:43:00Z,74.00,28.95
2026-02-17T15:51:00Z,75.00,28.95
2026-02-17T15:52:00Z,75.00,28.95
2026-02-17T15:59:00Z,75.00,28.95
2026-02-17T16:03:00Z,75.00,27.97
2026-02-17T16:07:00Z,75.00,27.97
2026-02-17T16:09:00Z,75.00,27.97
2026-02-17T16:11:00Z,75.18,27.96
2026-02-17T16:14:00Z,75.00,27.96
2026-02-17T16:17:00Z,75.00,27.96
2026-02-17T16:19:00Z,75.00,27.96
2026-02-17T16:20:00Z,75.00,27.96
2026-02-17T16:21:00Z,75.00,29.42
2026-02-17T16:22:00Z,74.81,29.00
2026-02-17T16:23:00Z,74.91,29.00
2026-02-17T16:24:00Z,73.97,28.87
2026-02-17T16:25:00Z,72.42,28.00
2026-02-17T16:26:00Z,78.82,24.58
2026-02-17T16:27:00Z,80.05,20.24
2026-02-17T16:28:00Z,74.99,28.44
2026-02-17T16:29:00Z,72.77,31.00
2026-02-17T16:30:00Z,72.77,29.04
2026-02-17T16:31:00Z,72.00,29.89
2026-02-17T16:32:00Z,73.00,29.48
2026-02-17T16:33:00Z,70.00,30.28
2026-02-17T16:34:00Z,70.00,30.65
2026-02-17T16:35:00Z,71.48,30.00
2026-02-17T16:36:00Z,71.48,24.82
2026-02-17T16:37:00Z,81.91,16.89
2026-02-17T16:38:00Z,84.35,16.97
2026-02-17T16:39:00Z,83.00,19.00
2026-02-17T16:40:00Z,83.00,19.00
2026-02-17T16:41:00Z,84.00,16.55
2026-02-17T16:42:00Z,85.00,15.00
2026-02-17T16:43:00Z,86.56,15.00
2026-02-17T16:44:00Z,86.56,15.58
2026-02-17T16:45:00Z,85.13,16.00
2026-02-17T16:46:00Z,85.00,16.00
2026-02-17T16:47:00Z,83.00,16.00
2026-02-17T16:48:00Z,86.85,14.36
2026-02-17T16:49:00Z,86.85,13.59
2026-02-17T16:50:00Z,88.00,13.04
2026-02-17T16:51:00Z,88.00,14.60
2026-02-17T16:52:00Z,88.00,14.00
2026-02-17T16:53:00Z,87.81,13.00
2026-02-17T16:54:00Z,87.81,11.00
