# event_ticker=KXATPMATCH-25JUL23DAVMUN
# final_score=6-4 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Jaume Munar
# kalshi_date=2025-07-23
timestamp,Alejandro Davidovich Fokina,Jaume Munar
2025-07-23T20:02:00Z,50.00,
2025-07-23T20:05:00Z,50.67,
2025-07-23T20:11:00Z,50.67,24.00
2025-07-23T20:12:00Z,50.67,41.89
2025-07-23T20:13:00Z,50.67,46.00
2025-07-23T20:14:00Z,50.67,46.00
2025-07-23T20:15:00Z,59.77,46.00
2025-07-23T20:16:00Z,59.77,47.28
2025-07-23T20:18:00Z,53.00,47.28
2025-07-23T20:23:00Z,53.00,48.00
2025-07-23T20:30:00Z,53.00,48.00
2025-07-23T20:33:00Z,53.00,48.00
2025-07-23T20:35:00Z,53.00,48.00
2025-07-23T20:38:00Z,54.01,48.00
2025-07-23T20:39:00Z,54.01,40.00
2025-07-23T20:42:00Z,60.00,40.00
2025-07-23T20:45:00Z,60.00,40.00
2025-07-23T20:46:00Z,60.00,40.00
2025-07-23T20:55:00Z,60.00,47.00
2025-07-23T21:00:00Z,60.00,47.07
2025-07-23T21:16:00Z,60.00,47.00
2025-07-23T21:27:00Z,60.00,47.00
2025-07-23T21:35:00Z,60.00,48.75
2025-07-23T21:46:00Z,60.00,51.00
2025-07-23T21:47:00Z,60.00,51.00
2025-07-23T21:51:00Z,60.00,48.00
2025-07-23T22:16:00Z,56.00,48.00
2025-07-23T22:17:00Z,59.00,48.00
2025-07-23T22:21:00Z,59.00,47.41
2025-07-23T22:23:00Z,56.99,47.41
2025-07-23T22:24:00Z,56.99,47.00
2025-07-23T22:29:00Z,56.99,47.97
2025-07-23T22:33:00Z,56.96,47.08
2025-07-23T22:34:00Z,56.00,47.08
2025-07-23T22:36:00Z,55.94,46.00
2025-07-23T22:37:00Z,56.00,46.00
2025-07-23T22:38:00Z,56.00,46.00
2025-07-23T22:45:00Z,55.00,46.00
2025-07-23T22:46:00Z,55.00,46.00
2025-07-23T22:47:00Z,55.00,46.88
2025-07-23T22:50:00Z,55.37,46.88
2025-07-23T22:56:00Z,56.00,46.88
2025-07-23T22:59:00Z,56.00,46.88
