# event_ticker=KXATPCHALLENGERMATCH-26APR07COLTOB
# final_score=1-6 6-3 6-3
# score_resolution=6-1 3-6 3-6
# match_winner=Tibo Colson
# fav_player=Miguel Tobon
# dog_player=Tibo Colson
# kalshi_date=2026-04-07
timestamp,Miguel Tobon,Tibo Colson
2026-04-07T15:54:00Z,59.00,
2026-04-07T16:28:00Z,59.00,
2026-04-07T16:49:00Z,59.00,44.00
2026-04-07T16:58:00Z,59.00,44.00
2026-04-07T17:01:00Z,59.00,44.00
2026-04-07T17:10:00Z,59.00,44.00
2026-04-07T17:43:00Z,59.00,44.00
2026-04-07T17:58:00Z,59.00,44.00
2026-04-07T18:12:00Z,59.00,44.00
2026-04-07T18:20:00Z,61.63,44.00
2026-04-07T18:28:00Z,61.00,44.00
2026-04-07T18:29:00Z,61.48,44.00
2026-04-07T18:41:00Z,62.00,44.00
2026-04-07T18:48:00Z,62.00,40.00
2026-04-07T18:54:00Z,62.00,40.00
2026-04-07T19:03:00Z,62.00,40.00
2026-04-07T19:15:00Z,62.00,41.00
2026-04-07T19:31:00Z,62.00,41.00
2026-04-07T19:34:00Z,63.00,41.00
2026-04-07T20:00:00Z,62.00,41.00
2026-04-07T20:01:00Z,62.00,41.00
2026-04-07T20:27:00Z,62.00,38.00
2026-04-07T20:53:00Z,62.00,38.00
2026-04-07T20:54:00Z,62.00,38.00
2026-04-07T21:02:00Z,62.00,38.00
2026-04-07T21:10:00Z,62.00,40.00
2026-04-07T21:11:00Z,62.00,40.00
2026-04-07T21:13:00Z,62.00,38.00
2026-04-07T21:15:00Z,62.00,38.00
2026-04-07T21:36:00Z,62.00,38.00
2026-04-07T21:41:00Z,62.00,38.00
2026-04-07T21:49:00Z,62.00,38.00
2026-04-07T21:55:00Z,62.00,38.00
2026-04-07T22:18:00Z,62.00,41.00
2026-04-07T22:25:00Z,62.00,41.00
2026-04-07T22:27:00Z,62.00,41.00
2026-04-07T22:40:00Z,62.00,41.00
2026-04-07T22:53:00Z,62.00,41.00
2026-04-07T23:06:00Z,62.00,41.00
2026-04-07T23:26:00Z,62.00,41.00
2026-04-07T23:30:00Z,62.00,41.00
2026-04-07T23:42:00Z,62.00,41.00
2026-04-08T00:02:00Z,62.00,41.00
2026-04-08T00:04:00Z,62.00,41.00
2026-04-08T00:19:00Z,62.00,41.00
2026-04-08T00:22:00Z,62.54,41.00
2026-04-08T00:29:00Z,62.92,41.00
2026-04-08T00:31:00Z,63.00,41.00
2026-04-08T00:38:00Z,63.00,41.00
2026-04-08T00:39:00Z,63.00,41.00
2026-04-08T00:42:00Z,63.00,41.00
2026-04-08T00:43:00Z,63.00,41.00
2026-04-08T00:47:00Z,63.00,41.00
2026-04-08T00:49:00Z,63.00,41.00
2026-04-08T00:50:00Z,63.00,41.00
2026-04-08T00:52:00Z,63.00,39.82
