# event_ticker=KXATPCHALLENGERMATCH-26MAR30NAGSAM
# final_score=6-1 7-6(3)
# score_resolution=1-6 6-7
# match_winner=Toby Samuel
# fav_player=Sumit Nagal
# dog_player=Toby Samuel
# kalshi_date=2026-03-30
timestamp,Sumit Nagal,Toby Samuel
2026-03-30T00:45:00Z,54.00,
2026-03-30T00:51:00Z,54.00,
2026-03-30T01:53:00Z,54.00,
2026-03-30T02:01:00Z,53.00,
2026-03-30T02:04:00Z,54.00,
2026-03-30T02:17:00Z,54.00,45.00
2026-03-30T02:37:00Z,56.00,45.00
2026-03-30T02:48:00Z,56.00,45.00
2026-03-30T02:55:00Z,56.00,45.00
2026-03-30T03:08:00Z,57.00,45.00
2026-03-30T03:33:00Z,57.00,45.00
2026-03-30T03:42:00Z,57.00,45.00
2026-03-30T04:15:00Z,56.00,45.00
2026-03-30T04:21:00Z,56.00,45.00
2026-03-30T04:32:00Z,57.00,45.00
2026-03-30T04:49:00Z,57.00,45.00
2026-03-30T04:53:00Z,55.00,45.00
2026-03-30T04:54:00Z,55.00,45.00
2026-03-30T05:10:00Z,56.00,45.00
2026-03-30T05:45:00Z,56.00,45.00
2026-03-30T05:56:00Z,56.00,45.00
2026-03-30T06:42:00Z,56.00,44.00
2026-03-30T06:46:00Z,56.00,44.00
2026-03-30T07:14:00Z,56.00,49.37
2026-03-30T08:10:00Z,56.00,49.00
2026-03-30T09:20:00Z,52.00,49.00
2026-03-30T09:21:00Z,52.00,49.00
2026-03-30T09:24:00Z,52.00,49.00
2026-03-30T09:36:00Z,52.00,49.00
2026-03-30T09:44:00Z,52.00,49.00
2026-03-30T10:10:00Z,53.00,49.00
2026-03-30T10:11:00Z,53.00,49.00
2026-03-30T10:19:00Z,53.00,49.00
2026-03-30T10:26:00Z,53.00,48.00
2026-03-30T10:29:00Z,53.00,48.00
2026-03-30T10:34:00Z,53.00,48.00
2026-03-30T10:46:00Z,53.00,48.00
2026-03-30T10:49:00Z,53.00,48.00
2026-03-30T10:55:00Z,53.85,48.00
2026-03-30T11:08:00Z,55.00,48.00
2026-03-30T11:24:00Z,55.00,47.00
2026-03-30T11:27:00Z,55.75,45.03
2026-03-30T11:29:00Z,55.75,46.00
2026-03-30T11:30:00Z,56.00,46.00
2026-03-30T11:31:00Z,56.00,46.00
2026-03-30T11:32:00Z,55.73,44.11
2026-03-30T11:35:00Z,56.00,46.00
2026-03-30T11:36:00Z,56.00,45.00
