# event_ticker=KXATPMATCH-26JAN09COLNAK
# final_score=6-3 6-3
# match_winner=Brandon Nakashima
# fav_player=Brandon Nakashima
# dog_player=Raphael Collignon
# kalshi_date=2026-01-09
timestamp,Brandon Nakashima,Raphael Collignon
2026-01-08T17:51:00Z,58.00,
2026-01-08T18:04:00Z,58.00,
2026-01-08T18:27:00Z,58.00,
2026-01-08T18:44:00Z,58.00,43.00
2026-01-08T18:56:00Z,58.00,43.00
2026-01-08T19:10:00Z,58.00,43.00
2026-01-08T19:11:00Z,58.00,43.00
2026-01-08T19:21:00Z,58.00,43.00
2026-01-08T20:45:00Z,57.00,43.00
2026-01-08T20:46:00Z,57.00,43.00
2026-01-08T20:49:00Z,58.00,43.00
2026-01-08T21:15:00Z,58.00,43.00
2026-01-08T21:27:00Z,58.00,43.00
2026-01-08T21:48:00Z,58.00,43.00
2026-01-08T22:06:00Z,58.00,43.00
2026-01-08T23:13:00Z,58.00,43.00
2026-01-08T23:22:00Z,58.00,43.00
2026-01-08T23:25:00Z,58.00,43.00
2026-01-08T23:33:00Z,58.00,43.00
2026-01-08T23:46:00Z,59.00,43.00
2026-01-08T23:49:00Z,59.00,42.00
2026-01-08T23:52:00Z,59.00,42.00
2026-01-09T00:16:00Z,59.00,42.00
2026-01-09T00:22:00Z,59.00,42.00
2026-01-09T00:33:00Z,59.00,42.00
2026-01-09T00:38:00Z,59.00,42.00
2026-01-09T00:41:00Z,59.00,43.22
2026-01-09T00:45:00Z,58.00,43.22
2026-01-09T00:57:00Z,58.00,43.22
2026-01-09T01:17:00Z,58.00,43.22
2026-01-09T01:21:00Z,58.00,43.22
2026-01-09T01:25:00Z,58.00,44.00
2026-01-09T01:40:00Z,58.00,44.00
2026-01-09T01:47:00Z,58.00,44.00
2026-01-09T02:16:00Z,58.00,44.00
2026-01-09T02:29:00Z,58.00,44.00
2026-01-09T02:31:00Z,58.00,44.00
2026-01-09T02:37:00Z,58.00,44.00
2026-01-09T02:44:00Z,58.00,44.00
2026-01-09T02:52:00Z,58.00,44.00
2026-01-09T03:05:00Z,58.00,44.00
2026-01-09T03:08:00Z,58.00,44.00
2026-01-09T03:12:00Z,58.00,44.00
2026-01-09T03:15:00Z,58.00,44.00
2026-01-09T03:17:00Z,58.00,44.00
2026-01-09T03:20:00Z,58.00,44.00
2026-01-09T03:26:00Z,58.00,44.00
2026-01-09T03:28:00Z,58.00,44.00
2026-01-09T03:29:00Z,58.00,44.00
2026-01-09T03:32:00Z,58.12,44.00
2026-01-09T03:33:00Z,58.00,44.00
2026-01-09T03:34:00Z,58.00,43.00
2026-01-09T03:36:00Z,58.00,43.00
2026-01-09T03:37:00Z,58.00,43.00
2026-01-09T03:39:00Z,58.00,43.00
2026-01-09T03:57:00Z,58.00,43.00
2026-01-09T04:08:00Z,58.00,44.00
2026-01-09T04:09:00Z,57.00,44.00
2026-01-09T04:14:00Z,57.00,44.00
2026-01-09T04:15:00Z,57.00,44.00
2026-01-09T04:19:00Z,57.00,44.00
2026-01-09T04:21:00Z,57.00,44.00
2026-01-09T04:22:00Z,57.00,44.00
2026-01-09T04:23:00Z,57.42,44.00
2026-01-09T04:25:00Z,58.00,44.00
2026-01-09T04:26:00Z,58.00,44.00
