# event_ticker=KXATPMATCH-25SEP29TIEMUS
# final_score=4-6 6-3 3-0 RET
# match_winner=Learner Tien
# fav_player=Lorenzo Musetti
# dog_player=Learner Tien
# kalshi_date=2025-09-29
timestamp,Lorenzo Musetti,Learner Tien
2025-09-30T12:47:00Z,,99.00
2025-09-30T14:23:00Z,,99.00
2025-09-30T16:47:00Z,,99.00
2025-09-30T17:58:00Z,1.00,99.00
2025-09-30T18:13:00Z,1.00,99.00
2025-09-30T19:07:00Z,1.00,99.00
2025-09-30T20:43:00Z,1.00,99.00
2025-09-30T21:41:00Z,1.00,99.00
2025-09-30T22:36:00Z,1.00,99.00
2025-09-30T23:42:00Z,1.00,99.00
