# event_ticker=KXATPCHALLENGERMATCH-26FEB20BLOBON
# final_score=6-3 6-4
# match_winner=Alexander Blockx
# fav_player=Alexander Blockx
# dog_player=Benjamin Bonzi
# kalshi_date=2026-02-20
timestamp,Alexander Blockx,Benjamin Bonzi
2026-02-20T09:05:00Z,61.00,
2026-02-20T09:22:00Z,61.00,
2026-02-20T09:55:00Z,61.00,
2026-02-20T11:25:00Z,61.00,
2026-02-20T11:31:00Z,61.00,
2026-02-20T11:46:00Z,61.00,
2026-02-20T12:35:00Z,61.00,
2026-02-20T12:44:00Z,61.00,41.00
2026-02-20T12:55:00Z,61.00,41.00
2026-02-20T13:25:00Z,61.00,41.00
2026-02-20T13:26:00Z,61.00,41.00
2026-02-20T13:29:00Z,61.00,39.00
2026-02-20T13:47:00Z,61.00,39.00
2026-02-20T14:16:00Z,61.00,41.00
2026-02-20T14:39:00Z,61.00,41.00
2026-02-20T14:45:00Z,61.00,41.00
2026-02-20T14:53:00Z,61.00,41.00
2026-02-20T14:56:00Z,61.00,41.00
2026-02-20T14:57:00Z,61.00,41.00
2026-02-20T15:10:00Z,61.00,41.00
2026-02-20T15:13:00Z,61.00,41.00
2026-02-20T15:20:00Z,61.00,41.00
2026-02-20T15:30:00Z,61.00,41.00
2026-02-20T15:31:00Z,61.00,41.00
2026-02-20T15:46:00Z,61.00,41.00
2026-02-20T15:59:00Z,61.00,41.00
2026-02-20T16:00:00Z,61.00,42.00
2026-02-20T16:01:00Z,61.00,42.00
2026-02-20T16:03:00Z,61.00,42.00
2026-02-20T16:12:00Z,61.00,42.00
2026-02-20T16:18:00Z,61.00,42.00
2026-02-20T16:21:00Z,61.00,42.00
2026-02-20T16:33:00Z,61.00,42.00
2026-02-20T16:34:00Z,61.00,40.00
2026-02-20T16:36:00Z,61.00,40.00
2026-02-20T16:44:00Z,61.00,40.00
2026-02-20T16:51:00Z,61.00,40.00
2026-02-20T16:59:00Z,61.00,40.00
2026-02-20T17:11:00Z,61.00,40.00
2026-02-20T17:12:00Z,61.00,40.00
2026-02-20T17:15:00Z,61.00,40.95
2026-02-20T17:18:00Z,61.00,40.95
2026-02-20T17:23:00Z,61.00,40.95
2026-02-20T17:36:00Z,61.00,40.95
2026-02-20T17:41:00Z,61.00,40.95
2026-02-20T17:48:00Z,61.00,41.00
2026-02-20T17:51:00Z,61.00,41.00
2026-02-20T17:52:00Z,61.00,41.00
2026-02-20T17:55:00Z,61.00,41.00
2026-02-20T18:08:00Z,62.00,39.24
2026-02-20T18:09:00Z,62.00,37.00
2026-02-20T18:14:00Z,66.00,37.00
2026-02-20T18:18:00Z,66.00,35.00
2026-02-20T18:21:00Z,66.00,35.00
2026-02-20T18:30:00Z,66.00,35.00
2026-02-20T18:32:00Z,66.00,35.00
2026-02-20T18:38:00Z,66.00,35.00
2026-02-20T18:41:00Z,66.00,35.00
2026-02-20T18:49:00Z,66.00,35.00
2026-02-20T18:50:00Z,66.00,36.00
2026-02-20T18:58:00Z,66.00,36.00
2026-02-20T18:59:00Z,66.00,35.00
2026-02-20T19:02:00Z,67.00,35.00
2026-02-20T19:03:00Z,67.00,35.00
2026-02-20T19:16:00Z,67.00,35.00
2026-02-20T19:20:00Z,67.00,34.99
2026-02-20T19:21:00Z,67.00,35.00
2026-02-20T19:24:00Z,67.00,35.00
2026-02-20T19:27:00Z,67.00,35.00
2026-02-20T19:30:00Z,67.00,35.00
2026-02-20T19:32:00Z,67.00,35.00
2026-02-20T19:33:00Z,67.00,35.00
2026-02-20T19:34:00Z,68.00,35.00
2026-02-20T19:36:00Z,68.00,35.00
2026-02-20T19:37:00Z,68.00,35.00
2026-02-20T19:43:00Z,68.00,35.00
2026-02-20T19:44:00Z,68.14,35.00
2026-02-20T19:45:00Z,68.00,34.00
2026-02-20T19:47:00Z,68.00,35.00
2026-02-20T19:48:00Z,69.00,35.00
2026-02-20T19:49:00Z,69.00,33.00
2026-02-20T19:51:00Z,68.00,33.00
2026-02-20T19:54:00Z,69.00,33.00
2026-02-20T19:57:00Z,69.00,34.00
2026-02-20T19:58:00Z,69.00,34.00
2026-02-20T19:59:00Z,69.00,34.00
2026-02-20T20:00:00Z,69.00,34.00
2026-02-20T20:01:00Z,69.00,34.52
2026-02-20T20:02:00Z,69.00,35.00
2026-02-20T20:03:00Z,69.22,33.00
2026-02-20T20:04:00Z,70.06,32.06
