# event_ticker=KXATPCHALLENGERMATCH-26MAR10CECIRA
# final_score=6-0 6-2
# score_resolution=0-6 2-6
# match_winner=Marco Cecchinato
# fav_player=Guy Orly Iradukunda
# dog_player=Marco Cecchinato
# kalshi_date=2026-03-10
timestamp,Guy Orly Iradukunda,Marco Cecchinato
2026-03-10T02:16:00Z,,91.00
2026-03-10T03:03:00Z,,91.00
2026-03-10T04:00:00Z,9.00,91.00
2026-03-10T04:10:00Z,9.00,91.00
2026-03-10T04:12:00Z,9.00,91.00
2026-03-10T04:13:00Z,10.00,91.00
2026-03-10T04:21:00Z,9.00,91.00
2026-03-10T04:22:00Z,9.00,93.00
2026-03-10T04:31:00Z,9.00,91.01
2026-03-10T04:39:00Z,10.00,91.01
2026-03-10T04:40:00Z,10.00,91.01
2026-03-10T04:42:00Z,10.00,91.01
2026-03-10T04:44:00Z,10.00,91.01
2026-03-10T04:48:00Z,10.00,91.01
2026-03-10T04:51:00Z,10.00,91.01
2026-03-10T04:53:00Z,10.00,91.00
2026-03-10T05:00:00Z,10.00,91.00
2026-03-10T05:06:00Z,10.00,91.00
2026-03-10T05:07:00Z,10.00,91.00
2026-03-10T05:09:00Z,11.00,90.00
2026-03-10T05:13:00Z,10.00,90.00
2026-03-10T05:31:00Z,9.00,90.00
2026-03-10T05:47:00Z,10.00,90.00
2026-03-10T06:01:00Z,10.00,90.00
2026-03-10T06:08:00Z,10.00,92.00
2026-03-10T06:10:00Z,11.00,92.00
2026-03-10T06:16:00Z,10.95,92.00
2026-03-10T06:40:00Z,10.00,92.00
2026-03-10T06:51:00Z,9.00,92.00
2026-03-10T06:58:00Z,9.50,92.00
2026-03-10T07:15:00Z,10.00,92.00
2026-03-10T07:23:00Z,10.00,91.00
2026-03-10T07:28:00Z,10.00,91.00
2026-03-10T07:30:00Z,10.00,91.00
2026-03-10T07:32:00Z,10.00,91.00
2026-03-10T07:35:00Z,10.00,91.00
2026-03-10T07:37:00Z,10.00,91.00
2026-03-10T07:48:00Z,10.00,91.00
2026-03-10T07:50:00Z,8.00,91.00
2026-03-10T08:03:00Z,9.00,91.00
2026-03-10T08:05:00Z,9.00,91.00
2026-03-10T08:06:00Z,9.76,91.00
2026-03-10T08:07:00Z,9.00,91.00
2026-03-10T08:09:00Z,7.35,93.19
2026-03-10T08:10:00Z,8.55,92.84
2026-03-10T08:11:00Z,7.16,90.43
2026-03-10T08:12:00Z,4.16,95.68
2026-03-10T08:13:00Z,5.02,95.68
2026-03-10T08:14:00Z,3.30,97.00
2026-03-10T08:15:00Z,5.00,98.00
2026-03-10T08:17:00Z,5.00,98.00
2026-03-10T08:18:00Z,3.14,96.00
2026-03-10T08:19:00Z,2.12,98.00
2026-03-10T08:20:00Z,4.00,98.00
2026-03-10T08:21:00Z,2.58,97.00
2026-03-10T08:24:00Z,3.00,97.00
2026-03-10T08:25:00Z,2.00,97.97
2026-03-10T08:26:00Z,2.00,97.97
2026-03-10T08:27:00Z,1.04,97.97
2026-03-10T08:28:00Z,2.00,97.97
2026-03-10T08:29:00Z,2.00,97.97
2026-03-10T08:30:00Z,1.00,97.97
2026-03-10T08:31:00Z,2.00,97.97
2026-03-10T08:33:00Z,2.00,99.00
2026-03-10T08:34:00Z,1.00,99.00
2026-03-10T08:35:00Z,1.00,99.00
2026-03-10T08:37:00Z,1.00,99.00
2026-03-10T08:44:00Z,1.00,99.00
2026-03-10T08:50:00Z,1.00,99.00
2026-03-10T08:51:00Z,1.00,99.00
2026-03-10T08:54:00Z,1.00,99.00
