# event_ticker=KXATPCHALLENGERMATCH-26FEB19COLTOR
# final_score=5-7 6-3 6-3
# match_winner=Andrea Collarini
# fav_player=Andrea Collarini
# dog_player=Juan Bautista Torres
# kalshi_date=2026-02-19
timestamp,Andrea Collarini,Juan Bautista Torres
2026-02-19T06:28:00Z,,84.00
2026-02-19T06:43:00Z,58.00,84.00
2026-02-19T07:12:00Z,46.00,84.00
2026-02-19T07:46:00Z,46.00,84.00
2026-02-19T11:47:00Z,52.00,84.00
2026-02-19T12:11:00Z,52.00,84.00
2026-02-19T12:19:00Z,52.00,56.00
2026-02-19T12:25:00Z,52.00,56.00
2026-02-19T12:31:00Z,52.00,56.00
2026-02-19T12:32:00Z,52.00,56.00
2026-02-19T12:35:00Z,52.00,56.00
2026-02-19T12:47:00Z,52.00,56.65
2026-02-19T12:54:00Z,48.00,56.90
2026-02-19T13:05:00Z,48.00,55.17
2026-02-19T13:10:00Z,47.00,57.70
2026-02-19T13:13:00Z,47.00,57.00
2026-02-19T13:15:00Z,47.00,57.00
2026-02-19T13:16:00Z,47.00,58.37
2026-02-19T13:18:00Z,52.00,58.37
2026-02-19T13:19:00Z,47.00,57.00
2026-02-19T13:23:00Z,52.07,49.00
2026-02-19T13:26:00Z,47.00,51.74
2026-02-19T13:32:00Z,52.00,51.74
2026-02-19T13:34:00Z,52.00,51.74
2026-02-19T13:53:00Z,52.00,51.74
2026-02-19T13:55:00Z,52.00,56.00
2026-02-19T13:58:00Z,53.00,48.42
2026-02-19T14:15:00Z,47.00,55.38
2026-02-19T14:16:00Z,45.72,54.80
2026-02-19T14:20:00Z,45.72,56.22
2026-02-19T14:21:00Z,47.00,57.11
2026-02-19T14:22:00Z,54.06,57.11
2026-02-19T14:23:00Z,54.06,56.00
2026-02-19T14:29:00Z,51.97,56.00
2026-02-19T14:35:00Z,51.97,56.00
2026-02-19T14:37:00Z,47.00,58.12
2026-02-19T14:40:00Z,47.00,55.00
2026-02-19T14:43:00Z,47.00,54.00
2026-02-19T14:44:00Z,47.00,50.86
2026-02-19T14:51:00Z,55.06,50.86
2026-02-19T14:59:00Z,46.04,57.00
2026-02-19T15:00:00Z,46.04,57.12
2026-02-19T15:04:00Z,49.00,57.12
2026-02-19T15:05:00Z,50.90,57.12
2026-02-19T15:06:00Z,50.90,56.00
2026-02-19T15:09:00Z,50.00,56.00
2026-02-19T15:10:00Z,47.00,56.00
2026-02-19T15:12:00Z,51.99,56.00
2026-02-19T15:14:00Z,51.78,56.00
2026-02-19T15:16:00Z,47.00,56.00
2026-02-19T15:18:00Z,50.77,56.00
2026-02-19T15:20:00Z,52.96,51.00
2026-02-19T15:22:00Z,47.00,51.00
2026-02-19T15:24:00Z,47.00,56.00
