# event_ticker=KXATPCHALLENGERMATCH-26MAR31SCHNIK
# final_score=3-6 6-3 6-0
# score_resolution=6-3 3-6 0-6
# match_winner=Johan Nikles
# fav_player=Joao Eduardo Schiessl
# dog_player=Johan Nikles
# kalshi_date=2026-03-31
timestamp,Joao Eduardo Schiessl,Johan Nikles
2026-03-31T03:38:00Z,58.00,51.00
2026-03-31T03:39:00Z,65.00,43.00
2026-03-31T03:50:00Z,57.00,43.00
2026-03-31T04:05:00Z,61.00,47.00
2026-03-31T05:44:00Z,57.39,47.00
2026-03-31T06:08:00Z,58.91,47.00
2026-03-31T07:12:00Z,58.91,42.00
2026-03-31T07:51:00Z,61.00,42.00
2026-03-31T08:24:00Z,59.00,43.00
2026-03-31T11:52:00Z,55.00,43.00
2026-03-31T11:55:00Z,55.00,43.00
2026-03-31T11:56:00Z,55.00,43.00
2026-03-31T11:58:00Z,55.00,43.00
2026-03-31T12:41:00Z,55.00,43.00
2026-03-31T12:45:00Z,55.00,43.00
2026-03-31T12:46:00Z,55.00,43.00
2026-03-31T13:23:00Z,55.75,43.00
2026-03-31T13:25:00Z,55.00,43.00
2026-03-31T13:28:00Z,56.00,43.00
2026-03-31T13:30:00Z,56.00,46.00
2026-03-31T13:35:00Z,56.00,49.00
2026-03-31T13:37:00Z,61.17,49.00
2026-03-31T13:38:00Z,64.19,49.00
2026-03-31T13:40:00Z,56.00,45.60
2026-03-31T13:42:00Z,55.00,46.87
2026-03-31T13:43:00Z,55.73,47.83
2026-03-31T13:44:00Z,48.76,52.67
2026-03-31T13:45:00Z,48.76,57.61
2026-03-31T13:46:00Z,44.00,54.00
2026-03-31T13:47:00Z,45.77,57.65
2026-03-31T13:48:00Z,49.64,59.94
2026-03-31T13:49:00Z,53.87,53.25
2026-03-31T13:50:00Z,53.87,45.00
2026-03-31T13:51:00Z,56.05,42.00
2026-03-31T13:52:00Z,61.59,38.33
2026-03-31T13:53:00Z,61.59,37.26
2026-03-31T13:54:00Z,65.00,37.00
2026-03-31T13:55:00Z,64.98,35.75
2026-03-31T13:56:00Z,59.00,39.68
