# event_ticker=KXATPCHALLENGERMATCH-26MAR23GAKHAR
# final_score=6-3 RET
# match_winner=Lloyd Harris
# fav_player=Ivan Gakhov
# dog_player=Lloyd Harris
# kalshi_date=2026-03-23
timestamp,Ivan Gakhov,Lloyd Harris
2026-03-23T04:35:00Z,,72.00
2026-03-23T05:01:00Z,29.62,71.83
2026-03-23T05:02:00Z,29.62,70.00
2026-03-23T05:03:00Z,29.62,70.00
2026-03-23T05:04:00Z,29.62,70.00
2026-03-23T05:08:00Z,29.62,73.00
2026-03-23T06:33:00Z,29.62,73.00
2026-03-23T06:45:00Z,32.00,73.00
2026-03-23T08:39:00Z,32.00,73.00
2026-03-23T09:07:00Z,32.00,69.00
2026-03-23T10:59:00Z,32.00,73.00
2026-03-23T11:10:00Z,32.00,73.00
2026-03-23T11:14:00Z,39.00,73.00
2026-03-23T12:33:00Z,37.00,73.00
2026-03-23T12:38:00Z,37.00,73.00
2026-03-23T12:42:00Z,37.00,73.00
2026-03-23T12:46:00Z,37.00,73.00
2026-03-23T12:51:00Z,37.00,73.00
2026-03-23T13:05:00Z,31.00,73.00
2026-03-23T13:07:00Z,31.00,70.00
2026-03-23T13:16:00Z,28.00,74.00
2026-03-23T13:17:00Z,28.00,71.58
2026-03-23T13:24:00Z,28.00,73.00
2026-03-23T13:29:00Z,27.00,75.00
2026-03-23T13:38:00Z,27.00,75.00
2026-03-23T13:52:00Z,27.00,75.00
2026-03-23T13:53:00Z,27.00,75.00
2026-03-23T13:59:00Z,27.33,75.00
2026-03-23T14:02:00Z,28.29,75.00
2026-03-23T14:07:00Z,26.76,76.47
2026-03-23T14:09:00Z,26.76,72.00
2026-03-23T14:10:00Z,27.00,75.00
2026-03-23T14:11:00Z,27.00,75.00
2026-03-23T14:12:00Z,27.00,75.00
2026-03-23T14:14:00Z,27.33,74.67
2026-03-23T14:22:00Z,27.00,75.00
2026-03-23T14:23:00Z,29.80,72.00
2026-03-23T14:24:00Z,27.00,74.75
2026-03-23T14:25:00Z,28.09,79.81
2026-03-23T14:27:00Z,30.00,72.00
2026-03-23T14:28:00Z,30.00,72.00
2026-03-23T14:29:00Z,29.00,73.00
2026-03-23T14:30:00Z,28.81,73.00
2026-03-23T14:32:00Z,28.81,76.00
2026-03-23T14:35:00Z,29.00,76.00
2026-03-23T14:38:00Z,29.00,77.00
2026-03-23T14:39:00Z,28.42,77.00
2026-03-23T14:41:00Z,27.00,77.00
2026-03-23T14:44:00Z,27.00,77.00
2026-03-23T14:45:00Z,27.00,73.00
2026-03-23T14:47:00Z,20.00,86.06
2026-03-23T14:50:00Z,26.79,86.06
2026-03-23T14:51:00Z,28.00,86.06
2026-03-23T14:53:00Z,28.98,86.06
2026-03-23T15:02:00Z,28.98,79.00
2026-03-23T15:20:00Z,28.98,73.00
2026-03-23T15:29:00Z,28.67,78.00
2026-03-23T15:33:00Z,28.00,78.00
2026-03-23T15:34:00Z,28.00,78.00
2026-03-23T15:37:00Z,28.00,80.00
2026-03-23T15:41:00Z,28.00,80.00
2026-03-23T15:42:00Z,28.00,79.00
2026-03-23T15:45:00Z,28.00,79.00
2026-03-23T15:46:00Z,28.43,74.00
2026-03-23T15:47:00Z,29.00,74.00
2026-03-23T15:48:00Z,29.43,72.36
2026-03-23T15:49:00Z,29.66,72.00
2026-03-23T15:50:00Z,30.44,71.24
2026-03-23T15:51:00Z,25.70,71.50
2026-03-23T15:52:00Z,26.99,75.40
2026-03-23T15:53:00Z,28.51,73.37
2026-03-23T15:54:00Z,26.29,75.64
2026-03-23T15:55:00Z,25.20,76.89
2026-03-23T15:56:00Z,23.03,79.00
2026-03-23T15:57:00Z,25.16,77.07
2026-03-23T15:58:00Z,22.52,79.54
2026-03-23T15:59:00Z,22.11,80.02
2026-03-23T16:00:00Z,22.81,80.21
2026-03-23T16:01:00Z,21.88,81.27
2026-03-23T16:02:00Z,25.19,72.00
2026-03-23T16:03:00Z,20.05,81.39
2026-03-23T16:04:00Z,20.74,81.54
2026-03-23T16:05:00Z,22.29,81.01
2026-03-23T16:06:00Z,19.00,84.46
2026-03-23T16:07:00Z,21.29,79.99
2026-03-23T16:08:00Z,20.68,80.41
2026-03-23T16:09:00Z,18.08,83.01
2026-03-23T16:10:00Z,14.55,86.00
2026-03-23T16:11:00Z,15.38,85.00
2026-03-23T16:12:00Z,12.36,89.34
2026-03-23T16:13:00Z,12.64,87.28
2026-03-23T16:14:00Z,9.78,89.62
2026-03-23T16:15:00Z,7.23,94.74
2026-03-23T16:16:00Z,6.18,92.20
2026-03-23T16:17:00Z,6.92,92.00
2026-03-23T16:18:00Z,8.06,94.02
2026-03-23T16:19:00Z,5.33,94.02
2026-03-23T16:20:00Z,2.40,97.62
2026-03-23T16:21:00Z,1.48,98.92
2026-03-23T16:22:00Z,1.00,98.92
2026-03-23T16:23:00Z,1.00,98.92
