# event_ticker=KXATPMATCH-26FEB05DROKOV
# final_score=4-6 7-6(5) 6-4
# score_resolution=4-6 7-6 6-4
# match_winner=Titouan Droguet
# fav_player=Titouan Droguet
# dog_player=Aleksandar Kovacevic
# kalshi_date=2026-02-05
timestamp,Titouan Droguet,Aleksandar Kovacevic
2026-02-05T00:19:00Z,,47.00
2026-02-05T00:27:00Z,55.70,47.00
2026-02-05T00:31:00Z,55.59,47.00
2026-02-05T00:44:00Z,56.00,47.00
2026-02-05T00:52:00Z,54.00,47.00
2026-02-05T00:53:00Z,53.00,47.00
2026-02-05T00:54:00Z,53.00,47.00
2026-02-05T00:56:00Z,53.00,47.00
2026-02-05T01:11:00Z,53.00,47.00
2026-02-05T01:14:00Z,53.00,47.00
2026-02-05T01:16:00Z,53.00,47.00
2026-02-05T01:20:00Z,54.00,47.00
2026-02-05T01:31:00Z,54.00,47.00
2026-02-05T01:34:00Z,54.00,46.00
2026-02-05T01:36:00Z,54.00,46.00
2026-02-05T01:37:00Z,54.00,46.00
2026-02-05T01:54:00Z,54.00,47.00
2026-02-05T01:55:00Z,54.54,47.00
2026-02-05T01:56:00Z,55.00,47.00
2026-02-05T02:01:00Z,55.00,47.00
2026-02-05T02:05:00Z,54.00,47.00
2026-02-05T02:08:00Z,56.10,47.00
2026-02-05T02:13:00Z,56.00,47.00
2026-02-05T02:16:00Z,56.90,47.00
2026-02-05T02:21:00Z,54.00,47.00
2026-02-05T02:27:00Z,56.00,47.00
2026-02-05T02:31:00Z,56.00,47.00
2026-02-05T02:37:00Z,56.00,47.00
2026-02-05T02:40:00Z,58.00,47.00
2026-02-05T02:42:00Z,58.00,47.00
2026-02-05T02:46:00Z,58.00,47.00
2026-02-05T02:50:00Z,58.00,46.00
2026-02-05T02:57:00Z,58.00,46.00
2026-02-05T03:06:00Z,58.00,46.92
2026-02-05T03:14:00Z,58.00,46.00
2026-02-05T03:15:00Z,58.00,46.00
2026-02-05T03:16:00Z,58.00,46.67
2026-02-05T03:17:00Z,58.00,46.00
2026-02-05T03:20:00Z,58.00,46.00
2026-02-05T03:22:00Z,58.00,43.00
2026-02-05T03:27:00Z,59.00,43.00
2026-02-05T03:28:00Z,59.00,43.00
2026-02-05T03:32:00Z,59.00,43.00
2026-02-05T03:41:00Z,59.00,43.00
2026-02-05T03:47:00Z,59.00,43.00
2026-02-05T03:49:00Z,59.00,43.00
2026-02-05T03:50:00Z,59.00,43.00
2026-02-05T04:04:00Z,59.00,43.00
