# event_ticker=KXATPMATCH-25AUG09WONHUM
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Ugo Humbert
# fav_player=Coleman Wong
# dog_player=Ugo Humbert
# kalshi_date=2025-08-09
timestamp,Coleman Wong,Ugo Humbert
2025-08-09T11:47:00Z,,71.00
2025-08-09T13:12:00Z,,67.00
2025-08-09T13:46:00Z,34.89,67.00
2025-08-09T15:15:00Z,34.89,67.00
2025-08-09T15:57:00Z,34.89,66.00
2025-08-09T16:19:00Z,35.00,66.00
2025-08-09T17:21:00Z,35.00,65.00
2025-08-09T17:27:00Z,36.00,65.00
2025-08-09T17:43:00Z,37.00,65.00
2025-08-09T17:47:00Z,37.00,65.00
2025-08-09T18:07:00Z,37.00,64.00
2025-08-09T18:09:00Z,37.00,63.00
2025-08-09T18:13:00Z,38.00,63.00
2025-08-09T18:17:00Z,38.00,63.00
2025-08-09T18:24:00Z,38.00,63.00
2025-08-09T18:30:00Z,36.00,63.00
2025-08-09T18:34:00Z,36.00,64.00
2025-08-09T18:41:00Z,37.80,64.00
2025-08-09T19:29:00Z,37.80,65.00
2025-08-09T19:47:00Z,37.80,65.00
2025-08-09T20:10:00Z,38.01,65.00
2025-08-09T20:12:00Z,39.00,66.00
2025-08-09T20:15:00Z,39.00,62.00
2025-08-09T20:16:00Z,39.00,64.00
2025-08-09T20:20:00Z,39.00,69.04
2025-08-09T20:21:00Z,35.94,69.18
2025-08-09T20:22:00Z,36.56,69.18
2025-08-09T20:23:00Z,35.66,65.00
2025-08-09T20:24:00Z,36.00,64.57
2025-08-09T20:25:00Z,35.00,74.12
2025-08-09T20:26:00Z,22.90,77.38
2025-08-09T20:27:00Z,22.90,81.06
2025-08-09T20:29:00Z,14.00,86.00
2025-08-09T20:30:00Z,14.00,86.00
2025-08-09T20:31:00Z,16.00,86.00
2025-08-09T20:34:00Z,16.00,87.00
2025-08-09T20:35:00Z,17.17,82.00
2025-08-09T20:36:00Z,17.17,86.69
2025-08-09T20:37:00Z,17.17,87.00
2025-08-09T20:39:00Z,17.17,86.96
2025-08-09T20:40:00Z,18.00,86.96
2025-08-09T20:41:00Z,18.00,88.00
2025-08-09T20:42:00Z,18.00,89.00
2025-08-09T20:43:00Z,18.00,84.00
2025-08-09T20:44:00Z,14.58,89.00
2025-08-09T20:45:00Z,14.58,89.00
2025-08-09T20:46:00Z,14.00,89.00
2025-08-09T20:47:00Z,12.15,89.00
2025-08-09T20:48:00Z,5.05,95.67
2025-08-09T20:49:00Z,6.00,97.00
2025-08-09T20:50:00Z,4.18,97.00
2025-08-09T20:51:00Z,2.75,99.00
2025-08-09T20:52:00Z,5.00,96.00
2025-08-09T20:54:00Z,6.00,97.00
2025-08-09T20:56:00Z,5.00,97.00
2025-08-09T20:57:00Z,7.00,97.00
2025-08-09T20:58:00Z,4.00,97.00
2025-08-09T20:59:00Z,3.00,97.00
2025-08-09T21:00:00Z,5.00,96.00
2025-08-09T21:01:00Z,5.00,98.00
2025-08-09T21:02:00Z,5.00,97.58
2025-08-09T21:03:00Z,5.00,94.45
2025-08-09T21:04:00Z,4.84,94.45
2025-08-09T21:05:00Z,2.97,98.00
2025-08-09T21:07:00Z,3.79,98.00
2025-08-09T21:08:00Z,3.00,98.00
2025-08-09T21:09:00Z,2.27,98.25
2025-08-09T21:10:00Z,1.00,98.00
2025-08-09T21:11:00Z,4.51,98.84
2025-08-09T21:14:00Z,3.00,92.90
2025-08-09T21:16:00Z,3.00,98.86
2025-08-09T21:17:00Z,6.32,93.40
2025-08-09T21:18:00Z,8.45,96.00
2025-08-09T21:19:00Z,5.83,95.55
2025-08-09T21:20:00Z,2.90,98.89
2025-08-09T21:21:00Z,1.07,99.00
