# event_ticker=KXATPCHALLENGERMATCH-26MAY12KOLZHA
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Zdenek Kolar
# fav_player=Zhizhen Zhang
# dog_player=Zdenek Kolar
# kalshi_date=2026-05-12
timestamp,Zdenek Kolar,Zhizhen Zhang
2026-05-12T06:13:00Z,,49.00
2026-05-12T08:11:00Z,,48.97
2026-05-12T08:13:00Z,53.00,48.88
2026-05-12T08:14:00Z,53.00,47.00
2026-05-12T08:26:00Z,52.00,47.00
2026-05-12T08:51:00Z,51.00,47.00
2026-05-12T08:56:00Z,49.00,50.00
2026-05-12T08:57:00Z,47.00,50.00
2026-05-12T09:18:00Z,47.00,53.00
2026-05-12T10:21:00Z,47.00,54.00
2026-05-12T10:26:00Z,47.00,53.00
2026-05-12T10:40:00Z,47.00,53.00
2026-05-12T10:42:00Z,45.00,53.00
2026-05-12T10:55:00Z,45.00,53.00
2026-05-12T11:02:00Z,45.00,54.00
2026-05-12T11:09:00Z,45.00,53.00
2026-05-12T11:24:00Z,45.00,53.00
2026-05-12T11:32:00Z,45.00,53.00
2026-05-12T11:38:00Z,45.00,53.00
2026-05-12T11:52:00Z,45.00,53.00
2026-05-12T12:06:00Z,45.00,53.00
2026-05-12T12:15:00Z,45.00,55.00
2026-05-12T12:20:00Z,45.00,53.00
2026-05-12T12:34:00Z,45.00,53.00
2026-05-12T12:48:00Z,45.00,55.00
2026-05-12T13:17:00Z,46.00,55.00
2026-05-12T13:48:00Z,46.00,55.00
2026-05-12T14:03:00Z,46.00,55.00
2026-05-12T14:07:00Z,46.00,55.00
2026-05-12T14:22:00Z,46.00,55.00
2026-05-12T14:26:00Z,46.00,55.00
2026-05-12T14:32:00Z,46.00,55.00
2026-05-12T14:41:00Z,46.00,55.00
2026-05-12T14:42:00Z,46.00,55.00
2026-05-12T14:47:00Z,46.00,55.00
2026-05-12T14:49:00Z,46.00,55.00
2026-05-12T14:51:00Z,45.50,55.00
2026-05-12T15:00:00Z,45.50,55.00
2026-05-12T15:06:00Z,46.00,55.00
2026-05-12T15:14:00Z,46.00,55.00
2026-05-12T15:16:00Z,45.00,55.00
2026-05-12T15:20:00Z,45.00,56.00
2026-05-12T15:21:00Z,45.00,56.00
2026-05-12T15:24:00Z,45.00,56.00
2026-05-12T15:33:00Z,45.00,56.00
2026-05-12T15:39:00Z,45.00,55.00
2026-05-12T15:53:00Z,45.00,54.00
2026-05-12T15:55:00Z,45.00,54.80
2026-05-12T15:59:00Z,48.00,55.00
2026-05-12T16:12:00Z,48.00,55.00
2026-05-12T16:15:00Z,47.00,55.00
2026-05-12T16:16:00Z,47.00,55.00
2026-05-12T16:19:00Z,47.00,55.00
2026-05-12T16:20:00Z,48.00,55.00
2026-05-12T16:22:00Z,47.99,55.00
2026-05-12T16:23:00Z,47.99,55.00
2026-05-12T16:40:00Z,48.49,55.00
2026-05-12T16:51:00Z,47.00,55.00
2026-05-12T17:00:00Z,47.00,54.00
2026-05-12T17:01:00Z,47.00,54.00
2026-05-12T17:02:00Z,47.00,55.00
2026-05-12T17:06:00Z,47.00,54.27
2026-05-12T17:13:00Z,45.00,54.27
2026-05-12T17:15:00Z,48.00,54.27
2026-05-12T17:17:00Z,48.00,55.00
2026-05-12T17:18:00Z,48.00,55.00
2026-05-12T17:19:00Z,48.00,55.00
