# event_ticker=KXATPCHALLENGERMATCH-26APR02GUIHUE
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Conner Huertas del Pino
# fav_player=Alvaro Guillen Meza
# dog_player=Connor Huertas Del Pino
# kalshi_date=2026-04-02
timestamp,Alvaro Guillen Meza,Connor Huertas Del Pino
2026-04-02T09:04:00Z,83.00,21.00
2026-04-02T09:06:00Z,84.00,21.00
2026-04-02T09:36:00Z,84.00,22.00
2026-04-02T09:42:00Z,84.00,22.00
2026-04-02T10:24:00Z,80.00,24.00
2026-04-02T11:04:00Z,83.00,24.00
2026-04-02T11:28:00Z,83.00,23.00
2026-04-02T11:44:00Z,83.00,23.00
2026-04-02T11:53:00Z,83.00,18.00
2026-04-02T12:31:00Z,83.00,18.00
2026-04-02T13:07:00Z,83.00,18.00
2026-04-02T13:21:00Z,83.00,18.00
2026-04-02T13:36:00Z,83.00,18.00
2026-04-02T13:41:00Z,83.00,18.00
2026-04-02T14:09:00Z,79.00,18.00
2026-04-02T14:12:00Z,79.00,22.00
2026-04-02T14:19:00Z,79.00,20.00
2026-04-02T14:21:00Z,79.00,20.00
2026-04-02T14:24:00Z,79.00,20.00
2026-04-02T14:25:00Z,81.00,20.57
2026-04-02T14:29:00Z,81.00,20.00
2026-04-02T14:38:00Z,84.00,17.00
2026-04-02T14:59:00Z,84.00,17.00
2026-04-02T15:00:00Z,86.00,17.00
2026-04-02T15:01:00Z,86.00,20.00
2026-04-02T15:02:00Z,86.00,16.00
2026-04-02T15:07:00Z,83.00,18.00
2026-04-02T15:12:00Z,83.00,13.00
2026-04-02T15:16:00Z,83.00,18.00
2026-04-02T15:20:00Z,88.00,18.00
2026-04-02T15:25:00Z,88.03,18.00
2026-04-02T15:38:00Z,88.26,13.00
2026-04-02T15:53:00Z,88.26,16.00
2026-04-02T16:11:00Z,88.26,16.61
2026-04-02T16:19:00Z,84.00,17.00
2026-04-02T16:36:00Z,84.00,18.00
2026-04-02T16:38:00Z,83.00,18.97
2026-04-02T16:40:00Z,83.00,19.00
2026-04-02T16:43:00Z,83.00,18.96
2026-04-02T16:48:00Z,84.00,18.96
2026-04-02T16:53:00Z,84.00,18.96
2026-04-02T17:00:00Z,83.00,17.12
2026-04-02T17:11:00Z,83.00,18.00
2026-04-02T17:12:00Z,83.00,18.00
2026-04-02T17:13:00Z,84.00,16.90
2026-04-02T17:14:00Z,84.00,17.00
2026-04-02T17:20:00Z,84.00,16.83
2026-04-02T17:21:00Z,84.00,18.00
2026-04-02T17:22:00Z,84.00,18.26
2026-04-02T17:25:00Z,84.00,19.00
2026-04-02T17:26:00Z,85.00,19.00
2026-04-02T17:27:00Z,85.00,19.00
2026-04-02T17:58:00Z,85.00,19.00
2026-04-02T18:01:00Z,85.00,19.00
2026-04-02T18:11:00Z,85.00,20.68
2026-04-02T18:13:00Z,85.00,21.00
2026-04-02T18:15:00Z,86.00,16.00
2026-04-02T18:33:00Z,87.00,15.00
2026-04-02T18:38:00Z,82.00,20.59
2026-04-02T18:42:00Z,83.54,21.43
2026-04-02T18:49:00Z,83.00,19.63
2026-04-02T18:50:00Z,83.00,14.48
2026-04-02T18:52:00Z,83.00,15.12
2026-04-02T18:53:00Z,83.00,16.25
2026-04-02T18:56:00Z,83.00,19.06
2026-04-02T18:57:00Z,83.00,19.03
2026-04-02T18:58:00Z,84.00,19.17
2026-04-02T18:59:00Z,83.00,18.15
2026-04-02T19:00:00Z,83.00,18.87
2026-04-02T19:02:00Z,84.00,17.91
2026-04-02T19:03:00Z,82.23,19.20
2026-04-02T19:05:00Z,86.48,16.65
2026-04-02T19:06:00Z,82.06,20.45
2026-04-02T19:07:00Z,82.00,18.73
2026-04-02T19:08:00Z,82.00,17.00
2026-04-02T19:09:00Z,84.00,17.00
2026-04-02T19:10:00Z,82.22,18.52
2026-04-02T19:11:00Z,82.22,18.08
2026-04-02T19:12:00Z,83.44,18.30
2026-04-02T19:13:00Z,84.00,17.92
2026-04-02T19:14:00Z,87.57,15.17
2026-04-02T19:15:00Z,84.00,17.91
2026-04-02T19:16:00Z,83.00,18.98
2026-04-02T19:17:00Z,83.00,17.00
2026-04-02T19:18:00Z,83.00,18.34
2026-04-02T19:19:00Z,83.00,18.34
2026-04-02T19:20:00Z,84.00,17.00
2026-04-02T19:21:00Z,84.00,18.83
2026-04-02T19:22:00Z,82.11,19.63
2026-04-02T19:23:00Z,82.67,18.59
2026-04-02T19:24:00Z,82.00,19.53
2026-04-02T19:25:00Z,82.00,19.00
2026-04-02T19:26:00Z,82.16,18.33
2026-04-02T19:27:00Z,82.80,19.14
2026-04-02T19:28:00Z,83.25,18.59
2026-04-02T19:29:00Z,83.98,19.37
2026-04-02T19:30:00Z,84.83,17.30
2026-04-02T19:31:00Z,83.73,17.97
2026-04-02T19:32:00Z,84.05,16.52
2026-04-02T19:33:00Z,85.31,14.72
2026-04-02T19:34:00Z,85.91,17.06
2026-04-02T19:35:00Z,85.05,14.94
2026-04-02T19:36:00Z,85.05,18.00
2026-04-02T19:37:00Z,86.57,17.32
2026-04-02T19:38:00Z,86.00,16.53
2026-04-02T19:40:00Z,83.99,15.74
2026-04-02T19:41:00Z,83.00,17.91
2026-04-02T19:42:00Z,83.00,18.33
2026-04-02T19:43:00Z,83.00,14.38
2026-04-02T19:44:00Z,83.65,17.00
2026-04-02T19:45:00Z,82.08,22.81
2026-04-02T19:46:00Z,77.69,27.13
2026-04-02T19:47:00Z,66.96,34.12
2026-04-02T19:48:00Z,68.91,34.11
2026-04-02T19:49:00Z,62.86,38.66
2026-04-02T19:50:00Z,62.86,39.98
2026-04-02T19:51:00Z,64.00,36.07
2026-04-02T19:52:00Z,64.91,36.03
2026-04-02T19:53:00Z,66.23,38.15
2026-04-02T19:54:00Z,66.00,35.33
2026-04-02T19:55:00Z,69.45,29.37
2026-04-02T19:56:00Z,69.32,32.58
2026-04-02T19:57:00Z,66.89,35.96
2026-04-02T19:58:00Z,70.00,30.66
2026-04-02T19:59:00Z,75.73,30.06
2026-04-02T20:00:00Z,79.03,22.53
2026-04-02T20:01:00Z,78.41,27.14
2026-04-02T20:02:00Z,65.35,37.07
2026-04-02T20:03:00Z,65.40,37.12
2026-04-02T20:04:00Z,60.82,40.62
2026-04-02T20:05:00Z,60.56,40.52
2026-04-02T20:06:00Z,59.05,42.97
2026-04-02T20:07:00Z,57.57,43.80
2026-04-02T20:08:00Z,59.38,44.00
2026-04-02T20:09:00Z,53.68,52.89
2026-04-02T20:10:00Z,40.15,63.11
2026-04-02T20:11:00Z,39.36,63.02
2026-04-02T20:12:00Z,33.68,70.61
2026-04-02T20:13:00Z,32.16,71.54
2026-04-02T20:14:00Z,23.36,78.70
2026-04-02T20:15:00Z,22.07,79.72
2026-04-02T20:16:00Z,25.81,77.35
2026-04-02T20:17:00Z,26.58,77.01
2026-04-02T20:18:00Z,28.19,75.40
2026-04-02T20:19:00Z,28.79,78.36
2026-04-02T20:20:00Z,18.38,83.57
2026-04-02T20:21:00Z,14.70,86.81
2026-04-02T20:22:00Z,14.10,87.66
2026-04-02T20:23:00Z,18.61,84.31
2026-04-02T20:24:00Z,16.76,84.81
2026-04-02T20:25:00Z,17.97,84.70
2026-04-02T20:26:00Z,19.20,82.87
2026-04-02T20:27:00Z,24.12,79.75
2026-04-02T20:28:00Z,12.29,90.18
2026-04-02T20:29:00Z,9.01,92.56
2026-04-02T20:30:00Z,8.05,97.18
2026-04-02T20:31:00Z,10.57,93.56
2026-04-02T20:32:00Z,11.88,90.76
2026-04-02T20:33:00Z,10.42,88.11
2026-04-02T20:34:00Z,10.19,91.28
2026-04-02T20:35:00Z,2.44,97.90
2026-04-02T20:36:00Z,1.03,99.00
