# event_ticker=KXATPCHALLENGERMATCH-26MAY15TABLAJ
# final_score=4-6 7-5 6-4
# score_resolution=6-4 5-7 4-6
# match_winner=Alejandro Tabilo
# fav_player=Dusan Lajovic
# dog_player=Alejandro Tabilo
# kalshi_date=2026-05-15
timestamp,Alejandro Tabilo,Dusan Lajovic
2026-05-14T21:30:00Z,75.00,
2026-05-14T21:43:00Z,76.00,
2026-05-14T21:51:00Z,76.00,
2026-05-14T22:07:00Z,77.00,
2026-05-14T22:48:00Z,77.00,
2026-05-14T22:53:00Z,77.00,
2026-05-14T22:59:00Z,77.00,
2026-05-14T23:00:00Z,77.00,
2026-05-14T23:29:00Z,77.00,26.00
2026-05-14T23:46:00Z,77.00,26.00
2026-05-15T00:20:00Z,77.00,26.00
2026-05-15T00:31:00Z,76.00,26.00
2026-05-15T00:47:00Z,76.00,25.00
2026-05-15T01:02:00Z,77.00,25.00
2026-05-15T01:12:00Z,77.00,25.00
2026-05-15T01:29:00Z,77.00,25.00
2026-05-15T01:45:00Z,77.00,25.00
2026-05-15T01:51:00Z,77.00,25.00
2026-05-15T02:18:00Z,77.00,24.00
2026-05-15T02:20:00Z,77.00,24.00
2026-05-15T02:21:00Z,77.00,24.00
2026-05-15T02:23:00Z,77.00,24.00
2026-05-15T02:35:00Z,77.00,24.00
2026-05-15T02:37:00Z,77.00,24.00
2026-05-15T02:47:00Z,77.00,24.00
2026-05-15T02:55:00Z,77.00,24.00
2026-05-15T02:58:00Z,77.00,24.00
2026-05-15T02:59:00Z,77.00,24.00
2026-05-15T03:04:00Z,77.00,24.00
2026-05-15T03:19:00Z,77.00,24.00
2026-05-15T03:23:00Z,77.00,24.00
2026-05-15T03:25:00Z,78.97,24.00
2026-05-15T03:29:00Z,78.00,24.00
2026-05-15T03:30:00Z,78.00,24.00
2026-05-15T03:37:00Z,78.00,24.00
2026-05-15T03:50:00Z,78.00,24.00
2026-05-15T03:52:00Z,78.00,24.00
2026-05-15T03:54:00Z,78.00,24.00
2026-05-15T04:03:00Z,78.00,24.00
2026-05-15T04:10:00Z,78.00,24.00
2026-05-15T04:16:00Z,78.00,24.00
2026-05-15T04:26:00Z,78.00,24.00
2026-05-15T04:27:00Z,78.00,24.00
2026-05-15T04:28:00Z,78.00,24.00
2026-05-15T04:29:00Z,78.00,24.00
