# event_ticker=KXATPMATCH-25AUG16ZVEALC
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Carlos Alcaraz
# fav_player=Alexander Zverev
# dog_player=Carlos Alcaraz
# kalshi_date=2025-08-16
timestamp,Alexander Zverev,Carlos Alcaraz
2025-08-16T12:15:00Z,,95.70
2025-08-16T12:39:00Z,,63.00
2025-08-16T12:42:00Z,,63.00
2025-08-16T12:44:00Z,,63.00
2025-08-16T12:47:00Z,39.00,63.00
2025-08-16T12:51:00Z,39.00,63.22
2025-08-16T12:54:00Z,38.00,64.00
2025-08-16T12:56:00Z,38.00,64.00
2025-08-16T13:15:00Z,38.00,64.00
2025-08-16T13:17:00Z,38.00,64.00
2025-08-16T13:18:00Z,38.00,64.00
2025-08-16T13:21:00Z,38.00,64.00
2025-08-16T13:26:00Z,38.00,64.00
2025-08-16T13:29:00Z,38.00,64.00
2025-08-16T13:31:00Z,38.00,64.00
2025-08-16T13:40:00Z,38.00,64.00
2025-08-16T13:43:00Z,38.00,64.00
2025-08-16T13:51:00Z,38.00,64.00
2025-08-16T13:56:00Z,38.00,64.00
2025-08-16T14:06:00Z,38.00,64.00
2025-08-16T14:12:00Z,38.00,64.00
2025-08-16T14:17:00Z,38.00,64.00
2025-08-16T14:19:00Z,38.00,64.00
2025-08-16T14:22:00Z,38.00,64.00
2025-08-16T14:30:00Z,38.00,64.00
2025-08-16T14:31:00Z,38.00,64.00
2025-08-16T14:33:00Z,38.00,63.00
2025-08-16T14:34:00Z,38.00,63.00
2025-08-16T14:36:00Z,39.00,63.00
2025-08-16T14:39:00Z,38.00,63.00
2025-08-16T14:45:00Z,38.00,63.00
2025-08-16T14:48:00Z,38.00,63.00
2025-08-16T15:11:00Z,37.00,63.00
2025-08-16T15:13:00Z,37.00,63.00
2025-08-16T15:19:00Z,37.00,63.00
2025-08-16T15:28:00Z,37.00,63.00
2025-08-16T15:33:00Z,37.44,63.00
2025-08-16T15:35:00Z,38.00,63.00
2025-08-16T15:39:00Z,38.00,63.00
2025-08-16T15:40:00Z,38.00,63.00
2025-08-16T15:44:00Z,38.00,63.00
2025-08-16T15:50:00Z,38.00,63.00
2025-08-16T15:56:00Z,38.00,63.00
2025-08-16T15:59:00Z,38.00,63.00
2025-08-16T16:04:00Z,38.00,63.00
2025-08-16T16:06:00Z,38.00,63.00
2025-08-16T16:08:00Z,38.00,63.00
2025-08-16T16:15:00Z,38.00,63.00
