# event_ticker=KXATPCHALLENGERMATCH-26MAR30GILCAD
# final_score=6-4 6-2
# match_winner=Felix Gill
# fav_player=Felix Gill
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-03-30
timestamp,Felix Gill,Gianluca Cadenasso
2026-03-30T02:14:00Z,49.00,
2026-03-30T02:38:00Z,49.00,53.00
2026-03-30T02:56:00Z,49.00,53.00
2026-03-30T03:12:00Z,49.00,50.00
2026-03-30T04:12:00Z,49.00,50.00
2026-03-30T05:00:00Z,49.44,50.00
2026-03-30T05:01:00Z,49.44,53.00
2026-03-30T06:00:00Z,49.00,53.00
2026-03-30T06:47:00Z,49.65,53.00
2026-03-30T08:22:00Z,49.65,54.00
2026-03-30T10:27:00Z,49.65,52.00
2026-03-30T11:35:00Z,49.65,53.00
2026-03-30T11:59:00Z,49.65,53.00
2026-03-30T12:24:00Z,49.65,53.00
2026-03-30T12:29:00Z,49.65,53.00
2026-03-30T12:35:00Z,49.65,53.00
2026-03-30T12:53:00Z,49.65,53.00
2026-03-30T12:54:00Z,49.65,53.00
2026-03-30T12:55:00Z,49.65,53.00
2026-03-30T13:01:00Z,49.65,53.00
2026-03-30T13:04:00Z,49.65,53.87
2026-03-30T13:08:00Z,48.00,53.87
2026-03-30T13:09:00Z,48.00,53.00
2026-03-30T13:14:00Z,48.00,53.00
2026-03-30T13:15:00Z,49.00,53.00
2026-03-30T13:16:00Z,49.16,53.00
2026-03-30T13:18:00Z,49.16,52.44
2026-03-30T13:21:00Z,54.00,52.44
2026-03-30T13:22:00Z,54.00,48.00
2026-03-30T13:24:00Z,54.00,48.69
2026-03-30T13:25:00Z,53.74,48.69
2026-03-30T13:29:00Z,53.00,48.69
2026-03-30T13:30:00Z,53.00,49.00
2026-03-30T13:32:00Z,53.00,49.00
2026-03-30T13:33:00Z,53.00,49.00
2026-03-30T13:35:00Z,53.99,48.97
2026-03-30T13:37:00Z,53.00,49.00
2026-03-30T13:38:00Z,53.00,49.90
2026-03-30T13:39:00Z,53.00,50.00
2026-03-30T13:40:00Z,50.64,50.00
2026-03-30T13:41:00Z,52.44,50.00
2026-03-30T13:42:00Z,59.94,50.00
2026-03-30T13:43:00Z,61.33,44.75
2026-03-30T13:44:00Z,65.00,40.70
2026-03-30T13:45:00Z,64.59,36.00
2026-03-30T13:46:00Z,65.90,36.63
2026-03-30T13:47:00Z,64.21,36.90
2026-03-30T13:48:00Z,67.07,35.00
2026-03-30T13:49:00Z,70.43,35.00
2026-03-30T13:50:00Z,68.00,31.78
2026-03-30T13:51:00Z,64.21,36.89
2026-03-30T13:52:00Z,64.00,37.05
2026-03-30T13:53:00Z,64.53,38.08
2026-03-30T13:54:00Z,66.55,35.32
2026-03-30T13:55:00Z,67.16,33.39
2026-03-30T13:56:00Z,65.91,35.86
2026-03-30T13:57:00Z,68.66,32.80
2026-03-30T13:58:00Z,70.20,30.88
2026-03-30T13:59:00Z,67.02,35.55
2026-03-30T14:00:00Z,65.12,35.35
2026-03-30T14:01:00Z,64.94,34.93
2026-03-30T14:02:00Z,68.88,34.20
2026-03-30T14:03:00Z,72.17,29.68
2026-03-30T14:04:00Z,69.07,30.00
2026-03-30T14:05:00Z,73.57,29.51
2026-03-30T14:06:00Z,72.28,28.45
2026-03-30T14:07:00Z,73.72,28.97
2026-03-30T14:08:00Z,71.82,30.00
2026-03-30T14:09:00Z,70.12,31.17
2026-03-30T14:10:00Z,69.30,31.92
2026-03-30T14:11:00Z,66.40,34.41
2026-03-30T14:12:00Z,73.87,27.30
2026-03-30T14:13:00Z,75.02,25.62
2026-03-30T14:14:00Z,72.54,27.02
2026-03-30T14:15:00Z,73.07,27.19
2026-03-30T14:16:00Z,73.00,28.62
2026-03-30T14:17:00Z,75.69,27.93
2026-03-30T14:18:00Z,77.22,22.02
2026-03-30T14:19:00Z,79.89,21.62
2026-03-30T14:20:00Z,77.31,22.11
2026-03-30T14:21:00Z,77.92,23.00
2026-03-30T14:22:00Z,76.93,23.37
2026-03-30T14:23:00Z,76.63,24.00
2026-03-30T14:24:00Z,77.00,24.16
2026-03-30T14:25:00Z,82.19,19.34
2026-03-30T14:26:00Z,89.30,10.90
2026-03-30T14:27:00Z,90.57,9.02
2026-03-30T14:28:00Z,93.05,8.87
2026-03-30T14:29:00Z,93.79,6.87
2026-03-30T14:30:00Z,93.52,7.32
2026-03-30T14:31:00Z,91.98,9.63
2026-03-30T14:32:00Z,92.00,9.20
2026-03-30T14:33:00Z,91.99,9.44
2026-03-30T14:34:00Z,91.59,9.33
2026-03-30T14:35:00Z,93.57,7.69
2026-03-30T14:36:00Z,95.11,5.96
2026-03-30T14:37:00Z,95.05,4.18
2026-03-30T14:38:00Z,96.24,3.18
2026-03-30T14:39:00Z,98.75,1.62
2026-03-30T14:40:00Z,98.16,1.40
2026-03-30T14:41:00Z,98.98,1.84
2026-03-30T14:42:00Z,99.00,1.00
2026-03-30T14:43:00Z,99.00,1.00
2026-03-30T14:44:00Z,99.00,1.00
2026-03-30T14:45:00Z,99.00,1.00
2026-03-30T14:46:00Z,99.00,1.00
2026-03-30T14:47:00Z,99.00,1.00
2026-03-30T14:48:00Z,99.00,1.00
2026-03-30T14:49:00Z,99.00,1.00
2026-03-30T14:50:00Z,99.00,1.00
