# event_ticker=KXATPCHALLENGERMATCH-26JUN02SANDON
# final_score=7-5 7-5
# match_winner=Alexander Donski
# fav_player=Alexander Donski
# dog_player=Akira Santillan
# kalshi_date=2026-06-02
timestamp,Akira Santillan,Alexander Donski
2026-06-02T01:40:00Z,,37.00
2026-06-02T02:08:00Z,,36.00
2026-06-02T02:13:00Z,,34.00
2026-06-02T02:53:00Z,,35.00
2026-06-02T03:17:00Z,66.00,35.00
2026-06-02T03:29:00Z,66.00,35.00
2026-06-02T03:58:00Z,66.00,35.00
2026-06-02T05:22:00Z,65.00,35.00
2026-06-02T06:30:00Z,65.00,35.00
2026-06-02T07:40:00Z,65.00,35.00
2026-06-02T08:40:00Z,64.00,35.00
2026-06-02T08:43:00Z,64.00,35.00
2026-06-02T09:11:00Z,64.00,36.00
2026-06-02T09:21:00Z,66.00,36.00
2026-06-02T09:26:00Z,66.00,36.87
2026-06-02T09:38:00Z,58.89,38.55
2026-06-02T09:39:00Z,53.48,46.50
2026-06-02T09:40:00Z,58.20,42.00
2026-06-02T09:44:00Z,54.18,46.59
2026-06-02T09:45:00Z,62.29,37.00
2026-06-02T09:46:00Z,62.29,36.00
2026-06-02T09:47:00Z,62.29,37.00
2026-06-02T09:48:00Z,61.51,38.63
2026-06-02T09:49:00Z,65.00,36.02
2026-06-02T09:51:00Z,65.00,33.23
2026-06-02T09:52:00Z,72.00,33.23
2026-06-02T09:53:00Z,73.40,27.89
2026-06-02T09:54:00Z,72.16,27.04
2026-06-02T09:56:00Z,72.16,29.16
2026-06-02T09:57:00Z,68.16,31.92
2026-06-02T09:58:00Z,64.00,36.89
2026-06-02T09:59:00Z,66.00,36.89
2026-06-02T10:02:00Z,69.00,31.00
2026-06-02T10:04:00Z,69.00,35.71
2026-06-02T10:05:00Z,69.00,35.31
2026-06-02T10:06:00Z,68.00,33.78
2026-06-02T10:08:00Z,67.00,35.98
2026-06-02T10:09:00Z,68.84,33.50
2026-06-02T10:11:00Z,74.43,25.24
2026-06-02T10:12:00Z,70.89,25.81
2026-06-02T10:13:00Z,70.89,34.00
2026-06-02T10:14:00Z,65.19,34.00
2026-06-02T10:15:00Z,52.73,47.83
2026-06-02T10:16:00Z,62.51,37.59
2026-06-02T10:17:00Z,66.00,31.00
2026-06-02T10:18:00Z,66.00,31.00
2026-06-02T10:19:00Z,74.55,25.96
2026-06-02T10:20:00Z,77.00,25.96
2026-06-02T10:21:00Z,71.41,26.47
2026-06-02T10:22:00Z,67.27,26.47
2026-06-02T10:23:00Z,59.95,38.00
2026-06-02T10:24:00Z,59.28,41.12
2026-06-02T10:25:00Z,48.30,51.58
2026-06-02T10:26:00Z,40.56,59.00
2026-06-02T10:27:00Z,39.39,60.37
2026-06-02T10:28:00Z,44.26,52.84
2026-06-02T10:29:00Z,44.00,59.00
2026-06-02T10:30:00Z,37.00,62.22
2026-06-02T10:31:00Z,35.16,61.67
2026-06-02T10:32:00Z,34.00,64.00
2026-06-02T10:33:00Z,35.39,64.00
2026-06-02T10:34:00Z,37.00,64.65
2026-06-02T10:35:00Z,38.01,62.50
2026-06-02T10:36:00Z,39.68,60.00
2026-06-02T10:37:00Z,39.68,60.00
2026-06-02T10:38:00Z,39.68,63.00
2026-06-02T10:39:00Z,33.33,65.11
2026-06-02T10:40:00Z,38.98,62.00
2026-06-02T10:41:00Z,41.00,62.00
2026-06-02T10:42:00Z,41.03,62.00
2026-06-02T10:43:00Z,44.00,59.42
2026-06-02T10:44:00Z,47.37,53.00
2026-06-02T10:45:00Z,51.12,53.00
2026-06-02T10:46:00Z,55.63,53.00
2026-06-02T10:47:00Z,58.64,44.00
2026-06-02T10:48:00Z,60.93,40.00
2026-06-02T10:50:00Z,60.93,36.00
2026-06-02T10:51:00Z,64.00,36.00
2026-06-02T10:52:00Z,62.00,38.47
2026-06-02T10:53:00Z,61.73,40.00
2026-06-02T10:54:00Z,64.00,36.00
2026-06-02T10:55:00Z,66.60,36.00
2026-06-02T10:56:00Z,67.68,34.00
2026-06-02T10:58:00Z,63.72,38.00
2026-06-02T10:59:00Z,57.77,42.79
2026-06-02T11:00:00Z,58.81,42.45
2026-06-02T11:01:00Z,43.51,52.46
2026-06-02T11:02:00Z,42.85,53.30
2026-06-02T11:03:00Z,40.28,60.51
2026-06-02T11:04:00Z,37.99,60.51
2026-06-02T11:05:00Z,41.00,59.00
2026-06-02T11:07:00Z,42.42,59.00
2026-06-02T11:08:00Z,32.47,67.77
2026-06-02T11:09:00Z,27.19,77.74
2026-06-02T11:10:00Z,8.69,92.26
2026-06-02T11:11:00Z,5.35,95.79
2026-06-02T11:12:00Z,3.81,98.42
2026-06-02T11:13:00Z,1.00,99.00
2026-06-02T11:14:00Z,1.00,99.00
2026-06-02T11:17:00Z,1.00,99.00
