# event_ticker=KXATPCHALLENGERMATCH-26APR27ENGDJE
# final_score=6-3 6-3
# match_winner=Laslo Djere
# fav_player=Laslo Djere
# dog_player=Justin Engel
# kalshi_date=2026-04-27
timestamp,Justin Engel,Laslo Djere
2026-04-27T03:22:00Z,,69.00
2026-04-27T03:38:00Z,,69.00
2026-04-27T03:48:00Z,,69.00
2026-04-27T04:02:00Z,32.00,69.00
2026-04-27T04:09:00Z,32.00,69.00
2026-04-27T04:18:00Z,32.00,69.00
2026-04-27T04:59:00Z,32.00,69.00
2026-04-27T05:59:00Z,32.47,69.00
2026-04-27T07:08:00Z,32.00,69.00
2026-04-27T07:22:00Z,31.00,69.00
2026-04-27T08:44:00Z,31.00,69.00
2026-04-27T10:25:00Z,31.00,69.00
2026-04-27T10:29:00Z,31.00,69.00
2026-04-27T10:30:00Z,31.00,69.00
2026-04-27T10:37:00Z,31.00,69.00
2026-04-27T11:00:00Z,31.00,69.00
2026-04-27T11:10:00Z,31.00,69.00
2026-04-27T11:11:00Z,31.00,69.00
2026-04-27T11:27:00Z,31.00,70.00
2026-04-27T11:46:00Z,29.00,70.00
2026-04-27T12:13:00Z,29.00,71.00
2026-04-27T12:38:00Z,30.00,71.00
2026-04-27T13:01:00Z,30.00,71.00
2026-04-27T13:26:00Z,30.00,71.00
2026-04-27T13:29:00Z,30.00,71.00
2026-04-27T13:46:00Z,30.00,71.00
2026-04-27T13:54:00Z,30.00,71.00
2026-04-27T14:03:00Z,30.00,72.00
2026-04-27T14:05:00Z,30.00,72.00
2026-04-27T14:14:00Z,30.00,70.00
2026-04-27T14:18:00Z,32.00,68.00
2026-04-27T14:21:00Z,32.00,68.00
2026-04-27T14:25:00Z,32.68,68.45
2026-04-27T14:26:00Z,32.00,68.45
2026-04-27T14:27:00Z,32.00,70.00
2026-04-27T14:28:00Z,32.00,72.00
2026-04-27T14:29:00Z,27.13,72.08
2026-04-27T14:30:00Z,23.00,76.19
2026-04-27T14:31:00Z,23.00,79.00
2026-04-27T14:32:00Z,23.00,83.87
2026-04-27T14:33:00Z,25.33,75.00
2026-04-27T14:34:00Z,29.00,71.00
2026-04-27T14:35:00Z,30.00,72.00
2026-04-27T14:36:00Z,31.42,72.00
2026-04-27T14:37:00Z,30.94,70.95
2026-04-27T14:38:00Z,31.15,70.00
2026-04-27T14:39:00Z,35.00,65.96
2026-04-27T14:40:00Z,37.40,60.27
2026-04-27T14:41:00Z,37.03,60.27
2026-04-27T14:42:00Z,38.34,63.21
2026-04-27T14:43:00Z,31.53,69.83
2026-04-27T14:44:00Z,29.52,69.83
2026-04-27T14:45:00Z,27.74,72.64
2026-04-27T14:46:00Z,25.51,79.00
2026-04-27T14:47:00Z,24.36,74.09
2026-04-27T14:48:00Z,28.85,70.95
2026-04-27T14:49:00Z,27.02,75.05
2026-04-27T14:50:00Z,28.01,71.20
2026-04-27T14:51:00Z,28.10,73.00
2026-04-27T14:52:00Z,23.24,75.00
2026-04-27T14:53:00Z,24.54,76.00
2026-04-27T14:54:00Z,27.00,81.18
2026-04-27T14:55:00Z,15.94,85.02
2026-04-27T14:56:00Z,14.00,85.02
2026-04-27T14:57:00Z,14.00,88.00
2026-04-27T14:58:00Z,14.00,88.00
2026-04-27T14:59:00Z,14.00,87.78
2026-04-27T15:00:00Z,13.00,87.78
2026-04-27T15:01:00Z,11.96,89.20
2026-04-27T15:03:00Z,12.71,88.00
2026-04-27T15:04:00Z,14.57,86.74
2026-04-27T15:05:00Z,16.00,86.92
2026-04-27T15:06:00Z,11.31,89.04
2026-04-27T15:07:00Z,11.00,90.00
2026-04-27T15:09:00Z,12.00,89.00
2026-04-27T15:10:00Z,11.95,88.00
2026-04-27T15:11:00Z,14.00,88.00
2026-04-27T15:12:00Z,15.62,84.71
2026-04-27T15:13:00Z,24.17,78.00
2026-04-27T15:14:00Z,24.48,75.59
2026-04-27T15:15:00Z,23.06,76.21
2026-04-27T15:16:00Z,26.22,75.01
2026-04-27T15:17:00Z,28.79,72.00
2026-04-27T15:18:00Z,30.72,70.55
2026-04-27T15:19:00Z,29.27,72.00
2026-04-27T15:20:00Z,32.45,69.06
2026-04-27T15:21:00Z,31.87,68.00
2026-04-27T15:22:00Z,33.34,68.90
2026-04-27T15:23:00Z,30.69,68.58
2026-04-27T15:24:00Z,27.66,73.56
2026-04-27T15:25:00Z,23.72,77.80
2026-04-27T15:26:00Z,17.72,80.46
2026-04-27T15:27:00Z,17.89,82.98
2026-04-27T15:28:00Z,16.14,85.61
2026-04-27T15:29:00Z,14.01,87.20
2026-04-27T15:30:00Z,10.97,89.33
2026-04-27T15:31:00Z,4.89,95.34
2026-04-27T15:32:00Z,4.00,96.04
2026-04-27T15:33:00Z,3.08,96.70
2026-04-27T15:34:00Z,4.59,96.39
2026-04-27T15:35:00Z,6.21,94.48
2026-04-27T15:36:00Z,4.51,94.93
2026-04-27T15:37:00Z,1.90,97.24
2026-04-27T15:38:00Z,1.03,99.00
2026-04-27T15:39:00Z,2.00,99.00
2026-04-27T15:40:00Z,1.36,98.76
