# event_ticker=KXATPCHALLENGERMATCH-26APR28MOLSIN
# final_score=7-6(4) 6-0
# score_resolution=7-6 6-0
# match_winner=Rudolf Molleker
# fav_player=Rudolf Molleker
# dog_player=Daniel Siniakov
# kalshi_date=2026-04-28
timestamp,Rudolf Molleker,Daniel Siniakov
2026-04-27T22:38:00Z,55.00,
2026-04-28T00:20:00Z,59.00,
2026-04-28T05:34:00Z,59.00,
2026-04-28T05:52:00Z,55.28,
2026-04-28T05:59:00Z,55.28,44.00
2026-04-28T06:01:00Z,58.00,44.00
2026-04-28T06:36:00Z,58.00,45.00
2026-04-28T06:47:00Z,58.00,45.00
2026-04-28T07:20:00Z,57.00,45.00
2026-04-28T07:25:00Z,57.00,46.00
2026-04-28T07:53:00Z,56.00,46.00
2026-04-28T08:28:00Z,56.35,46.00
2026-04-28T08:37:00Z,56.35,43.00
2026-04-28T08:38:00Z,58.50,43.00
2026-04-28T08:40:00Z,58.50,43.80
2026-04-28T08:41:00Z,58.50,44.00
2026-04-28T08:43:00Z,58.00,42.76
2026-04-28T08:45:00Z,58.00,45.00
2026-04-28T08:48:00Z,58.00,43.00
2026-04-28T08:49:00Z,58.00,44.00
2026-04-28T08:50:00Z,56.00,44.00
2026-04-28T08:51:00Z,56.00,42.00
2026-04-28T08:52:00Z,55.00,47.87
2026-04-28T08:53:00Z,50.00,49.81
2026-04-28T08:54:00Z,52.22,49.00
2026-04-28T08:55:00Z,57.00,49.00
2026-04-28T08:56:00Z,57.00,43.63
2026-04-28T08:58:00Z,67.00,43.63
2026-04-28T09:01:00Z,67.00,25.00
2026-04-28T09:03:00Z,73.48,25.00
2026-04-28T09:05:00Z,76.00,25.00
2026-04-28T09:06:00Z,76.50,25.00
2026-04-28T09:07:00Z,73.00,25.00
2026-04-28T09:08:00Z,74.00,26.00
2026-04-28T09:09:00Z,74.00,31.00
2026-04-28T09:10:00Z,72.11,27.36
2026-04-28T09:11:00Z,71.85,30.00
2026-04-28T09:13:00Z,70.00,29.29
2026-04-28T09:14:00Z,70.00,34.00
2026-04-28T09:16:00Z,75.56,25.00
2026-04-28T09:17:00Z,74.00,27.00
2026-04-28T09:19:00Z,71.00,27.00
2026-04-28T09:20:00Z,66.85,33.09
2026-04-28T09:21:00Z,56.05,41.92
2026-04-28T09:22:00Z,49.95,50.00
2026-04-28T09:23:00Z,51.26,51.98
2026-04-28T09:24:00Z,47.07,52.94
2026-04-28T09:25:00Z,46.09,52.21
2026-04-28T09:26:00Z,47.93,52.26
2026-04-28T09:27:00Z,53.52,45.15
2026-04-28T09:28:00Z,55.54,45.10
2026-04-28T09:29:00Z,58.61,45.02
2026-04-28T09:30:00Z,57.00,44.00
2026-04-28T09:31:00Z,54.79,44.26
2026-04-28T09:32:00Z,58.98,41.96
2026-04-28T09:33:00Z,50.65,49.73
2026-04-28T09:34:00Z,50.69,47.95
2026-04-28T09:35:00Z,51.12,48.88
2026-04-28T09:36:00Z,51.99,42.95
2026-04-28T09:37:00Z,66.07,31.99
2026-04-28T09:38:00Z,72.00,29.00
2026-04-28T09:39:00Z,73.00,27.00
2026-04-28T09:40:00Z,72.07,28.00
2026-04-28T09:41:00Z,58.62,38.21
2026-04-28T09:42:00Z,56.15,42.61
2026-04-28T09:43:00Z,62.35,37.86
2026-04-28T09:44:00Z,58.40,44.31
2026-04-28T09:45:00Z,50.93,50.70
2026-04-28T09:46:00Z,47.80,50.79
2026-04-28T09:47:00Z,53.91,46.51
2026-04-28T09:48:00Z,53.24,45.93
2026-04-28T09:49:00Z,66.49,36.71
2026-04-28T09:50:00Z,73.28,27.54
2026-04-28T09:51:00Z,76.00,23.28
2026-04-28T09:52:00Z,76.00,24.00
2026-04-28T09:53:00Z,77.00,24.00
2026-04-28T09:54:00Z,77.00,23.44
2026-04-28T09:55:00Z,81.00,20.93
2026-04-28T09:56:00Z,81.00,17.74
2026-04-28T09:57:00Z,81.17,18.35
2026-04-28T09:58:00Z,78.78,21.22
2026-04-28T09:59:00Z,79.12,20.54
2026-04-28T10:00:00Z,84.12,14.58
2026-04-28T10:01:00Z,90.49,9.37
2026-04-28T10:02:00Z,92.44,8.06
2026-04-28T10:03:00Z,93.52,5.00
2026-04-28T10:04:00Z,90.45,8.80
2026-04-28T10:05:00Z,90.00,10.00
2026-04-28T10:06:00Z,88.19,12.95
2026-04-28T10:07:00Z,86.17,12.44
2026-04-28T10:08:00Z,91.24,10.00
2026-04-28T10:09:00Z,92.05,7.64
2026-04-28T10:10:00Z,93.00,7.00
2026-04-28T10:11:00Z,92.96,7.00
2026-04-28T10:12:00Z,92.64,8.94
2026-04-28T10:13:00Z,92.00,8.94
2026-04-28T10:14:00Z,95.38,6.97
2026-04-28T10:15:00Z,98.51,3.93
2026-04-28T10:16:00Z,98.02,2.00
2026-04-28T10:17:00Z,97.94,2.00
2026-04-28T10:18:00Z,96.05,3.32
2026-04-28T10:19:00Z,97.00,4.00
2026-04-28T10:20:00Z,98.99,1.03
2026-04-28T10:22:00Z,99.00,1.03
