# event_ticker=KXATPCHALLENGERMATCH-26MAR06VALDIA
# final_score=7-6(6) 6-3
# score_resolution=7-6 6-3
# match_winner=Adolfo Daniel Vallejo
# fav_player=Adolfo Daniel Vallejo
# dog_player=Facundo Diaz Acosta
# kalshi_date=2026-03-06
timestamp,Adolfo Daniel Vallejo,Facundo Diaz Acosta
2026-03-06T09:39:00Z,62.00,
2026-03-06T10:56:00Z,62.00,
2026-03-06T11:43:00Z,62.00,
2026-03-06T11:50:00Z,62.00,
2026-03-06T12:53:00Z,62.00,
2026-03-06T12:57:00Z,62.00,
2026-03-06T12:59:00Z,62.00,39.00
2026-03-06T13:03:00Z,62.00,42.00
2026-03-06T13:20:00Z,62.00,42.00
2026-03-06T13:52:00Z,62.00,42.00
2026-03-06T13:54:00Z,61.00,41.89
2026-03-06T13:56:00Z,61.00,41.89
2026-03-06T14:05:00Z,61.00,41.89
2026-03-06T14:11:00Z,61.00,42.00
2026-03-06T14:15:00Z,61.00,42.00
2026-03-06T14:32:00Z,61.00,42.00
2026-03-06T14:46:00Z,61.00,42.00
2026-03-06T14:53:00Z,60.00,42.00
2026-03-06T14:57:00Z,60.00,42.39
2026-03-06T15:07:00Z,60.00,42.39
2026-03-06T15:09:00Z,60.00,42.39
2026-03-06T15:10:00Z,60.00,42.00
2026-03-06T15:11:00Z,61.00,42.00
2026-03-06T15:13:00Z,61.00,42.00
2026-03-06T15:14:00Z,61.00,42.00
2026-03-06T15:18:00Z,61.00,42.00
2026-03-06T15:23:00Z,59.00,42.00
2026-03-06T15:24:00Z,58.13,42.00
2026-03-06T15:25:00Z,58.00,42.00
2026-03-06T15:26:00Z,60.00,42.00
2026-03-06T15:27:00Z,60.00,42.00
2026-03-06T15:31:00Z,59.00,42.00
2026-03-06T15:33:00Z,59.00,41.00
2026-03-06T15:35:00Z,59.00,41.00
2026-03-06T15:38:00Z,59.00,41.32
2026-03-06T15:40:00Z,59.00,42.00
2026-03-06T15:41:00Z,59.00,40.00
2026-03-06T15:43:00Z,59.00,40.00
2026-03-06T15:46:00Z,59.00,40.00
2026-03-06T15:48:00Z,59.00,40.00
2026-03-06T15:50:00Z,59.00,40.00
2026-03-06T15:53:00Z,59.00,42.00
2026-03-06T15:56:00Z,59.00,42.00
2026-03-06T15:57:00Z,59.00,42.00
2026-03-06T15:58:00Z,59.00,42.00
2026-03-06T15:59:00Z,59.00,42.00
2026-03-06T16:00:00Z,59.00,42.00
2026-03-06T16:01:00Z,59.00,42.00
2026-03-06T16:04:00Z,59.00,42.00
2026-03-06T16:05:00Z,59.00,42.00
2026-03-06T16:06:00Z,59.00,42.00
2026-03-06T16:07:00Z,59.00,42.00
2026-03-06T16:08:00Z,59.00,40.00
2026-03-06T16:09:00Z,59.00,40.00
2026-03-06T16:10:00Z,59.00,43.00
2026-03-06T16:12:00Z,59.69,43.00
2026-03-06T16:14:00Z,60.00,43.00
2026-03-06T16:17:00Z,60.00,43.00
2026-03-06T16:18:00Z,60.00,43.00
2026-03-06T16:21:00Z,60.00,43.00
2026-03-06T16:22:00Z,61.00,43.00
2026-03-06T16:30:00Z,61.00,43.00
2026-03-06T16:34:00Z,61.00,43.00
2026-03-06T16:35:00Z,61.00,43.00
2026-03-06T16:45:00Z,61.00,43.00
2026-03-06T16:46:00Z,61.00,43.00
