# event_ticker=KXATPMATCH-25AUG17GOFMAR
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Pedro Martinez
# fav_player=David Goffin
# dog_player=Pedro Martinez
# kalshi_date=2025-08-17
timestamp,David Goffin,Pedro Martinez
2025-08-17T13:01:00Z,,46.00
2025-08-17T13:32:00Z,,46.00
2025-08-17T14:50:00Z,,46.00
2025-08-17T15:07:00Z,,47.00
2025-08-17T15:23:00Z,53.00,47.00
2025-08-17T16:10:00Z,53.00,45.89
2025-08-17T16:38:00Z,56.00,45.89
2025-08-17T16:41:00Z,56.00,45.00
2025-08-17T17:12:00Z,55.00,45.00
2025-08-17T17:56:00Z,56.00,45.00
2025-08-17T18:37:00Z,56.00,45.98
2025-08-17T18:44:00Z,56.00,45.98
2025-08-17T19:05:00Z,57.00,45.98
2025-08-17T19:20:00Z,57.00,46.00
2025-08-17T19:24:00Z,57.00,47.78
2025-08-17T19:34:00Z,56.00,44.00
2025-08-17T19:35:00Z,56.00,42.00
2025-08-17T19:37:00Z,55.63,42.00
2025-08-17T19:39:00Z,56.00,42.00
2025-08-17T19:44:00Z,59.00,41.00
2025-08-17T19:45:00Z,60.00,40.00
2025-08-17T19:46:00Z,61.00,39.00
2025-08-17T19:52:00Z,47.80,49.04
2025-08-17T19:53:00Z,42.00,58.00
2025-08-17T19:55:00Z,42.00,63.00
2025-08-17T19:56:00Z,46.00,56.94
2025-08-17T19:58:00Z,46.00,55.00
2025-08-17T19:59:00Z,40.00,55.00
2025-08-17T20:00:00Z,40.00,66.90
2025-08-17T20:01:00Z,40.00,66.50
2025-08-17T20:02:00Z,35.00,66.50
2025-08-17T20:04:00Z,30.02,71.50
2025-08-17T20:06:00Z,27.50,76.50
2025-08-17T20:08:00Z,33.08,65.71
2025-08-17T20:09:00Z,31.00,65.71
2025-08-17T20:13:00Z,33.64,65.71
2025-08-17T20:14:00Z,36.00,65.71
2025-08-17T20:15:00Z,38.00,65.71
2025-08-17T20:17:00Z,38.00,67.00
2025-08-17T20:18:00Z,38.00,68.94
2025-08-17T20:19:00Z,35.00,68.94
2025-08-17T20:20:00Z,35.00,68.94
2025-08-17T20:21:00Z,30.00,69.40
2025-08-17T20:22:00Z,31.96,69.98
2025-08-17T20:25:00Z,31.96,80.00
2025-08-17T20:26:00Z,13.32,81.00
2025-08-17T20:27:00Z,24.00,76.90
2025-08-17T20:29:00Z,20.12,76.90
2025-08-17T20:30:00Z,20.12,84.00
2025-08-17T20:32:00Z,20.12,88.00
2025-08-17T20:35:00Z,20.12,85.70
2025-08-17T20:38:00Z,16.00,83.00
2025-08-17T20:40:00Z,16.00,88.00
2025-08-17T20:41:00Z,16.00,87.90
2025-08-17T20:44:00Z,15.00,87.90
2025-08-17T20:45:00Z,15.00,87.00
2025-08-17T20:46:00Z,10.00,87.00
2025-08-17T20:48:00Z,9.00,87.00
2025-08-17T20:52:00Z,9.00,98.87
2025-08-17T20:53:00Z,9.00,99.00
2025-08-17T20:55:00Z,9.00,99.00
2025-08-17T20:58:00Z,3.00,99.00
2025-08-17T21:00:00Z,5.98,99.00
2025-08-17T21:01:00Z,14.00,99.00
2025-08-17T21:03:00Z,3.68,98.00
