# event_ticker=KXATPCHALLENGERMATCH-26FEB17SAKSUR
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Stefanos Sakellaridis
# fav_player=Manish Sureshkumar
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-02-17
timestamp,Manish Sureshkumar,Stefanos Sakellaridis
2026-02-16T22:03:00Z,,80.00
2026-02-16T22:24:00Z,22.00,80.00
2026-02-16T22:54:00Z,22.00,80.00
2026-02-16T22:55:00Z,21.00,80.00
2026-02-16T23:02:00Z,21.00,80.00
2026-02-17T00:02:00Z,21.00,80.00
2026-02-17T00:57:00Z,21.00,80.00
2026-02-17T01:38:00Z,22.00,80.00
2026-02-17T02:09:00Z,22.00,80.00
2026-02-17T02:34:00Z,22.00,80.00
2026-02-17T02:44:00Z,22.00,80.00
2026-02-17T02:56:00Z,22.00,80.00
2026-02-17T03:34:00Z,22.00,80.00
2026-02-17T03:39:00Z,22.00,80.00
2026-02-17T03:40:00Z,22.00,80.00
2026-02-17T03:41:00Z,22.00,80.00
2026-02-17T03:52:00Z,22.00,80.00
2026-02-17T03:57:00Z,22.00,80.00
2026-02-17T03:59:00Z,22.00,80.00
2026-02-17T04:01:00Z,22.00,80.00
2026-02-17T04:11:00Z,22.00,81.00
2026-02-17T04:17:00Z,22.00,81.00
2026-02-17T04:18:00Z,22.00,81.00
2026-02-17T04:21:00Z,22.00,81.00
2026-02-17T04:23:00Z,22.00,81.00
2026-02-17T04:25:00Z,22.00,81.00
2026-02-17T04:28:00Z,22.00,81.00
2026-02-17T04:29:00Z,22.00,81.00
2026-02-17T04:30:00Z,22.00,81.00
2026-02-17T04:31:00Z,22.00,81.00
2026-02-17T04:33:00Z,22.00,81.00
2026-02-17T04:34:00Z,22.00,81.00
2026-02-17T04:35:00Z,22.00,81.00
2026-02-17T04:37:00Z,22.00,80.00
2026-02-17T04:38:00Z,22.00,80.00
2026-02-17T04:42:00Z,22.00,80.00
2026-02-17T04:45:00Z,22.00,81.00
2026-02-17T04:49:00Z,22.00,81.00
2026-02-17T04:50:00Z,22.00,81.00
2026-02-17T04:57:00Z,22.00,81.00
2026-02-17T05:05:00Z,22.00,81.00
2026-02-17T05:07:00Z,22.00,81.00
2026-02-17T05:12:00Z,22.00,81.00
2026-02-17T05:16:00Z,22.00,81.00
2026-02-17T05:17:00Z,22.00,81.00
2026-02-17T05:18:00Z,22.00,81.00
2026-02-17T05:28:00Z,22.00,81.00
2026-02-17T05:39:00Z,22.00,78.01
2026-02-17T05:40:00Z,22.00,80.00
2026-02-17T05:44:00Z,22.00,80.00
2026-02-17T05:47:00Z,22.00,80.00
2026-02-17T05:53:00Z,22.00,80.00
2026-02-17T05:59:00Z,22.00,80.00
2026-02-17T06:03:00Z,22.00,80.00
2026-02-17T06:07:00Z,22.00,80.00
2026-02-17T06:13:00Z,22.00,80.00
2026-02-17T06:14:00Z,22.00,80.00
2026-02-17T06:20:00Z,22.00,80.00
2026-02-17T06:23:00Z,22.00,80.00
2026-02-17T06:34:00Z,22.00,80.00
2026-02-17T06:36:00Z,22.00,80.00
2026-02-17T06:37:00Z,22.00,80.00
2026-02-17T06:40:00Z,22.00,80.00
2026-02-17T06:41:00Z,20.00,80.00
2026-02-17T06:42:00Z,20.00,80.00
2026-02-17T06:46:00Z,22.00,80.00
2026-02-17T06:47:00Z,22.00,80.00
2026-02-17T06:48:00Z,22.00,81.00
2026-02-17T06:56:00Z,22.00,81.00
2026-02-17T06:57:00Z,22.00,81.00
2026-02-17T06:58:00Z,22.00,81.00
2026-02-17T07:02:00Z,22.00,80.00
2026-02-17T07:03:00Z,22.00,80.00
2026-02-17T07:04:00Z,22.00,80.00
2026-02-17T07:05:00Z,22.00,80.00
2026-02-17T07:07:00Z,22.00,80.91
2026-02-17T07:10:00Z,22.00,81.00
2026-02-17T07:13:00Z,20.00,81.00
2026-02-17T07:16:00Z,20.00,81.00
2026-02-17T07:18:00Z,20.00,81.00
2026-02-17T07:19:00Z,20.00,81.00
2026-02-17T07:20:00Z,20.00,81.00
2026-02-17T07:24:00Z,20.00,81.00
2026-02-17T07:25:00Z,20.00,81.59
2026-02-17T07:27:00Z,20.00,82.00
2026-02-17T07:29:00Z,20.00,82.00
2026-02-17T07:31:00Z,20.00,82.00
2026-02-17T07:34:00Z,20.00,82.00
2026-02-17T07:37:00Z,20.00,81.40
2026-02-17T07:42:00Z,20.00,81.40
2026-02-17T07:43:00Z,20.00,81.40
2026-02-17T07:45:00Z,20.00,82.00
2026-02-17T07:46:00Z,20.00,82.00
2026-02-17T07:47:00Z,20.00,79.00
2026-02-17T07:49:00Z,20.00,82.00
2026-02-17T07:50:00Z,20.00,82.00
2026-02-17T07:52:00Z,20.00,82.00
2026-02-17T07:54:00Z,18.69,83.00
2026-02-17T07:56:00Z,18.00,83.00
2026-02-17T07:58:00Z,18.00,83.00
2026-02-17T08:00:00Z,18.00,83.00
2026-02-17T08:01:00Z,18.00,83.00
2026-02-17T08:02:00Z,18.02,83.00
2026-02-17T08:03:00Z,18.02,84.00
2026-02-17T08:07:00Z,18.02,84.00
2026-02-17T08:11:00Z,19.00,80.00
2026-02-17T08:14:00Z,19.00,80.00
2026-02-17T08:15:00Z,19.00,84.00
2026-02-17T08:16:00Z,19.00,84.00
2026-02-17T08:17:00Z,19.00,80.00
2026-02-17T08:19:00Z,16.00,80.00
2026-02-17T08:21:00Z,19.00,80.00
2026-02-17T08:24:00Z,19.00,80.00
2026-02-17T08:25:00Z,15.75,85.87
2026-02-17T08:26:00Z,14.05,88.26
2026-02-17T08:27:00Z,15.00,88.26
2026-02-17T08:29:00Z,15.91,88.26
2026-02-17T08:30:00Z,16.36,88.26
2026-02-17T08:31:00Z,15.00,88.26
2026-02-17T08:32:00Z,16.00,88.26
2026-02-17T08:33:00Z,16.00,86.00
2026-02-17T08:34:00Z,16.00,86.00
2026-02-17T08:35:00Z,16.00,86.00
2026-02-17T08:36:00Z,16.00,86.00
2026-02-17T08:37:00Z,16.00,86.00
2026-02-17T08:38:00Z,16.00,86.00
2026-02-17T08:39:00Z,16.00,86.00
2026-02-17T08:40:00Z,16.00,86.00
2026-02-17T08:41:00Z,16.00,86.00
2026-02-17T08:42:00Z,16.00,86.00
2026-02-17T08:43:00Z,16.00,86.00
