# event_ticker=KXATPMATCH-25OCT02RINMED
# final_score=6-7(3) 1-0 RET
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Hamad Medjedovic
# kalshi_date=2025-10-02
timestamp,Arthur Rinderknech,Hamad Medjedovic
2025-10-02T01:05:00Z,,59.00
2025-10-02T01:08:00Z,42.00,59.00
2025-10-02T01:37:00Z,42.00,59.00
2025-10-02T01:44:00Z,42.00,59.00
2025-10-02T01:54:00Z,42.00,60.00
2025-10-02T02:03:00Z,42.00,60.00
2025-10-02T02:11:00Z,42.00,60.00
2025-10-02T02:34:00Z,42.00,60.00
2025-10-02T02:55:00Z,42.00,60.00
2025-10-02T03:02:00Z,42.00,59.00
2025-10-02T03:06:00Z,42.00,59.00
2025-10-02T03:27:00Z,42.00,59.00
2025-10-02T03:32:00Z,42.00,59.00
2025-10-02T03:40:00Z,42.00,59.00
2025-10-02T03:47:00Z,42.00,59.00
2025-10-02T04:00:00Z,42.00,59.00
2025-10-02T04:12:00Z,42.00,58.00
2025-10-02T04:20:00Z,42.00,59.00
2025-10-02T04:24:00Z,42.00,59.00
2025-10-02T04:28:00Z,42.00,59.00
2025-10-02T04:30:00Z,42.00,59.00
2025-10-02T04:44:00Z,42.00,59.00
2025-10-02T04:49:00Z,42.00,59.00
2025-10-02T04:57:00Z,42.00,59.00
2025-10-02T05:01:00Z,42.00,59.00
2025-10-02T05:05:00Z,42.00,59.00
2025-10-02T05:47:00Z,42.14,59.00
2025-10-02T05:52:00Z,43.00,59.00
2025-10-02T06:06:00Z,42.00,59.00
2025-10-02T06:13:00Z,43.00,59.00
2025-10-02T06:21:00Z,43.00,59.00
2025-10-02T06:26:00Z,43.00,59.00
2025-10-02T06:33:00Z,43.00,59.00
2025-10-02T06:51:00Z,43.00,58.00
2025-10-02T06:54:00Z,43.00,58.00
2025-10-02T09:16:00Z,43.00,58.00
2025-10-02T09:34:00Z,44.50,58.00
2025-10-02T09:39:00Z,44.50,55.00
2025-10-02T09:40:00Z,46.00,55.00
2025-10-02T09:50:00Z,46.00,55.00
2025-10-02T09:52:00Z,46.00,55.00
2025-10-02T09:56:00Z,46.00,55.00
2025-10-02T10:05:00Z,46.00,55.00
