# event_ticker=KXATPMATCH-25AUG17YUNTSE
# final_score=6-7(2) 6-3 7-6(4)
# score_resolution=7-6 3-6 6-7
# match_winner=Yunchaokete Bu
# fav_player=Chun Hsin Tseng
# dog_player=Yunchaokete Bu
# kalshi_date=2025-08-17
timestamp,Chun Hsin Tseng,Yunchaokete Bu
2025-08-17T13:03:00Z,,76.00
2025-08-17T13:33:00Z,26.00,76.00
2025-08-17T14:49:00Z,26.00,76.00
2025-08-17T14:54:00Z,26.00,76.00
2025-08-17T16:03:00Z,26.00,76.00
2025-08-17T16:18:00Z,26.00,74.00
2025-08-17T16:41:00Z,26.00,74.03
2025-08-17T16:45:00Z,26.00,75.80
2025-08-17T16:48:00Z,26.00,76.00
2025-08-17T17:21:00Z,26.00,76.00
2025-08-17T17:23:00Z,26.00,76.00
2025-08-17T17:26:00Z,26.00,76.00
2025-08-17T17:31:00Z,26.00,76.00
2025-08-17T18:38:00Z,24.00,76.00
2025-08-17T18:43:00Z,24.00,76.00
2025-08-17T18:46:00Z,24.67,76.00
2025-08-17T18:47:00Z,25.33,76.00
2025-08-17T18:48:00Z,26.00,76.00
2025-08-17T19:35:00Z,26.00,76.00
2025-08-17T20:51:00Z,26.00,75.00
2025-08-17T20:55:00Z,26.00,75.00
2025-08-17T21:02:00Z,26.00,75.00
2025-08-17T21:13:00Z,26.00,74.00
2025-08-17T21:14:00Z,26.00,74.00
2025-08-17T21:15:00Z,26.00,74.00
2025-08-17T21:21:00Z,26.00,74.00
2025-08-17T21:23:00Z,26.00,74.00
2025-08-17T21:26:00Z,26.00,75.71
2025-08-17T21:27:00Z,26.00,77.00
2025-08-17T21:36:00Z,24.00,77.00
2025-08-17T21:45:00Z,24.00,77.00
2025-08-17T22:00:00Z,24.00,78.00
2025-08-17T22:05:00Z,24.00,78.00
2025-08-17T22:08:00Z,24.00,78.00
2025-08-17T22:09:00Z,24.00,80.00
2025-08-17T22:12:00Z,23.00,80.00
2025-08-17T22:13:00Z,23.00,80.00
2025-08-17T22:18:00Z,23.00,80.00
2025-08-17T22:20:00Z,23.00,80.00
2025-08-17T22:21:00Z,23.00,77.00
2025-08-17T22:22:00Z,23.00,77.00
2025-08-17T22:23:00Z,22.27,78.00
2025-08-17T22:25:00Z,18.62,80.64
2025-08-17T22:26:00Z,18.00,82.09
2025-08-17T22:27:00Z,19.94,81.71
2025-08-17T22:28:00Z,21.13,81.71
2025-08-17T22:29:00Z,12.00,85.00
2025-08-17T22:30:00Z,16.00,85.00
2025-08-17T22:31:00Z,14.00,88.00
2025-08-17T22:32:00Z,13.00,88.00
2025-08-17T22:33:00Z,16.95,88.00
2025-08-17T22:34:00Z,15.00,86.00
2025-08-17T22:35:00Z,16.20,86.00
2025-08-17T22:36:00Z,16.33,86.00
2025-08-17T22:37:00Z,17.00,86.00
2025-08-17T22:38:00Z,17.00,84.00
2025-08-17T22:39:00Z,21.77,84.00
2025-08-17T22:40:00Z,21.77,82.16
2025-08-17T22:41:00Z,21.77,82.00
2025-08-17T22:42:00Z,22.80,84.00
2025-08-17T22:43:00Z,17.80,84.97
2025-08-17T22:44:00Z,14.00,86.62
2025-08-17T22:45:00Z,11.50,88.00
2025-08-17T22:46:00Z,12.50,87.76
2025-08-17T22:47:00Z,15.93,87.76
2025-08-17T22:48:00Z,15.93,86.00
2025-08-17T22:51:00Z,22.55,86.00
2025-08-17T22:53:00Z,13.93,85.00
2025-08-17T22:54:00Z,15.94,87.00
2025-08-17T22:58:00Z,15.00,84.50
2025-08-17T23:00:00Z,14.00,87.00
2025-08-17T23:01:00Z,15.00,87.00
2025-08-17T23:02:00Z,14.87,87.00
2025-08-17T23:03:00Z,14.87,87.00
2025-08-17T23:04:00Z,12.00,88.00
2025-08-17T23:05:00Z,12.00,87.00
2025-08-17T23:06:00Z,14.84,87.00
2025-08-17T23:07:00Z,16.31,87.00
2025-08-17T23:09:00Z,17.00,87.00
2025-08-17T23:10:00Z,16.29,83.00
2025-08-17T23:11:00Z,20.71,83.00
2025-08-17T23:12:00Z,24.00,75.81
2025-08-17T23:13:00Z,23.00,75.81
2025-08-17T23:14:00Z,24.14,75.81
2025-08-17T23:15:00Z,15.03,79.74
2025-08-17T23:16:00Z,13.00,88.00
2025-08-17T23:17:00Z,13.00,88.00
2025-08-17T23:18:00Z,17.00,82.16
2025-08-17T23:19:00Z,22.83,82.16
