# event_ticker=KXATPMATCH-25SEP26SHACAZ
# final_score=0-6 7-6(5) 7-5
# score_resolution=0-6 7-6 7-5
# match_winner=Arthur Cazaux
# fav_player=Arthur Cazaux
# dog_player=Juncheng Shang
# kalshi_date=2025-09-26
timestamp,Arthur Cazaux,Juncheng Shang
2025-09-25T20:04:00Z,,56.00
2025-09-25T21:34:00Z,45.00,56.00
2025-09-25T21:57:00Z,45.00,55.00
2025-09-25T22:17:00Z,45.00,52.00
2025-09-25T23:49:00Z,45.00,52.00
2025-09-26T00:30:00Z,49.00,51.00
2025-09-26T01:12:00Z,50.00,51.00
2025-09-26T01:29:00Z,50.00,51.00
2025-09-26T01:42:00Z,50.00,51.00
2025-09-26T01:54:00Z,50.00,50.00
2025-09-26T02:15:00Z,50.00,50.00
2025-09-26T02:16:00Z,50.00,51.00
2025-09-26T02:17:00Z,50.00,51.00
2025-09-26T02:19:00Z,50.00,51.00
2025-09-26T02:24:00Z,50.00,51.00
2025-09-26T02:30:00Z,50.00,51.00
2025-09-26T02:38:00Z,50.00,51.00
2025-09-26T02:45:00Z,50.00,50.00
2025-09-26T02:58:00Z,50.00,51.00
2025-09-26T02:59:00Z,50.00,51.00
2025-09-26T03:20:00Z,50.00,51.00
2025-09-26T03:25:00Z,50.79,51.00
2025-09-26T03:27:00Z,50.27,51.00
2025-09-26T03:28:00Z,50.09,50.10
2025-09-26T03:31:00Z,51.00,50.10
2025-09-26T03:34:00Z,51.00,50.10
2025-09-26T03:38:00Z,51.00,50.00
2025-09-26T03:39:00Z,51.00,51.00
2025-09-26T03:40:00Z,51.00,51.00
2025-09-26T03:41:00Z,51.00,51.00
2025-09-26T03:42:00Z,51.00,51.00
2025-09-26T03:47:00Z,51.00,51.00
2025-09-26T03:50:00Z,51.00,51.00
2025-09-26T03:51:00Z,51.00,51.00
2025-09-26T03:55:00Z,51.00,51.00
2025-09-26T03:59:00Z,51.00,51.00
2025-09-26T04:00:00Z,51.00,51.00
2025-09-26T04:01:00Z,51.00,51.00
2025-09-26T04:04:00Z,51.00,51.00
2025-09-26T04:08:00Z,51.00,51.00
2025-09-26T04:11:00Z,51.00,51.00
2025-09-26T04:12:00Z,51.00,51.00
2025-09-26T04:13:00Z,51.00,51.00
2025-09-26T04:14:00Z,51.00,51.00
2025-09-26T04:15:00Z,50.00,51.00
2025-09-26T04:22:00Z,51.00,51.00
2025-09-26T04:25:00Z,51.00,51.00
2025-09-26T04:30:00Z,51.00,51.00
2025-09-26T04:32:00Z,52.00,51.00
2025-09-26T04:33:00Z,52.00,51.00
2025-09-26T04:44:00Z,52.00,51.00
2025-09-26T04:45:00Z,52.00,51.00
2025-09-26T04:47:00Z,52.00,51.00
2025-09-26T04:51:00Z,52.00,51.00
2025-09-26T04:54:00Z,52.00,50.00
2025-09-26T04:58:00Z,52.00,51.00
2025-09-26T04:59:00Z,51.00,51.00
2025-09-26T05:02:00Z,51.00,50.00
2025-09-26T05:04:00Z,51.29,50.00
2025-09-26T05:07:00Z,52.00,50.00
2025-09-26T05:10:00Z,52.00,50.00
2025-09-26T05:11:00Z,52.00,50.00
2025-09-26T05:14:00Z,52.00,50.00
2025-09-26T05:16:00Z,50.00,50.00
2025-09-26T05:18:00Z,52.00,49.76
2025-09-26T05:19:00Z,53.00,49.76
2025-09-26T05:20:00Z,53.62,49.76
2025-09-26T05:21:00Z,52.27,47.94
2025-09-26T05:22:00Z,51.72,50.95
