# event_ticker=KXATPCHALLENGERMATCH-26MAY26MAECOP
# final_score=6-7(4) 6-2 6-4
# score_resolution=7-6 2-6 4-6
# match_winner=Kimmer Coppejans
# fav_player=Francesco Maestrelli
# dog_player=Kimmer Coppejans
# kalshi_date=2026-05-26
timestamp,Francesco Maestrelli,Kimmer Coppejans
2026-05-26T02:28:00Z,45.00,
2026-05-26T03:52:00Z,45.00,56.00
2026-05-26T05:03:00Z,45.00,56.00
2026-05-26T06:01:00Z,45.00,56.00
2026-05-26T08:00:00Z,45.00,56.00
2026-05-26T09:25:00Z,45.00,56.00
2026-05-26T10:51:00Z,44.00,58.00
2026-05-26T10:56:00Z,44.00,58.00
2026-05-26T11:12:00Z,44.00,58.00
2026-05-26T11:28:00Z,44.00,58.00
2026-05-26T11:42:00Z,44.00,58.86
2026-05-26T11:58:00Z,44.00,58.94
2026-05-26T12:18:00Z,44.00,59.00
2026-05-26T12:28:00Z,44.00,59.00
2026-05-26T12:49:00Z,44.00,59.00
2026-05-26T13:01:00Z,45.00,59.00
2026-05-26T13:03:00Z,41.00,58.99
2026-05-26T13:05:00Z,45.00,55.22
2026-05-26T13:06:00Z,49.15,52.33
2026-05-26T13:07:00Z,51.50,47.95
2026-05-26T13:08:00Z,53.00,45.00
2026-05-26T13:09:00Z,53.00,47.50
2026-05-26T13:10:00Z,52.96,50.17
2026-05-26T13:11:00Z,54.00,49.00
2026-05-26T13:12:00Z,46.00,56.40
2026-05-26T13:13:00Z,42.50,58.14
2026-05-26T13:14:00Z,45.02,53.00
2026-05-26T13:15:00Z,44.66,54.77
2026-05-26T13:16:00Z,45.68,53.23
2026-05-26T13:17:00Z,48.37,52.51
2026-05-26T13:18:00Z,47.32,52.43
2026-05-26T13:19:00Z,47.24,54.93
2026-05-26T13:20:00Z,51.13,54.93
2026-05-26T13:21:00Z,56.00,44.00
2026-05-26T13:22:00Z,56.63,44.00
2026-05-26T13:23:00Z,59.40,41.79
2026-05-26T13:24:00Z,59.45,41.00
2026-05-26T13:25:00Z,60.25,40.79
2026-05-26T13:26:00Z,58.69,42.60
2026-05-26T13:27:00Z,59.46,42.00
2026-05-26T13:28:00Z,60.38,38.65
2026-05-26T13:29:00Z,60.00,40.06
2026-05-26T13:30:00Z,60.37,36.44
2026-05-26T13:31:00Z,66.05,36.46
2026-05-26T13:32:00Z,60.00,40.00
2026-05-26T13:33:00Z,57.88,42.00
2026-05-26T13:34:00Z,58.00,42.00
2026-05-26T13:35:00Z,58.84,44.00
2026-05-26T13:36:00Z,60.55,40.77
2026-05-26T13:37:00Z,53.78,46.08
2026-05-26T13:38:00Z,46.48,55.53
2026-05-26T13:39:00Z,43.90,56.13
2026-05-26T13:40:00Z,49.55,52.26
2026-05-26T13:41:00Z,48.92,51.90
2026-05-26T13:42:00Z,52.90,48.32
2026-05-26T13:43:00Z,52.78,42.72
2026-05-26T13:44:00Z,57.00,43.00
2026-05-26T13:45:00Z,60.48,40.00
2026-05-26T13:46:00Z,58.94,41.68
2026-05-26T13:47:00Z,54.21,45.77
2026-05-26T13:48:00Z,51.15,47.84
2026-05-26T13:49:00Z,55.10,45.00
2026-05-26T13:50:00Z,57.21,40.92
2026-05-26T13:51:00Z,57.00,42.47
2026-05-26T13:52:00Z,53.39,46.94
2026-05-26T13:53:00Z,40.24,57.96
2026-05-26T13:54:00Z,38.54,60.69
2026-05-26T13:55:00Z,32.00,67.06
2026-05-26T13:56:00Z,34.80,65.11
2026-05-26T13:57:00Z,36.43,66.26
2026-05-26T13:58:00Z,30.55,70.14
2026-05-26T13:59:00Z,27.04,72.00
2026-05-26T14:00:00Z,29.31,71.77
2026-05-26T14:01:00Z,34.13,66.31
2026-05-26T14:02:00Z,37.03,62.29
2026-05-26T14:03:00Z,37.69,62.04
2026-05-26T14:04:00Z,36.78,63.09
2026-05-26T14:05:00Z,38.29,62.47
