# event_ticker=KXATPCHALLENGERMATCH-26MAR05TRUSCH
# final_score=7-6(3) 6-7(3) 7-6(7)
# score_resolution=7-6 6-7 7-6
# match_winner=Joel Schwaerzler
# fav_player=Joel Schwaerzler
# dog_player=Marco Trungelliti
# kalshi_date=2026-03-05
timestamp,Joel Schwaerzler,Marco Trungelliti
2026-03-04T22:18:00Z,39.00,
2026-03-04T23:58:00Z,39.00,63.00
2026-03-05T02:15:00Z,39.00,62.00
2026-03-05T02:46:00Z,39.00,62.00
2026-03-05T05:25:00Z,40.00,62.00
2026-03-05T05:29:00Z,40.57,62.00
2026-03-05T05:34:00Z,41.00,62.00
2026-03-05T05:50:00Z,41.00,62.00
2026-03-05T05:53:00Z,41.00,62.00
2026-03-05T06:04:00Z,38.00,62.00
2026-03-05T06:06:00Z,38.00,63.00
2026-03-05T06:17:00Z,38.00,62.00
2026-03-05T06:43:00Z,38.00,63.00
2026-03-05T06:55:00Z,38.00,63.00
2026-03-05T06:58:00Z,38.00,63.00
2026-03-05T07:05:00Z,38.00,63.00
2026-03-05T07:09:00Z,38.00,63.00
2026-03-05T07:29:00Z,38.00,63.00
2026-03-05T07:30:00Z,40.00,62.00
2026-03-05T07:31:00Z,40.00,62.00
2026-03-05T07:35:00Z,40.00,63.00
2026-03-05T07:36:00Z,40.00,63.00
2026-03-05T07:50:00Z,40.00,63.00
2026-03-05T10:01:00Z,38.00,64.99
2026-03-05T10:02:00Z,36.23,65.67
2026-03-05T10:03:00Z,32.91,69.09
2026-03-05T10:04:00Z,32.91,74.00
2026-03-05T10:05:00Z,31.00,66.62
2026-03-05T10:06:00Z,37.93,63.93
2026-03-05T10:07:00Z,37.93,65.00
2026-03-05T10:08:00Z,34.94,67.95
2026-03-05T10:09:00Z,37.12,64.83
2026-03-05T10:10:00Z,35.00,66.96
2026-03-05T10:11:00Z,35.00,67.00
2026-03-05T10:12:00Z,35.00,66.47
2026-03-05T10:13:00Z,33.16,66.47
2026-03-05T10:14:00Z,36.00,64.32
2026-03-05T10:15:00Z,36.00,64.74
2026-03-05T10:16:00Z,36.00,66.42
2026-03-05T10:17:00Z,36.00,66.11
2026-03-05T10:18:00Z,36.00,67.00
2026-03-05T10:19:00Z,36.00,70.00
2026-03-05T10:20:00Z,30.79,68.67
2026-03-05T10:21:00Z,38.12,62.21
2026-03-05T10:22:00Z,38.12,61.00
2026-03-05T10:23:00Z,46.00,58.21
2026-03-05T10:24:00Z,46.00,62.51
2026-03-05T10:25:00Z,35.00,65.00
2026-03-05T10:26:00Z,35.00,65.00
2026-03-05T10:27:00Z,41.00,62.00
2026-03-05T10:28:00Z,38.00,61.00
2026-03-05T10:29:00Z,42.40,59.12
2026-03-05T10:30:00Z,44.65,57.69
2026-03-05T10:31:00Z,41.00,61.91
2026-03-05T10:32:00Z,41.00,64.00
2026-03-05T10:33:00Z,40.00,64.00
2026-03-05T10:34:00Z,42.00,59.67
2026-03-05T10:35:00Z,42.00,60.11
2026-03-05T10:36:00Z,42.98,60.94
2026-03-05T10:37:00Z,42.98,63.12
2026-03-05T10:38:00Z,38.00,63.00
2026-03-05T10:39:00Z,40.00,61.00
2026-03-05T10:40:00Z,39.00,63.00
2026-03-05T10:41:00Z,39.00,63.00
2026-03-05T10:42:00Z,41.04,63.00
2026-03-05T10:43:00Z,41.04,57.35
2026-03-05T10:44:00Z,44.26,57.92
2026-03-05T10:45:00Z,45.52,56.40
2026-03-05T10:46:00Z,45.52,57.79
2026-03-05T10:47:00Z,42.68,61.98
2026-03-05T10:48:00Z,45.12,55.12
2026-03-05T10:49:00Z,58.96,50.92
2026-03-05T10:50:00Z,67.37,31.74
2026-03-05T10:51:00Z,70.00,31.39
2026-03-05T10:52:00Z,69.76,30.99
2026-03-05T10:53:00Z,70.00,31.03
2026-03-05T10:54:00Z,70.00,32.00
2026-03-05T10:55:00Z,70.00,32.00
2026-03-05T10:56:00Z,72.54,27.79
2026-03-05T10:57:00Z,73.67,27.85
2026-03-05T10:58:00Z,72.61,26.71
2026-03-05T10:59:00Z,75.00,26.15
2026-03-05T11:00:00Z,74.83,23.86
2026-03-05T11:01:00Z,73.00,26.00
2026-03-05T11:02:00Z,74.02,28.16
2026-03-05T11:03:00Z,70.39,30.78
2026-03-05T11:04:00Z,72.75,27.00
2026-03-05T11:05:00Z,74.00,27.88
2026-03-05T11:06:00Z,74.00,27.57
2026-03-05T11:07:00Z,71.27,30.00
2026-03-05T11:08:00Z,71.27,30.82
2026-03-05T11:09:00Z,71.27,31.25
2026-03-05T11:10:00Z,71.27,36.00
2026-03-05T11:11:00Z,69.24,33.16
2026-03-05T11:12:00Z,69.24,30.75
2026-03-05T11:13:00Z,71.49,28.05
2026-03-05T11:14:00Z,71.49,27.00
2026-03-05T11:15:00Z,71.49,30.54
2026-03-05T11:16:00Z,70.00,32.00
2026-03-05T11:17:00Z,69.00,32.12
2026-03-05T11:18:00Z,69.00,30.11
2026-03-05T11:19:00Z,71.71,30.95
2026-03-05T11:20:00Z,73.00,26.00
2026-03-05T11:21:00Z,76.00,23.25
2026-03-05T11:22:00Z,76.00,25.00
2026-03-05T11:24:00Z,75.73,25.00
2026-03-05T11:25:00Z,73.00,28.81
2026-03-05T11:26:00Z,67.13,32.03
2026-03-05T11:27:00Z,72.19,32.03
2026-03-05T11:28:00Z,73.12,26.41
2026-03-05T11:29:00Z,71.97,28.19
2026-03-05T11:30:00Z,75.00,26.67
2026-03-05T11:31:00Z,75.00,26.84
2026-03-05T11:32:00Z,75.00,21.00
2026-03-05T11:33:00Z,88.60,12.31
2026-03-05T11:34:00Z,89.34,9.89
2026-03-05T11:35:00Z,81.65,19.75
2026-03-05T11:36:00Z,85.02,16.57
