# event_ticker=KXATPMATCH-25SEP26MARMUL
# final_score=6-3 7-6(5)
# score_resolution=3-6 6-7
# match_winner=Fabian Marozsan
# fav_player=Alexandre Muller
# dog_player=Fabian Marozsan
# kalshi_date=2025-09-26
timestamp,Alexandre Muller,Fabian Marozsan
2025-09-26T18:12:00Z,,64.00
2025-09-26T18:13:00Z,,64.00
2025-09-26T19:52:00Z,39.00,64.00
2025-09-26T21:35:00Z,39.00,62.00
2025-09-26T22:21:00Z,39.00,61.00
2025-09-26T22:34:00Z,39.00,61.00
2025-09-26T22:51:00Z,39.00,61.00
2025-09-26T23:45:00Z,39.00,61.00
2025-09-27T00:39:00Z,39.00,58.00
2025-09-27T01:03:00Z,41.00,58.00
2025-09-27T01:58:00Z,40.55,58.00
2025-09-27T02:45:00Z,40.55,57.00
2025-09-27T03:00:00Z,41.00,57.00
2025-09-27T03:08:00Z,46.00,57.00
2025-09-27T03:11:00Z,47.25,57.00
2025-09-27T03:12:00Z,40.00,57.09
2025-09-27T03:13:00Z,39.00,57.09
2025-09-27T03:14:00Z,39.00,68.00
2025-09-27T03:15:00Z,37.00,68.00
2025-09-27T03:18:00Z,38.00,68.00
2025-09-27T03:19:00Z,38.00,63.00
2025-09-27T03:21:00Z,40.00,63.00
2025-09-27T03:22:00Z,36.00,63.00
2025-09-27T03:23:00Z,33.00,63.00
2025-09-27T03:27:00Z,42.00,62.62
2025-09-27T03:30:00Z,40.00,62.62
2025-09-27T03:32:00Z,40.00,69.00
2025-09-27T03:36:00Z,41.00,69.00
2025-09-27T03:38:00Z,35.00,66.00
2025-09-27T03:41:00Z,35.00,73.16
2025-09-27T03:42:00Z,35.00,78.96
2025-09-27T03:43:00Z,35.00,80.00
2025-09-27T03:44:00Z,23.03,80.00
2025-09-27T03:45:00Z,20.00,80.00
2025-09-27T03:46:00Z,19.00,80.00
2025-09-27T03:48:00Z,15.00,86.00
2025-09-27T03:49:00Z,15.37,86.00
2025-09-27T03:50:00Z,18.66,86.00
2025-09-27T03:54:00Z,18.66,80.00
2025-09-27T03:56:00Z,20.00,80.00
2025-09-27T03:57:00Z,23.00,78.00
2025-09-27T03:58:00Z,21.00,79.00
2025-09-27T03:59:00Z,21.00,79.35
2025-09-27T04:00:00Z,21.00,80.00
2025-09-27T04:01:00Z,21.00,80.73
2025-09-27T04:02:00Z,29.36,75.00
2025-09-27T04:03:00Z,34.79,68.00
2025-09-27T04:04:00Z,38.00,71.00
2025-09-27T04:05:00Z,38.00,74.00
2025-09-27T04:07:00Z,23.00,74.00
2025-09-27T04:08:00Z,23.00,80.98
2025-09-27T04:09:00Z,23.00,83.12
2025-09-27T04:10:00Z,17.04,83.12
2025-09-27T04:12:00Z,17.00,88.00
2025-09-27T04:14:00Z,21.00,88.00
2025-09-27T04:15:00Z,21.00,88.00
2025-09-27T04:17:00Z,19.00,88.00
2025-09-27T04:18:00Z,17.00,85.00
2025-09-27T04:21:00Z,17.00,90.00
2025-09-27T04:23:00Z,17.00,87.00
2025-09-27T04:25:00Z,21.65,87.00
2025-09-27T04:26:00Z,25.00,87.00
2025-09-27T04:27:00Z,16.00,87.03
2025-09-27T04:28:00Z,16.00,82.00
2025-09-27T04:29:00Z,20.08,85.68
2025-09-27T04:30:00Z,20.00,85.68
2025-09-27T04:31:00Z,16.49,85.68
2025-09-27T04:32:00Z,16.00,87.00
2025-09-27T04:33:00Z,19.99,87.00
2025-09-27T04:34:00Z,20.00,80.00
2025-09-27T04:35:00Z,22.00,80.00
2025-09-27T04:36:00Z,17.00,80.00
2025-09-27T04:38:00Z,17.00,80.00
2025-09-27T04:39:00Z,24.00,80.00
2025-09-27T04:40:00Z,23.31,80.00
2025-09-27T04:41:00Z,23.46,93.00
2025-09-27T04:42:00Z,29.00,93.00
2025-09-27T04:43:00Z,42.00,93.00
2025-09-27T04:45:00Z,7.27,96.30
2025-09-27T04:46:00Z,1.00,99.00
2025-09-27T04:48:00Z,1.00,99.00
2025-09-27T04:50:00Z,1.00,99.00
2025-09-27T04:51:00Z,1.00,99.00
