# event_ticker=KXATPCHALLENGERMATCH-26FEB24DIASCH
# final_score=6-1 6-0
# match_winner=Facundo Diaz Acosta
# fav_player=Facundo Diaz Acosta
# dog_player=Joao Eduardo Schiessl
# kalshi_date=2026-02-24
timestamp,Facundo Diaz Acosta,Joao Eduardo Schiessl
2026-02-24T02:23:00Z,,20.00
2026-02-24T02:59:00Z,82.00,20.00
2026-02-24T03:21:00Z,82.00,20.00
2026-02-24T03:54:00Z,82.00,20.00
2026-02-24T04:08:00Z,82.00,20.00
2026-02-24T04:53:00Z,82.00,20.00
2026-02-24T05:34:00Z,82.00,20.00
2026-02-24T06:31:00Z,82.00,19.00
2026-02-24T06:52:00Z,84.00,19.00
2026-02-24T07:34:00Z,84.00,18.00
2026-02-24T08:22:00Z,84.00,19.00
2026-02-24T09:05:00Z,87.00,19.00
2026-02-24T09:26:00Z,87.00,20.00
2026-02-24T10:17:00Z,87.00,19.27
2026-02-24T10:19:00Z,87.00,19.27
2026-02-24T10:20:00Z,87.00,20.00
2026-02-24T10:29:00Z,87.00,20.00
2026-02-24T11:21:00Z,87.00,20.00
2026-02-24T11:38:00Z,84.00,14.00
2026-02-24T11:47:00Z,84.00,16.00
2026-02-24T12:04:00Z,84.00,17.00
2026-02-24T12:15:00Z,84.00,17.00
2026-02-24T12:43:00Z,84.00,16.00
2026-02-24T12:48:00Z,84.00,16.00
2026-02-24T12:51:00Z,84.00,16.00
2026-02-24T12:54:00Z,85.00,16.00
2026-02-24T12:56:00Z,85.00,16.00
2026-02-24T13:05:00Z,85.00,16.00
2026-02-24T13:07:00Z,85.00,16.00
2026-02-24T13:08:00Z,85.00,16.00
2026-02-24T13:09:00Z,85.00,16.00
2026-02-24T13:10:00Z,85.00,16.00
2026-02-24T13:11:00Z,85.42,16.03
2026-02-24T13:13:00Z,87.60,14.00
2026-02-24T13:14:00Z,86.11,14.00
2026-02-24T13:15:00Z,86.11,14.65
2026-02-24T13:16:00Z,86.11,18.82
2026-02-24T13:17:00Z,82.00,18.27
2026-02-24T13:18:00Z,84.00,18.27
2026-02-24T13:19:00Z,84.00,17.21
2026-02-24T13:20:00Z,83.22,16.53
2026-02-24T13:21:00Z,83.22,15.14
2026-02-24T13:22:00Z,88.00,14.05
2026-02-24T13:23:00Z,87.01,14.02
2026-02-24T13:24:00Z,87.00,13.29
2026-02-24T13:25:00Z,86.92,16.85
2026-02-24T13:26:00Z,82.63,19.54
2026-02-24T13:27:00Z,83.08,16.08
2026-02-24T13:28:00Z,84.08,17.00
2026-02-24T13:29:00Z,85.22,16.05
2026-02-24T13:30:00Z,85.22,16.00
2026-02-24T13:31:00Z,87.21,13.03
2026-02-24T13:32:00Z,91.00,9.41
2026-02-24T13:33:00Z,92.09,8.81
2026-02-24T13:34:00Z,93.24,8.45
2026-02-24T13:35:00Z,90.86,13.04
2026-02-24T13:36:00Z,89.00,10.13
2026-02-24T13:37:00Z,93.28,8.07
2026-02-24T13:38:00Z,94.00,7.38
2026-02-24T13:39:00Z,94.45,6.81
2026-02-24T13:40:00Z,94.45,7.00
2026-02-24T13:41:00Z,95.04,5.37
2026-02-24T13:42:00Z,95.12,7.54
2026-02-24T13:43:00Z,95.54,4.05
2026-02-24T13:44:00Z,96.25,4.98
2026-02-24T13:45:00Z,96.00,5.71
2026-02-24T13:46:00Z,97.44,6.52
2026-02-24T13:47:00Z,95.00,3.12
2026-02-24T13:48:00Z,98.13,2.40
2026-02-24T13:49:00Z,98.24,2.00
2026-02-24T13:50:00Z,97.83,2.00
2026-02-24T13:51:00Z,98.00,2.60
2026-02-24T13:52:00Z,98.13,3.37
2026-02-24T13:53:00Z,98.57,3.88
2026-02-24T13:54:00Z,98.00,1.11
2026-02-24T13:55:00Z,99.00,1.74
2026-02-24T13:56:00Z,99.00,3.05
2026-02-24T13:57:00Z,99.00,3.25
2026-02-24T13:58:00Z,99.00,1.00
2026-02-24T13:59:00Z,98.96,1.55
2026-02-24T14:00:00Z,98.91,1.62
2026-02-24T14:01:00Z,99.00,2.00
2026-02-24T14:02:00Z,99.00,3.84
2026-02-24T14:03:00Z,99.00,4.00
2026-02-24T14:04:00Z,99.00,1.06
2026-02-24T14:05:00Z,99.00,1.00
2026-02-24T14:06:00Z,99.00,1.00
2026-02-24T14:11:00Z,99.00,1.00
2026-02-24T14:13:00Z,99.00,1.00
2026-02-24T14:16:00Z,99.00,1.00
