# event_ticker=KXATPMATCH-25JUL28CORGIG
# final_score=4-6 6-2 7-6(2)
# score_resolution=6-4 2-6 6-7
# match_winner=Matteo Gigante
# fav_player=Borna Coric
# dog_player=Matteo Gigante
# kalshi_date=2025-07-28
timestamp,Borna Coric,Matteo Gigante
2025-07-28T12:36:00Z,54.00,
2025-07-28T12:49:00Z,54.00,50.00
2025-07-28T14:09:00Z,11.03,50.00
2025-07-28T14:30:00Z,11.03,49.00
2025-07-28T14:52:00Z,11.03,46.00
2025-07-28T14:53:00Z,11.03,46.00
2025-07-28T14:59:00Z,53.00,46.00
2025-07-28T15:58:00Z,53.00,46.00
2025-07-28T16:15:00Z,55.00,46.00
2025-07-28T16:28:00Z,55.00,46.00
2025-07-28T16:49:00Z,54.00,46.00
2025-07-28T17:00:00Z,54.00,47.00
2025-07-28T17:05:00Z,54.00,47.00
2025-07-28T17:07:00Z,53.00,47.00
2025-07-28T17:11:00Z,53.00,47.58
2025-07-28T17:34:00Z,53.00,47.00
2025-07-28T17:40:00Z,53.00,47.00
2025-07-28T17:52:00Z,53.00,48.00
2025-07-28T18:10:00Z,53.00,48.00
2025-07-28T18:11:00Z,53.00,48.00
2025-07-28T18:45:00Z,53.00,48.00
2025-07-28T18:59:00Z,52.00,48.00
2025-07-28T19:09:00Z,52.00,47.00
2025-07-28T19:16:00Z,53.00,47.00
2025-07-28T19:23:00Z,53.99,47.00
2025-07-28T19:31:00Z,52.00,47.00
2025-07-28T19:46:00Z,52.00,47.00
2025-07-28T19:55:00Z,52.00,47.00
2025-07-28T19:58:00Z,52.00,47.00
2025-07-28T20:03:00Z,52.00,47.00
2025-07-28T20:21:00Z,52.00,47.00
2025-07-28T20:22:00Z,53.00,47.00
2025-07-28T20:26:00Z,53.00,47.00
2025-07-28T20:28:00Z,53.00,47.00
2025-07-28T20:31:00Z,53.00,47.00
2025-07-28T20:32:00Z,53.00,48.00
2025-07-28T20:47:00Z,53.00,49.00
2025-07-28T20:49:00Z,53.00,49.00
2025-07-28T20:50:00Z,53.00,49.00
2025-07-28T20:55:00Z,53.00,49.00
2025-07-28T20:56:00Z,53.00,49.00
2025-07-28T20:57:00Z,53.00,49.00
2025-07-28T20:59:00Z,53.00,49.00
2025-07-28T21:01:00Z,53.00,49.00
2025-07-28T21:02:00Z,53.00,49.00
2025-07-28T21:05:00Z,53.49,47.00
2025-07-28T21:06:00Z,54.00,47.00
2025-07-28T21:10:00Z,54.00,48.00
2025-07-28T21:11:00Z,54.00,47.00
2025-07-28T21:13:00Z,54.00,47.00
