# event_ticker=KXATPMATCH-26APR02MICPOP
# final_score=6-0 4-6 6-1
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Alex Michelsen
# kalshi_date=2026-04-02
timestamp,Alexei Popyrin,Alex Michelsen
2026-04-02T15:03:00Z,,58.00
2026-04-02T15:05:00Z,,58.00
2026-04-02T15:07:00Z,,58.00
2026-04-02T15:13:00Z,,58.00
2026-04-02T15:16:00Z,41.00,58.00
2026-04-02T15:19:00Z,41.00,58.00
2026-04-02T15:21:00Z,41.00,58.00
2026-04-02T15:22:00Z,41.00,58.97
2026-04-02T15:25:00Z,41.00,59.00
2026-04-02T15:26:00Z,41.00,59.00
2026-04-02T15:28:00Z,41.00,59.00
2026-04-02T15:31:00Z,41.00,59.00
2026-04-02T15:32:00Z,41.00,59.00
2026-04-02T15:34:00Z,41.00,59.00
2026-04-02T15:37:00Z,43.00,59.00
2026-04-02T15:39:00Z,43.00,59.00
2026-04-02T15:47:00Z,43.00,59.00
2026-04-02T15:55:00Z,43.00,58.00
2026-04-02T15:57:00Z,43.00,59.00
2026-04-02T15:59:00Z,43.00,59.00
2026-04-02T16:00:00Z,43.00,57.27
2026-04-02T16:02:00Z,43.00,59.00
2026-04-02T16:15:00Z,43.00,59.00
2026-04-02T16:25:00Z,43.00,58.00
2026-04-02T16:30:00Z,43.00,58.00
2026-04-02T16:33:00Z,43.00,59.00
2026-04-02T16:34:00Z,43.00,57.04
2026-04-02T16:38:00Z,43.00,59.00
2026-04-02T16:39:00Z,43.00,59.00
2026-04-02T16:40:00Z,43.00,59.00
2026-04-02T16:52:00Z,43.00,59.00
2026-04-02T16:53:00Z,43.00,58.01
2026-04-02T16:54:00Z,43.00,58.43
2026-04-02T16:56:00Z,43.00,58.00
2026-04-02T16:58:00Z,43.00,59.00
2026-04-02T16:59:00Z,43.00,59.00
2026-04-02T17:04:00Z,43.00,59.00
2026-04-02T17:06:00Z,42.00,59.00
2026-04-02T17:11:00Z,42.00,59.00
2026-04-02T17:13:00Z,42.00,59.00
2026-04-02T17:18:00Z,42.00,59.00
2026-04-02T17:20:00Z,42.00,59.00
2026-04-02T17:21:00Z,42.00,58.63
2026-04-02T17:22:00Z,42.00,58.00
2026-04-02T17:25:00Z,42.00,58.00
2026-04-02T17:26:00Z,42.00,58.00
2026-04-02T17:27:00Z,42.00,58.00
2026-04-02T17:28:00Z,42.00,58.00
2026-04-02T17:29:00Z,42.00,59.00
2026-04-02T17:30:00Z,42.00,59.00
2026-04-02T17:31:00Z,42.00,58.00
