# event_ticker=KXATPCHALLENGERMATCH-26MAY13PERNAV
# final_score=6-3 6-3
# match_winner=Emilio Nava
# fav_player=Emilio Nava
# dog_player=Tiago Pereira
# kalshi_date=2026-05-13
timestamp,Tiago Pereira,Emilio Nava
2026-05-13T00:52:00Z,,82.00
2026-05-13T02:20:00Z,21.00,82.00
2026-05-13T02:27:00Z,21.00,82.00
2026-05-13T02:40:00Z,21.00,82.00
2026-05-13T02:48:00Z,21.00,82.00
2026-05-13T02:52:00Z,21.00,82.00
2026-05-13T03:17:00Z,21.00,82.00
2026-05-13T04:06:00Z,21.00,82.00
2026-05-13T04:23:00Z,21.00,82.00
2026-05-13T04:59:00Z,21.00,82.00
2026-05-13T05:02:00Z,21.00,82.00
2026-05-13T05:04:00Z,21.00,82.00
2026-05-13T05:15:00Z,21.00,82.00
2026-05-13T05:21:00Z,21.00,82.00
2026-05-13T05:33:00Z,19.00,82.00
2026-05-13T06:09:00Z,19.00,82.00
2026-05-13T08:01:00Z,19.00,82.00
2026-05-13T09:25:00Z,19.00,82.00
2026-05-13T09:35:00Z,19.00,82.00
2026-05-13T09:37:00Z,19.00,83.00
2026-05-13T09:56:00Z,19.00,83.00
2026-05-13T10:00:00Z,19.00,83.00
2026-05-13T10:05:00Z,18.00,83.00
2026-05-13T10:07:00Z,16.00,85.00
2026-05-13T10:08:00Z,11.06,88.96
2026-05-13T10:09:00Z,13.85,85.03
2026-05-13T10:10:00Z,11.00,85.03
2026-05-13T10:11:00Z,10.00,85.03
2026-05-13T10:12:00Z,11.00,85.03
2026-05-13T10:13:00Z,12.00,87.82
2026-05-13T10:14:00Z,16.13,83.17
2026-05-13T10:15:00Z,18.00,84.00
2026-05-13T10:17:00Z,19.29,84.00
2026-05-13T10:18:00Z,19.29,87.00
2026-05-13T10:19:00Z,19.29,87.00
2026-05-13T10:20:00Z,11.00,89.04
2026-05-13T10:21:00Z,11.00,91.00
2026-05-13T10:23:00Z,10.00,90.00
2026-05-13T10:24:00Z,10.00,89.00
2026-05-13T10:26:00Z,10.00,90.17
2026-05-13T10:27:00Z,11.00,90.17
2026-05-13T10:28:00Z,12.00,90.17
2026-05-13T10:29:00Z,12.00,90.21
2026-05-13T10:30:00Z,12.00,91.75
2026-05-13T10:32:00Z,11.00,89.00
2026-05-13T10:33:00Z,11.00,90.41
2026-05-13T10:34:00Z,7.00,92.00
2026-05-13T10:35:00Z,10.00,92.00
2026-05-13T10:37:00Z,9.52,91.00
2026-05-13T10:38:00Z,9.00,91.00
2026-05-13T10:40:00Z,9.00,93.00
2026-05-13T10:41:00Z,9.00,92.00
2026-05-13T10:42:00Z,7.00,94.00
2026-05-13T10:43:00Z,7.94,93.00
2026-05-13T10:44:00Z,6.00,93.96
2026-05-13T10:45:00Z,6.00,93.96
2026-05-13T10:47:00Z,5.00,93.96
2026-05-13T10:48:00Z,5.00,95.00
2026-05-13T10:49:00Z,4.00,96.00
2026-05-13T10:50:00Z,4.18,96.00
2026-05-13T10:51:00Z,3.00,97.00
2026-05-13T10:52:00Z,2.00,97.43
2026-05-13T10:53:00Z,2.00,99.00
2026-05-13T10:54:00Z,1.00,99.00
2026-05-13T10:55:00Z,1.00,99.00
2026-05-13T10:56:00Z,1.22,99.00
2026-05-13T10:57:00Z,1.03,99.00
2026-05-13T10:58:00Z,2.00,99.00
2026-05-13T10:59:00Z,1.88,99.00
2026-05-13T11:00:00Z,1.88,99.00
2026-05-13T11:01:00Z,2.00,99.00
2026-05-13T11:02:00Z,1.58,98.98
2026-05-13T11:03:00Z,1.00,99.00
2026-05-13T11:04:00Z,2.00,99.00
2026-05-13T11:05:00Z,2.00,98.00
2026-05-13T11:06:00Z,2.00,99.00
2026-05-13T11:07:00Z,2.00,99.00
2026-05-13T11:08:00Z,2.00,99.00
2026-05-13T11:09:00Z,2.00,99.00
