# event_ticker=KXATPMATCH-26MAR17DUCBAU
# final_score=7-6(3) 7-6(4)
# score_resolution=6-7 6-7
# match_winner=Roberto Bautista Agut
# fav_player=James Duckworth
# dog_player=Roberto Bautista Agut
# kalshi_date=2026-03-17
timestamp,James Duckworth,Roberto Bautista Agut
2026-03-19T03:19:00Z,,58.00
2026-03-19T03:31:00Z,43.00,58.00
2026-03-19T04:29:00Z,43.00,58.00
2026-03-19T04:32:00Z,43.00,58.00
2026-03-19T04:50:00Z,43.00,58.80
2026-03-19T04:53:00Z,43.00,58.80
2026-03-19T05:20:00Z,43.00,60.00
2026-03-19T05:21:00Z,43.00,60.00
2026-03-19T05:32:00Z,43.00,60.00
2026-03-19T05:34:00Z,43.00,60.00
2026-03-19T05:36:00Z,43.00,60.00
2026-03-19T05:39:00Z,43.00,58.00
2026-03-19T05:51:00Z,43.00,58.00
2026-03-19T06:08:00Z,43.00,58.00
2026-03-19T06:19:00Z,43.00,58.00
2026-03-19T06:26:00Z,43.00,58.97
2026-03-19T09:06:00Z,43.00,60.00
2026-03-19T09:15:00Z,43.00,60.00
2026-03-19T10:01:00Z,41.00,60.00
2026-03-19T10:28:00Z,41.00,60.00
2026-03-19T11:19:00Z,41.00,60.00
2026-03-19T11:46:00Z,41.00,60.00
2026-03-19T11:49:00Z,41.00,60.00
2026-03-19T11:55:00Z,41.00,60.00
2026-03-19T12:02:00Z,41.00,60.00
2026-03-19T12:04:00Z,41.00,60.00
2026-03-19T12:19:00Z,41.00,60.00
2026-03-19T12:28:00Z,42.00,60.00
2026-03-19T12:32:00Z,42.00,60.00
2026-03-19T12:33:00Z,42.00,60.00
2026-03-19T12:35:00Z,42.00,60.00
2026-03-19T12:42:00Z,42.00,60.00
2026-03-19T12:51:00Z,42.00,60.00
2026-03-19T13:02:00Z,41.00,60.00
2026-03-19T13:07:00Z,41.00,60.00
2026-03-19T13:08:00Z,41.00,60.00
2026-03-19T13:09:00Z,41.00,60.00
2026-03-19T13:13:00Z,41.00,60.00
2026-03-19T13:15:00Z,41.00,60.00
2026-03-19T13:17:00Z,41.00,60.00
2026-03-19T13:20:00Z,41.00,60.00
2026-03-19T13:27:00Z,41.00,59.00
2026-03-19T13:31:00Z,41.00,60.00
2026-03-19T13:34:00Z,41.00,60.00
2026-03-19T13:37:00Z,41.00,60.00
2026-03-19T13:52:00Z,41.00,60.00
2026-03-19T13:54:00Z,41.00,60.00
2026-03-19T13:56:00Z,41.00,60.00
2026-03-19T13:59:00Z,41.00,60.00
2026-03-19T14:00:00Z,41.00,60.00
2026-03-19T14:01:00Z,41.00,60.00
