# event_ticker=KXATPCHALLENGERMATCH-26JUN01BUTSVA
# final_score=7-6(1) 6-4
# score_resolution=6-7 4-6
# match_winner=Edas Butvilas
# fav_player=Trevor Svajda
# dog_player=Edas Butvilas
# kalshi_date=2026-06-01
timestamp,Edas Butvilas,Trevor Svajda
2026-06-03T02:18:00Z,59.00,
2026-06-03T02:27:00Z,59.00,38.00
2026-06-03T02:53:00Z,62.00,38.00
2026-06-03T03:34:00Z,62.00,38.00
2026-06-03T03:51:00Z,62.87,38.00
2026-06-03T04:29:00Z,62.87,41.00
2026-06-03T05:26:00Z,62.87,41.00
2026-06-03T05:42:00Z,61.00,41.00
2026-06-03T06:18:00Z,61.00,41.00
2026-06-03T06:52:00Z,63.00,41.00
2026-06-03T07:39:00Z,63.00,41.00
2026-06-03T08:54:00Z,63.00,41.00
2026-06-03T09:02:00Z,63.00,41.00
2026-06-03T09:28:00Z,63.00,41.00
2026-06-03T09:31:00Z,61.00,41.00
2026-06-03T09:38:00Z,62.00,41.00
2026-06-03T10:53:00Z,62.00,41.00
2026-06-03T11:03:00Z,58.78,41.00
2026-06-03T11:06:00Z,60.00,41.00
2026-06-03T11:15:00Z,61.00,41.00
2026-06-03T11:45:00Z,60.00,41.00
2026-06-03T12:01:00Z,60.00,41.00
2026-06-03T12:49:00Z,60.00,41.00
2026-06-03T12:52:00Z,60.00,41.00
2026-06-03T13:05:00Z,60.00,41.00
2026-06-03T13:11:00Z,60.00,42.00
2026-06-03T13:28:00Z,60.00,42.00
2026-06-03T13:45:00Z,60.00,42.00
2026-06-03T13:48:00Z,60.00,42.00
2026-06-03T13:53:00Z,60.00,42.00
2026-06-03T13:55:00Z,60.00,42.00
2026-06-03T14:00:00Z,60.00,42.00
2026-06-03T14:07:00Z,60.00,42.00
2026-06-03T14:08:00Z,60.00,41.84
2026-06-03T14:10:00Z,62.29,40.80
2026-06-03T14:11:00Z,63.71,35.87
2026-06-03T14:12:00Z,65.00,36.01
2026-06-03T14:13:00Z,66.00,35.00
2026-06-03T14:14:00Z,70.63,30.00
2026-06-03T14:15:00Z,70.55,29.00
2026-06-03T14:16:00Z,68.84,33.36
2026-06-03T14:17:00Z,64.44,37.25
2026-06-03T14:18:00Z,61.00,39.26
2026-06-03T14:19:00Z,59.93,39.36
2026-06-03T14:20:00Z,64.99,38.00
2026-06-03T14:21:00Z,63.50,36.41
2026-06-03T14:22:00Z,65.00,35.18
2026-06-03T14:23:00Z,63.22,37.40
2026-06-03T14:24:00Z,68.27,31.07
2026-06-03T14:25:00Z,78.83,22.31
2026-06-03T14:26:00Z,77.84,26.40
2026-06-03T14:27:00Z,73.15,26.82
2026-06-03T14:28:00Z,72.34,32.79
2026-06-03T14:29:00Z,65.00,36.79
2026-06-03T14:30:00Z,63.68,36.38
2026-06-03T14:31:00Z,64.68,36.99
2026-06-03T14:32:00Z,61.16,39.72
2026-06-03T14:33:00Z,65.61,34.16
2026-06-03T14:34:00Z,69.73,32.00
2026-06-03T14:35:00Z,68.74,31.01
2026-06-03T14:36:00Z,68.36,32.98
2026-06-03T14:37:00Z,66.22,35.27
2026-06-03T14:38:00Z,62.13,39.11
2026-06-03T14:39:00Z,61.77,41.15
2026-06-03T14:40:00Z,65.89,34.93
2026-06-03T14:41:00Z,65.24,35.23
2026-06-03T14:42:00Z,65.77,35.59
2026-06-03T14:43:00Z,62.71,39.47
2026-06-03T14:44:00Z,63.59,39.00
2026-06-03T14:45:00Z,65.95,35.13
2026-06-03T14:46:00Z,64.64,37.74
2026-06-03T14:47:00Z,65.00,36.00
2026-06-03T14:48:00Z,61.90,39.60
2026-06-03T14:49:00Z,59.15,42.08
2026-06-03T14:50:00Z,59.06,42.20
2026-06-03T14:51:00Z,56.77,46.25
2026-06-03T14:52:00Z,54.35,46.27
2026-06-03T14:53:00Z,59.86,40.05
2026-06-03T14:54:00Z,60.89,39.66
2026-06-03T14:55:00Z,54.68,44.11
2026-06-03T14:56:00Z,56.39,46.84
2026-06-03T14:57:00Z,61.28,40.31
2026-06-03T14:58:00Z,63.70,36.39
2026-06-03T14:59:00Z,68.79,31.26
2026-06-03T15:00:00Z,74.87,25.66
2026-06-03T15:01:00Z,78.00,23.18
2026-06-03T15:02:00Z,78.17,21.48
2026-06-03T15:03:00Z,77.73,20.23
2026-06-03T15:04:00Z,80.18,21.37
2026-06-03T15:05:00Z,82.74,20.94
2026-06-03T15:06:00Z,88.86,12.02
2026-06-03T15:07:00Z,87.66,12.10
2026-06-03T15:08:00Z,85.84,15.96
2026-06-03T15:09:00Z,90.42,10.13
2026-06-03T15:10:00Z,92.88,7.29
2026-06-03T15:11:00Z,92.76,8.04
2026-06-03T15:12:00Z,90.41,10.02
2026-06-03T15:13:00Z,91.25,10.40
2026-06-03T15:14:00Z,93.53,8.12
2026-06-03T15:15:00Z,91.83,8.50
2026-06-03T15:16:00Z,92.00,10.00
2026-06-03T15:17:00Z,94.41,8.07
2026-06-03T15:18:00Z,94.85,5.63
2026-06-03T15:19:00Z,93.84,7.11
2026-06-03T15:20:00Z,94.00,7.90
2026-06-03T15:21:00Z,95.70,4.13
2026-06-03T15:22:00Z,96.47,3.98
2026-06-03T15:23:00Z,95.99,5.00
2026-06-03T15:24:00Z,95.96,5.00
2026-06-03T15:25:00Z,93.01,6.51
2026-06-03T15:26:00Z,96.30,4.72
2026-06-03T15:27:00Z,98.52,1.62
2026-06-03T15:28:00Z,99.00,1.00
2026-06-03T15:29:00Z,99.00,1.00
2026-06-03T15:30:00Z,99.00,1.00
2026-06-03T15:31:00Z,99.00,1.00
2026-06-03T15:32:00Z,99.00,1.00
2026-06-03T15:33:00Z,99.00,1.00
